year,county_name,state_name,educ_00
2000,Autauga,Alabama,11.8
2000,Baldwin,Alabama,14.8
2000,Barbour,Alabama,7.2
2000,Bibb,Alabama,4.1
2000,Blount,Alabama,5.9
2000,Bullock,Alabama,4.4
2000,Butler,Alabama,7.4
2000,Calhoun,Alabama,8.9
2000,Chambers,Alabama,6.3
2000,Cherokee,Alabama,5.5
2000,Chilton,Alabama,5.9
2000,Choctaw,Alabama,6.5
2000,Clarke,Alabama,7.6
2000,Clay,Alabama,5
2000,Cleburne,Alabama,4.9
2000,Coffee,Alabama,12.3
2000,Colbert,Alabama,8.8
2000,Conecuh,Alabama,6.4
2000,Coosa,Alabama,5.2
2000,Covington,Alabama,7.8
2000,Crenshaw,Alabama,7.2
2000,Cullman,Alabama,7.4
2000,Dale,Alabama,9.6
2000,Dallas,Alabama,8.5
2000,DeKalb,Alabama,4.9
2000,Elmore,Alabama,10.6
2000,Escambia,Alabama,6.6
2000,Etowah,Alabama,8.1
2000,Fayette,Alabama,5.7
2000,Franklin,Alabama,5.9
2000,Geneva,Alabama,5.6
2000,Greene,Alabama,7.4
2000,Hale,Alabama,5.1
2000,Henry,Alabama,9.3
2000,Houston,Alabama,12.1
2000,Jackson,Alabama,6.6
2000,Jefferson,Alabama,15.9
2000,Lamar,Alabama,5.4
2000,Lauderdale,Alabama,11.9
2000,Lawrence,Alabama,5.1
2000,Lee,Alabama,15.1
2000,Limestone,Alabama,11.9
2000,Lowndes,Alabama,7.4
2000,Macon,Alabama,10.4
2000,Madison,Alabama,22.7
2000,Marengo,Alabama,7.7
2000,Marion,Alabama,4.9
2000,Marshall,Alabama,9.1
2000,Mobile,Alabama,12.2
2000,Monroe,Alabama,7.3
2000,Montgomery,Alabama,17.4
2000,Morgan,Alabama,12.7
2000,Perry,Alabama,5.2
2000,Pickens,Alabama,6.4
2000,Pike,Alabama,11.4
2000,Randolph,Alabama,6.2
2000,Russell,Alabama,6.3
2000,St. Clair,Alabama,7.5
2000,Shelby,Alabama,25.6
2000,Sumter,Alabama,7.3
2000,Talladega,Alabama,6.9
2000,Tallapoosa,Alabama,9.4
2000,Tuscaloosa,Alabama,14.3
2000,Walker,Alabama,5.4
2000,Washington,Alabama,5.6
2000,Wilcox,Alabama,7.6
2000,Winston,Alabama,4.4
2000,Aleutians East Borough,Alaska,3.1
2000,Aleutians West Census Area,Alaska,9
2000,Anchorage Municipality,Alaska,18.7
2000,Bethel Census Area,Alaska,8.2
2000,Bristol Bay Borough,Alaska,12.9
2000,Denali Borough,Alaska,17.4
2000,Dillingham Census Area,Alaska,10.4
2000,Fairbanks North Star Borough,Alaska,16.4
2000,Haines Borough,Alaska,18.5
2000,Juneau City and Borough,Alaska,23
2000,Kenai Peninsula Borough,Alaska,13.6
2000,Ketchikan Gateway Borough,Alaska,14.3
2000,Kodiak Island Borough,Alaska,13.2
2000,Lake and Peninsula Borough,Alaska,8.9
2000,Matanuska-Susitna Borough,Alaska,12.4
2000,Nome Census Area,Alaska,9.8
2000,North Slope Borough,Alaska,11.1
2000,Northwest Arctic Borough,Alaska,8
2000,Prince of Wales-Outer Ketchikan Census Area,Alaska,9.8
2000,Sitka City and Borough,Alaska,21.1
2000,Skagway-Hoonah-Angoon Census Area,Alaska,16.2
2000,Southeast Fairbanks Census Area,Alaska,12.9
2000,Valdez-Cordova Census Area,Alaska,15.4
2000,Wade Hampton Census Area,Alaska,6.2
2000,Wrangell-Petersburg Census Area,Alaska,11.7
2000,Yakutat City and Borough,Alaska,11.3
2000,Yukon-Koyukuk Census Area,Alaska,10
2000,Apache,Arizona,7.3
2000,Cochise,Arizona,12.4
2000,Coconino,Arizona,18.7
2000,Gila,Arizona,8.5
2000,Graham,Arizona,6.4
2000,Greenlee,Arizona,7.1
2000,La Paz,Arizona,5.5
2000,Maricopa,Arizona,17.2
2000,Mohave,Arizona,6.4
2000,Navajo,Arizona,7.4
2000,Pima,Arizona,15.9
2000,Pinal,Arizona,7.5
2000,Santa Cruz,Arizona,8.9
2000,Yavapai,Arizona,13
2000,Yuma,Arizona,7.2
2000,Arkansas,Arkansas,8.5
2000,Ashley,Arkansas,7.1
2000,Baxter,Arkansas,8.6
2000,Benton,Arkansas,14.5
2000,Boone,Arkansas,8.7
2000,Bradley,Arkansas,7.7
2000,Calhoun,Arkansas,4.8
2000,Carroll,Arkansas,9.2
2000,Chicot,Arkansas,8.8
2000,Clark,Arkansas,11.2
2000,Clay,Arkansas,5
2000,Cleburne,Arkansas,9
2000,Cleveland,Arkansas,7.7
2000,Columbia,Arkansas,11.9
2000,Conway,Arkansas,7
2000,Craighead,Arkansas,13.3
2000,Crawford,Arkansas,6.5
2000,Crittenden,Arkansas,9
2000,Cross,Arkansas,6.3
2000,Dallas,Arkansas,7.8
2000,Desha,Arkansas,8.5
2000,Drew,Arkansas,12.4
2000,Faulkner,Arkansas,16.7
2000,Franklin,Arkansas,7.6
2000,Fulton,Arkansas,6.3
2000,Garland,Arkansas,11.7
2000,Grant,Arkansas,7.3
2000,Greene,Arkansas,7.4
2000,Hempstead,Arkansas,7.2
