year,month,self_haul,residential,commercial
2007,3,1129.00,3561.00,1230.92
2007,4,1474.00,5981.00,1230.92
2007,5,1456.00,6717.00,1230.92
2007,6,1446.00,6169.00,1230.92
2007,7,1417.00,5061.00,1230.92
2007,8,1284.00,4379.00,1230.92
2007,9,1151.00,3745.00,1230.92
2007,10,1201.00,4743.00,1230.92
2007,11,1123.00,5893.00,1230.92
2007,12,657.00,2655.00,1230.92
2008,1,547.00,2497.00,2263.50
2008,2,723.00,2313.00,2263.50
2008,3,956.00,3474.00,2263.50
2008,4,985.00,4649.00,2263.50
2008,5,1371.00,7547.00,2263.50
2008,6,1355.00,7193.00,2263.50
2008,7,1305.00,5896.00,2263.50
2008,8,1124.00,4026.00,2263.50
2008,9,1098.00,4693.00,2263.50
2008,10,1023.00,5031.00,2263.50
2008,11,1004.00,6579.00,2263.50
2008,12,401.00,2465.00,2263.50
2005,1,500.00,1168.00,
2005,2,842.00,1469.00,
2005,3,1115.00,2973.00,
2005,4,1178.00,3422.00,
2005,5,1681.00,5394.00,
2005,6,1845.00,5710.00,
2005,7,1636.00,4638.00,
2005,8,1295.00,3692.00,
2005,9,1181.00,3288.00,
2005,10,1119.00,3586.00,
2005,11,893.00,4546.00,
2005,12,642.00,2717.00,
2006,1,608.00,2198.00,616.92
2006,2,762.00,2311.00,616.92
2006,3,938.00,3137.00,616.92
2006,4,1207.00,4696.00,616.92
2006,5,1403.00,6608.00,616.92
2006,6,1798.00,6889.00,616.92
2006,7,1499.00,4418.00,616.92
2006,8,1294.00,3950.00,616.92
2006,9,1193.00,3494.00,616.92
2006,10,1204.00,3930.00,616.92
2006,11,984.00,5278.00,616.92
2006,12,1388.00,4629.00,616.92
2003,1,811.00,1649.00,
2003,2,868.00,1130.00,
2003,3,970.00,2332.00,
2003,4,1317.00,4014.00,
2003,5,1739.00,4866.00,
2003,6,1589.00,4309.00,
2003,7,1347.00,3258.00,
2003,8,1187.00,2287.00,
2003,9,1183.00,2521.00,
2003,10,1220.00,3030.00,
2003,11,1015.00,2673.00,
2003,12,910.00,1854.00,
2004,1,815.00,1501.00,
2004,2,1017.00,1382.00,
2004,3,1449.00,3812.00,
2004,4,1526.00,4501.00,
2004,5,1521.00,4328.00,
2004,6,1535.00,4154.00,
2004,7,1409.00,3211.00,
2004,8,1225.00,2792.00,
2004,9,1320.00,3390.00,
2004,10,1197.00,3302.00,
2004,11,1147.00,4230.00,
2004,12,744.00,1881.00,
