county_name,state_id,size_00
abbeville,SC,2.51
acadia parish,LA,2.74
accomack,VA,2.45
ada,ID,2.59
adair,MO,2.29
adair,IA,2.37
adair,KY,2.44
adair,OK,2.76
adams,ND,2.24
adams,WI,2.33
adams,IA,2.34
adams,ID,2.42
adams,NE,2.43
adams,IL,2.44
adams,MS,2.48
adams,OH,2.57
adams,PA,2.61
adams,CO,2.81
adams,IN,2.81
adams,WA,3.09
addison,VT,2.55
aiken,SC,2.53
aitkin,MN,2.28
alachua,FL,2.34
alamance,NC,2.46
alameda,CA,2.71
alamosa,CO,2.56
albany,WY,2.23
albany,NY,2.32
albemarle,VA,2.44
alcona,MI,2.24
alcorn,MS,2.39
alexander,IL,2.36
alexander,NC,2.54
alexandria city,VA,2.04
alfalfa,OK,2.29
alger,MI,2.35
allamakee,IA,2.49
allegan,MI,2.72
allegany,MD,2.35
allegany,NY,2.53
alleghany,NC,2.28
alleghany,VA,2.46
allegheny,PA,2.31
allen,KS,2.43
allen,OH,2.52
allen,IN,2.53
allen,KY,2.55
allen parish,LA,2.62
allendale,SC,2.56
alpena,MI,2.4
alpine,CA,2.5
amador,CA,2.39
amelia,VA,2.66
amherst,VA,2.51
amite,MS,2.58
anderson,TN,2.37
anderson,SC,2.48
anderson,KS,2.48
anderson,TX,2.58
anderson,KY,2.59
andrew,MO,2.59
andrews,TX,2.81
androscoggin,ME,2.38
angelina,TX,2.7
anne arundel,MD,2.65
anoka,MN,2.77
anson,NC,2.59
antelope,NE,2.49
antrim,MI,2.47
apache,AZ,3.41
appanoose,IA,2.34
appling,GA,2.6
appomattox,VA,2.55
aransas,TX,2.43
arapahoe,CO,2.53
archer,TX,2.63
archuleta,CO,2.47
arenac,MI,2.45
arkansas,AR,2.41
arlington,VA,2.15
armstrong,PA,2.46
armstrong,TX,2.58
aroostook,ME,2.36
arthur,NE,2.4
ascension parish,LA,2.85
ashe,NC,2.31
ashland,WI,2.39
ashland,OH,2.58
ashley,AR,2.55
ashtabula,OH,2.56
asotin,WA,2.42
assumption parish,LA,2.81
atascosa,TX,2.99
atchison,MO,2.25
atchison,KS,2.51
athens,OH,2.4
atkinson,GA,2.78
atlantic,NJ,2.59
atoka,OK,2.48
attala,MS,2.55
audrain,MO,2.43
audubon,IA,2.4
auglaize,OH,2.62
augusta,VA,2.56
aurora,SD,2.45
austin,TX,2.67
autauga,AL,2.71
avery,NC,2.34
avoyelles parish,LA,2.6
baca,CO,2.33
bacon,GA,2.6
bailey,TX,2.78
baker,OR,2.37
baker,GA,2.68
baker,FL,2.86
baldwin,AL,2.5
baldwin,GA,2.5
ballard,KY,2.39
baltimore,MD,2.46
baltimore city,MD,2.42
bamberg,SC,2.55
bandera,TX,2.49
banks,GA,2.69
banner,NE,2.63
bannock,ID,2.69
baraga,MI,2.37
barber,KS,2.35
barbour,WV,2.47
barbour,AL,2.53
barnes,ND,2.29
barnstable,MA,2.28
barnwell,SC,2.57
barren,KY,2.44
barron,WI,2.48
barrow,GA,2.79
barry,MO,2.51
barry,MI,2.68
bartholomew,IN,2.52
barton,KS,2.41
barton,MO,2.53
bartow,GA,2.76
bastrop,TX,2.77
bates,MO,2.51
bath,VA,2.34
bath,KY,2.47
baxter,AR,2.21
bay,FL,2.43
bay,MI,2.47
bayfield,WI,2.4
baylor,TX,2.26
beadle,SD,2.3
bear lake,ID,2.81
beaufort,NC,2.42
beaufort,SC,2.51
beauregard parish,LA,2.63
beaver,PA,2.44
beaver,OK,2.57
beaver,UT,2.93
beaverhead,MT,2.36
becker,MN,2.49
beckham,OK,2.44
bedford,PA,2.5
bedford,VA,2.52
bedford,TN,2.67
bedford city,VA,2.26
bee,TX,2.74
belknap,NH,2.45
bell,KY,2.44
bell,TX,2.68
belmont,OH,2.37
beltrami,MN,2.63
ben hill,GA,2.57
benewah,ID,2.52
bennett,SD,3.14
bennington,VT,2.41
benson,ND,2.97
bent,CO,2.53
benton,MO,2.28
benton,TN,2.37
benton,OR,2.43
benton,MN,2.56
benton,IA,2.56
benton,IN,2.59
benton,AR,2.6
benton,MS,2.64
benton,WA,2.68
benzie,MI,2.42
bergen,NJ,2.64
berkeley,WV,2.53
berkeley,SC,2.75
berks,PA,2.55
berkshire,MA,2.3
bernalillo,NM,2.47
berrien,MI,2.49
berrien,GA,2.57
bertie,NC,2.53
bexar,TX,2.78
bibb,GA,2.49
bibb,AL,2.64
bienville parish,LA,2.52
big horn,WY,2.6
big horn,MT,3.17
big stone,MN,2.38
billings,ND,2.43
bingham,ID,3.1
black hawk,IA,2.45
blackford,IN,2.44
bladen,NC,2.45
blaine,ID,2.4
blaine,NE,2.45
blaine,OK,2.5
blaine,MT,2.78
blair,PA,2.43
blanco,TX,2.5
bland,VA,2.43
bleckley,GA,2.52
bledsoe,TN,2.53
blount,TN,2.43
blount,AL,2.62
blue earth,MN,2.46
boise,ID,2.52
