DEP_Code,Name,Street_Add,Town_City,Type,Zip Code,tons,Lat,Long,X_Coord,Y_Coord,Status,Score
IH122,KINDRED HOSPITAL PARK VIEW,1400 STATE STREET,SPRINGFIELD,IH,1109,79.26705,42.11987652,72.5460199,113504.4541,874914.4426,M,100
IH26,KINDRED HOSPITAL BOSTON,1515 COMMONWEALTH AVENUE,BOSTON,IH,2135,36.82485,42.34708883,71.1411178,229570.4924,899683.6538,M,100
IH108,KINDRED HOSPITAL BOSTON NORTH,15 KING STREET,PEABODY,IH,1960,31.2075,42.52910092,70.9366664,246282.7667,919991.9773,M,100
IH360,KINDRED NURSING & REHAB BRAINT,1102 WASHINGTON STREET,BRAINTREE,IH,2184,58.1445,42.19883916,71.0069307,240722.0694,883272.3485,M,100
IH362,KINDRED NURSING & REHABILITA W,785 MAIN STREET,CONCORD,IH,1742,36.4635,42.45551215,71.3759375,210204.7792,911672.2949,M,100
IH361,KINDRED NURSING & REHAB TOWER,ONE MEADOWBROOK WAY,CANTON,IH,2021,53.874,42.165647,71.0702786,235508.8579,879557.3452,M,100
IH363,KINDRED NURSING AND REHAB DEN,44 SOUTH STREET,ROCKPORT,IH,1966,24.966,42.65434,70.6053273,273358.4283,934135.863,M,100
IH364,KINDRED TRNSTNL CARE & REHAB A,100 WEST STREET,NEEDHAM,IH,2194,46.647,42.35807495,71.1981943,224863.3182,900885.7334,M,66
IH365,KINDRED TRNSTNL CARE & REHAB Q,11 MCGRATH HIGHWAY,QUINCY,IH,2169,41.391,42.25227727,70.9968014,241523.613,889212.7015,M,63
IH366,KINDRED TRNSTNL CARE & REHAB S,66 CENTRAL STREET,EAST BRIDGEWATER,IH,2333,36.4635,42.0316224,70.9582052,244864.1828,864724.0777,M,100
IH367,KINDRED TRNSTNL CR & REHB FORE,50 INDIAN NECK ROAD,WAREHAM,IH,2571,57.4875,41.7527017,70.6984725,266662.3428,833915.3728,M,100
IH368,KINDRED TRNSTNL CR&REHAB HARRI,160 MAIN STREET,WALPOLE,IH,2081,29.565,42.16724614,71.2297591,222330.1132,879680.8932,M,100
IH369,KINDRED TRNSTNL CR&REHB BLUEBE,75 BRIMBAL AVENUE,BEVERLY,IH,1915,43.362,42.56913484,70.873109,251471.7937,924475.3408,M,100
R2625,Kinfale Irish Pub & Restaurant,30 Worcester Rd,Framingham,R,1702,45,42.29872798,71.395245,208638.0228,894255.0259,M,100
R848,King and I,145 Charles St Ste 1,Boston,R,2114,19.5,42.36035995,71.0708115,235356.003,901184.5078,M,100
R194,King Buffet,488 John Fitch Hwy,Fitchburg,R,1420,15,42.58351376,71.7754497,177388.8015,925919.9536,M,100
R3226,King Phillip Restaurant & Motel,35 State Rd,Athol,R,1331,72,42.57018343,72.135576,147815.9926,924597.0948,M,100
R636,King Yen Chinese Restaurant,340 Springfield St,Agawam,R,1001,18,42.08689372,72.6410888,105594.6288,871352.1086,M,100
W232,Kingdo Baguette & Bakery,1229 Dorchester Ave,Dorchester,W,2125,,42.30865236,71.0581986,236424.7707,895446.4094,M,66
R3517,Kingfish Hall,1 Faneuil Hall Market Pl,Boston,R,2109,90,42.3599948,71.0556558,236604.7063,901150.3419,M,100
R3331,Kingston Charlie Horse Rest,99 Main St,Kingston,R,2364,75,41.98766,70.7093175,265518.4926,860002.3556,M,100
IH644,KINGSTON PLACE,15 FOSTER LANE PO BOX G,KINGSTON,IH,2364,4.9275,42.00166687,70.7298854,263800.1737,861542.441,M,100
R1677,Kingston Station,25 Kingston St Lbby,Boston,R,2111,30,42.35366,71.059055,236328.3229,900445.2494,M,100
R3332,Kinsale Irish Pub & Restaurant,2 CENTER PLAZA,BOSTON,R,2108,75,42.292955,71.0623473,236091.6786,893701.0794,M,64
W233,"Kirin Produce Co, Inc",131 Newmarket Sq,Boston,W,2118,,42.33018528,71.0674534,235649.6306,897834.2546,M,66
IH370,KIRKWOOD NURSING HOME,202 MAIN STREET,WAKEFIELD,IH,1880,10.512,42.51283647,71.0733585,235061.4636,918120.1527,M,100
R3815,Kitty's Restaurant & Lounge,123 Main St,North Reading,R,1864,277.5,42.57814014,71.1114916,231894.6653,925359.1636,M,100
W234,Klaras Gourmet Cookies,18 Railroad St,Lee,W,1238,,42.12673891,70.94109,246212.1904,875297.6952,T,66
F415,"Kneeland Bros., Inc.",51 Wethersfield St,Rowley,F,1969,,42.71583386,70.8851722,250363.8786,940763.7924,M,100
IH371,KNOLLWOOD NURSING CENTER,87 BRIARWOOD CIRCLE,WORCESTER,IH,1606,26.937,42.32019241,71.7723463,177550.1553,896669.7355,M,100
R2951,Kokopelli Southwestern Grill,138 Day St,Auburndale,R,2466,52.5,42.33707245,71.2392549,221487.8113,898541.7065,M,100
W235,Konditor Meister,32 Wood Rd,Braintree,W,2184,,41.73427213,70.9086729,249194.6766,831725.7492,T,66
R1450,Kool Kone,374 Marion Rd Ste 374,Wareham,R,2571,27,41.74246948,70.7414184,263100.7768,832746.282,M,100
R3821,Kowloon Restaurant,948 Broadway,Saugus,R,1906,300,42.46716773,71.0253179,239037.6444,913068.1936,M,100
R1145,Kozy Nook,645 State Rd,Westport,R,2790,22.5,41.6588646,71.0808814,234909.3126,823265.6473,M,100
F416,Kraft Foods,1 Hill St,Woburn,F,1801,,42.47937542,71.1170488,231487.701,914386.2819,M,100
W236,Kraft Foods,41 Loring Dr,Framingham,W,1702,,42.23298648,71.4638346,202985.2684,886948.1445,T,66
