"state_id","ban_year","sample_size","att_f2","att_f","attempt"
"CT",2014,3,-0.00344323289381169,0.00947078094521561,1
"CT",2014,4,0.0106045924764754,0.000592648702075961,1
"CT",2014,5,0.0252071521809894,0.0413347102046589,1
"CT",2014,6,0.0694306061492282,0.0661715414499883,1
"CT",2014,7,0.0854518482088571,0.09628629544755,1
"CT",2014,8,0.0854838514498324,0.0750360639346455,1
"CT",2014,9,0.0900620698413625,0.0881234320995297,1
"CT",2014,10,0.140336708611957,0.140592554937442,1
"VT",2015,3,0.0441755574607978,0.0441755574607978,1
"VT",2015,4,0.056011610958305,0.056011610958305,1
"VT",2015,5,0.0466724992646666,0.0466724992646666,1
"VT",2015,6,0.0507303089125666,0.0507303089125666,1
"VT",2015,7,0.0157857793292259,0.0157857793292259,1
"VT",2015,8,0.0401578111821662,0.0401578111821662,1
"VT",2015,9,0.0222342360329215,0.0222342360329215,1
"VT",2015,10,0.0304606666996445,0.0304606666996445,1
"CT",2014,3,-0.0799622476590008,-0.0873264735464496,2
"CT",2014,4,-0.0271799160923295,-0.0282536443434352,2
"CT",2014,5,0.0414595481603605,0.0493041012838971,2
"CT",2014,6,0.0782180941288271,0.0950733242164498,2
"CT",2014,7,0.100264968854392,0.111132571130709,2
"CT",2014,8,0.117485782028987,0.109619091353802,2
"CT",2014,9,0.0906561071102168,0.0746626271869828,2
"CT",2014,10,0.110944127941958,0.105283579495475,2
"VT",2015,3,0.0497845977536203,0.0497845977536203,2
"VT",2015,4,0.0576054439655592,0.0576054439655592,2
"VT",2015,5,0.0149758775297404,0.0149758775297404,2
"VT",2015,6,0.0400285490934063,0.0400285490934063,2
"VT",2015,7,0.0236067073286553,0.0236067073286553,2
"VT",2015,8,0.0388049452984093,0.0388049452984093,2
"VT",2015,9,0.0314556355879428,0.0314556355879428,2
"VT",2015,10,0.0157543411863537,0.0157543411863537,2
"CT",2014,3,-0.0466808258825535,-0.0321305157207198,3
"CT",2014,4,-0.00391131658284444,-0.00875458769415082,3
"CT",2014,5,0.0397820113384171,0.0527922106508439,3
"CT",2014,6,0.0626434109556797,0.0716727979432762,3
"CT",2014,7,0.0944026640218918,0.109115511335921,3
"CT",2014,8,0.0874917106498481,0.084289772601731,3
"CT",2014,9,0.104724063402683,0.113502398405364,3
"CT",2014,10,0.115174497664191,0.117392785005501,3
"VT",2015,3,0.0698423261609443,0.0698423261609443,3
"VT",2015,4,0.0340182139920189,0.0340182139920189,3
"VT",2015,5,0.0613827766507779,0.0613827766507779,3
"VT",2015,6,-0.00730120058569728,-0.00730120058569728,3
"VT",2015,7,0.03256191445576,0.03256191445576,3
"VT",2015,8,0.0474757547161545,0.0474757547161545,3
"VT",2015,9,0.0136003340013799,0.0136003340013799,3
"VT",2015,10,0.0351801165625557,0.0351801165625557,3
"CT",2014,3,-0.000952123706389994,-0.0178250932405176,4
"CT",2014,4,0.019250888723647,0.0228397576631862,4
"CT",2014,5,0.0172349126577325,0.00186548238675436,4
"CT",2014,6,0.0577554862075149,0.054268153882603,4
"CT",2014,7,0.0761932884797612,0.0934562559680722,4
"CT",2014,8,0.0927900821735294,0.0935926835596102,4
"CT",2014,9,0.103893698037893,0.0904878937752808,4
"CT",2014,10,0.127740042859721,0.140769328915024,4
"VT",2015,3,0.0281877404626446,0.0281877404626446,4
"VT",2015,4,0.0587393662657784,0.0587393662657784,4
"VT",2015,5,0.0462262409316554,0.0462262409316554,4
"VT",2015,6,0.0633502542483671,0.0633502542483671,4
"VT",2015,7,0.10082589203786,0.10082589203786,4
"VT",2015,8,0.0119428567313511,0.0119428567313511,4
"VT",2015,9,0.0806600627225576,0.0806600627225576,4
"VT",2015,10,0.00682253075211225,0.00682253075211225,4
"CT",2014,3,-0.0329760382396315,-0.0310293911120543,5
"CT",2014,4,0.0232166700765498,0.0171897828953541,5
"CT",2014,5,0.0210141154496183,0.0259525408993308,5
"CT",2014,6,0.0687208053937729,0.0673955096344126,5
"CT",2014,7,0.101133223484115,0.106558076508416,5
"CT",2014,8,0.0877055367196653,0.111536034320029,5
"CT",2014,9,0.129888505599094,0.129723769952712,5
"CT",2014,10,0.121373435922934,0.136935859671139,5
"VT",2015,3,0.127740995400069,0.127740995400069,5
"VT",2015,4,0.0357557233203216,0.0357557233203216,5
"VT",2015,5,0.0681342470138364,0.0681342470138364,5
"VT",2015,6,0.0100608570040605,0.0100608570040605,5
"VT",2015,7,0.00566562521780678,0.00566562521780678,5
"VT",2015,8,0.00374063181408424,0.00374063181408424,5
"VT",2015,9,0.0621736413507759,0.0621736413507759,5
"VT",2015,10,0.0385887530844383,0.0385887530844383,5
"CT",2014,3,-0.00929145198249381,-0.0373531445850684,6
"CT",2014,4,-0.0319647659051689,-0.0447785614666116,6
"CT",2014,5,0.0185609559628252,0.00145354662365595,6
"CT",2014,6,0.0682254465762706,0.0789959978671689,6
"CT",2014,7,0.0854386088550655,0.0883140852609762,6
"CT",2014,8,0.0755839037056429,0.0907886568839119,6
"CT",2014,9,0.0960065937035769,0.0781957388447197,6
"CT",2014,10,0.122814584134818,0.121706780431832,6
"VT",2015,3,0.0614781946040034,0.0614781946040034,6
"VT",2015,4,0.0256570651400969,0.0256570651400969,6
"VT",2015,5,0.00200430334270352,0.00200430334270352,6
"VT",2015,6,0.0157785198152858,0.0157785198152858,6
"VT",2015,7,0.097305214677485,0.097305214677485,6
"VT",2015,8,0.0275589596125358,0.0275589596125358,6
"VT",2015,9,0.0159208112439309,0.0159208112439309,6
"VT",2015,10,0.0190657931711161,0.0190657931711161,6
"CT",2014,3,-0.0473792961720833,-0.0388689213158274,7
"CT",2014,4,0.0244533805516444,0.0307442819598349,7
"CT",2014,5,0.0256149658353951,0.0282156795169575,7
"CT",2014,6,0.066927035741444,0.0698976335683067,7
"CT",2014,7,0.0615029089502093,0.0540022874962231,7
"CT",2014,8,0.098988090867355,0.105445410877619,7
"CT",2014,9,0.12559077642531,0.129806698837833,7
"CT",2014,10,0.124767512768715,0.122076276959471,7
"VT",2015,3,0.0801336883180833,0.0801336883180833,7
"VT",2015,4,0.0654116179409532,0.0654116179409532,7
"VT",2015,5,0.0497058910153641,0.0497058910153641,7
"VT",2015,6,0.0513171381439418,0.0513171381439418,7
"VT",2015,7,0.00829803177373922,0.00829803177373922,7
"VT",2015,8,0.0235822759322462,0.0235822759322462,7
"VT",2015,9,0.0656973630889618,0.0656973630889618,7
"VT",2015,10,0.048819456800978,0.048819456800978,7
"CT",2014,3,-0.0589174425515476,-0.0550518653723707,8
"CT",2014,4,0.0509249833611877,0.0472364767453378,8
