"state_id","ban_year","sample_size","att_pop","att_waste","attempt"
"CA1",2016,3,0.00379588695635778,0.00449602880661793,1
"CA1",2016,4,0.0123221444666149,0.0121095211750652,1
"CA1",2016,5,0.0106514152132591,0.00964808990783075,1
"CA1",2016,6,0.0193143432304814,0.018720334948306,1
"CA1",2016,7,0.0176876257299133,0.0172849574891356,1
"CA1",2016,8,0.0204120004019584,0.0198157823181338,1
"CA1",2016,9,0.0249393403185313,0.0243375416646276,1
"CA1",2016,10,0.0299187702894418,0.028975761168389,1
"CA1",2016,3,0.0032395141426462,0.00458995034501029,2
"CA1",2016,4,0.00886248432398304,0.00871570544213551,2
"CA1",2016,5,0.0142479469615691,0.0139328058385303,2
"CA1",2016,6,0.0188968197283896,0.0185693514119683,2
"CA1",2016,7,0.0189248078339888,0.0186332111649237,2
"CA1",2016,8,0.0248396885235778,0.0244223503335485,2
"CA1",2016,9,0.0250329081129196,0.0245031199713099,2
"CA1",2016,10,0.0299187702894418,0.028975761168389,2
"CA1",2016,3,0.00783372229582662,0.00882489618112939,3
"CA1",2016,4,0.0106938127698534,0.0108544754247738,3
"CA1",2016,5,0.0180783398617827,0.0178782446999811,3
"CA1",2016,6,0.0234063975888711,0.0233727522880762,3
"CA1",2016,7,0.0205417257157492,0.0200253185233206,3
"CA1",2016,8,0.0203582686951122,0.0196462743528254,3
"CA1",2016,9,0.0249236963426784,0.0244415447428975,3
"CA1",2016,10,0.0299187702894418,0.028975761168389,3
"CA1",2016,3,0.00588160618919184,0.00700663992154411,4
"CA1",2016,4,0.00958943017810174,0.0102703706932408,4
"CA1",2016,5,0.0144137564156169,0.0142680308725098,4
"CA1",2016,6,0.0177353975718496,0.0172785006265465,4
"CA1",2016,7,0.0193813433911656,0.0188300419576582,4
"CA1",2016,8,0.0251004548379641,0.0247985610371711,4
"CA1",2016,9,0.025022669769317,0.0245082258894908,4
"CA1",2016,10,0.0299187702894418,0.028975761168389,4
"CA1",2016,3,0.0104174713697232,0.0117199380827827,5
"CA1",2016,4,0.00725802048256162,0.00688126297341328,5
"CA1",2016,5,0.0204605541999001,0.0205220295895651,5
"CA1",2016,6,0.0205268854092531,0.019887390879248,5
"CA1",2016,7,0.0185220376034604,0.0180365849187503,5
"CA1",2016,8,0.0204123055662751,0.0198672832702439,5
"CA1",2016,9,0.0252732054211413,0.024730520855173,5
"CA1",2016,10,0.0299187702894418,0.028975761168389,5
"CA1",2016,3,0.00575018474489558,0.00634393552728731,6
"CA1",2016,4,0.00966758715218098,0.0098024924260144,6
"CA1",2016,5,0.017999802528811,0.0176413217848542,6
"CA1",2016,6,0.0181431735548152,0.0177058191736286,6
"CA1",2016,7,0.018768440430602,0.0179709550755922,6
"CA1",2016,8,0.0188485943036699,0.018215500003467,6
"CA1",2016,9,0.0252732054211413,0.024730520855173,6
"CA1",2016,10,0.0299187702894418,0.028975761168389,6
"CA1",2016,3,0.0143583551401626,0.0161785349621865,7
"CA1",2016,4,0.00783833365431239,0.00768946412382553,7
"CA1",2016,5,0.0108223706751961,0.0100368920611729,7
"CA1",2016,6,0.0164359430898509,0.0159001703907868,7
"CA1",2016,7,0.0167322298218788,0.0161948089100297,7
"CA1",2016,8,0.0213885218216686,0.0207018209981356,7
"CA1",2016,9,0.0257507095829204,0.0250669608742945,7
"CA1",2016,10,0.0299187702894418,0.028975761168389,7
"CA1",2016,3,0.00714867450186895,0.00804187554281401,8
"CA1",2016,4,0.00842588992201635,0.0082021447816575,8
"CA1",2016,5,0.0137438334549039,0.0133902211189844,8
"CA1",2016,6,0.0167112761167588,0.0162672890307175,8
"CA1",2016,7,0.0177634518282426,0.0171051016830351,8
"CA1",2016,8,0.0195152732398397,0.0189265300998086,8
"CA1",2016,9,0.0254362977966841,0.0249241236496166,8
"CA1",2016,10,0.0299187702894418,0.028975761168389,8
"CA1",2016,3,0.00413889569108853,0.00526459236630943,9
"CA1",2016,4,0.0099347608338358,0.00999463863068496,9
"CA1",2016,5,0.0173914026413788,0.0177933460304343,9
"CA1",2016,6,0.0148043829468476,0.0142085728187455,9
"CA1",2016,7,0.0198505648458253,0.0194446754878802,9
"CA1",2016,8,0.0244623651519773,0.0240226471632294,9
"CA1",2016,9,0.0240960101086964,0.0237996348912941,9
"CA1",2016,10,0.0299187702894418,0.028975761168389,9
"CA1",2016,3,0.00321178902685985,0.00440404623370757,10
"CA1",2016,4,0.00617666792082949,0.00622668809627319,10
"CA1",2016,5,0.0193181293730669,0.0191092939974956,10
"CA1",2016,6,0.0190802856267111,0.018661636514171,10
"CA1",2016,7,0.020673930462182,0.0203395553234487,10
"CA1",2016,8,0.0228890440283691,0.0224681252854447,10
"CA1",2016,9,0.0251147309318297,0.0245849725352867,10
"CA1",2016,10,0.0299187702894418,0.028975761168389,10
"CA1",2016,3,0.00327161966915488,0.00404811945832347,11
"CA1",2016,4,0.0158013409461938,0.0158278769733603,11
"CA1",2016,5,0.0160408286863162,0.0155476544878235,11
"CA1",2016,6,0.0194267782380754,0.0194050270434023,11
"CA1",2016,7,0.0178048348609332,0.0172161240297134,11
"CA1",2016,8,0.0258938565237894,0.0255602936246391,11
"CA1",2016,9,0.0252732054211413,0.024730520855173,11
"CA1",2016,10,0.0299187702894418,0.028975761168389,11
"CA1",2016,3,0.00650096990004572,0.00734568492693847,12
"CA1",2016,4,0.00993131291050763,0.0103598677163401,12
"CA1",2016,5,0.0178676474813663,0.0177535270408005,12
"CA1",2016,6,0.0199614567564696,0.0196892166539332,12
"CA1",2016,7,0.0196028940607987,0.0191819968416938,12
"CA1",2016,8,0.0204068074498457,0.0197101074879636,12
"CA1",2016,9,0.0252732054211413,0.024730520855173,12
"CA1",2016,10,0.0299187702894418,0.028975761168389,12
"CA1",2016,3,0.00643713834620893,0.00801629694379186,13
"CA1",2016,4,0.00236798449902281,0.0017803906086416,13
"CA1",2016,5,0.0202561336978446,0.0201940176057039,13
"CA1",2016,6,0.0198694920034979,0.0194438880018139,13
