"state_id","ban_year","sample_size","att_pop","att_waste","attempt"
"MA",2014,3,-0.0603872010051841,-0.0603872010051841,1
"MA",2014,4,-0.0459378257873055,-0.0459378257873055,1
"MA",2014,5,-0.0640634960185456,-0.0640634960185456,1
"MA",2014,6,-0.0575023297822491,-0.0575023297822491,1
"MA",2014,7,-0.0659940816201601,-0.0659940816201601,1
"MA",2014,8,-0.0592378433047514,-0.0592378433047514,1
"MA",2014,9,-0.0563628571109124,-0.0563628571109124,1
"MA",2014,10,-0.0613078813981002,-0.0613078813981002,1
"MA",2014,3,-0.0510457056508325,-0.0510457056508325,2
"MA",2014,4,-0.0600655853266572,-0.0600655853266572,2
"MA",2014,5,-0.0671907696665921,-0.0671907696665921,2
"MA",2014,6,-0.0560401796006258,-0.0560401796006258,2
"MA",2014,7,-0.0635420887831499,-0.0635420887831499,2
"MA",2014,8,-0.058806472582682,-0.058806472582682,2
"MA",2014,9,-0.0557879590267704,-0.0557879590267704,2
"MA",2014,10,-0.0586928055818306,-0.0586928055818306,2
"MA",2014,3,-0.0645972620210175,-0.0645972620210175,3
"MA",2014,4,-0.0637874169887537,-0.0637874169887537,3
"MA",2014,5,-0.0555726817234988,-0.0555726817234988,3
"MA",2014,6,-0.0660469116477523,-0.0660469116477523,3
"MA",2014,7,-0.0528924965894189,-0.0528924965894189,3
"MA",2014,8,-0.0598752361609672,-0.0598752361609672,3
"MA",2014,9,-0.066594900993419,-0.066594900993419,3
"MA",2014,10,-0.0630533407001157,-0.0630533407001157,3
"MA",2014,3,-0.0683596428837316,-0.0683596428837316,4
"MA",2014,4,-0.058438702448828,-0.058438702448828,4
"MA",2014,5,-0.0658464889373516,-0.0658464889373516,4
"MA",2014,6,-0.0589991139666294,-0.0589991139666294,4
"MA",2014,7,-0.0580490041814795,-0.0580490041814795,4
"MA",2014,8,-0.0582961145234574,-0.0582961145234574,4
"MA",2014,9,-0.0612958248243073,-0.0612958248243073,4
"MA",2014,10,-0.0640351613002588,-0.0640351613002588,4
"MA",2014,3,-0.0461660655922776,-0.0461660655922776,5
"MA",2014,4,-0.0523395351414829,-0.0523395351414829,5
"MA",2014,5,-0.0643386417064827,-0.0643386417064827,5
"MA",2014,6,-0.0519852558109684,-0.0519852558109684,5
"MA",2014,7,-0.0569390593464831,-0.0569390593464831,5
"MA",2014,8,-0.065683131299553,-0.065683131299553,5
"MA",2014,9,-0.0650995980948379,-0.0650995980948379,5
"MA",2014,10,-0.061875326540594,-0.061875326540594,5
"MA",2014,3,-0.0576900870045006,-0.0576900870045006,6
"MA",2014,4,-0.0470648431429949,-0.0470648431429949,6
"MA",2014,5,-0.0574555225047417,-0.0574555225047417,6
"MA",2014,6,-0.0602229213513511,-0.0602229213513511,6
"MA",2014,7,-0.0657923560463609,-0.0657923560463609,6
"MA",2014,8,-0.0691043335418074,-0.0691043335418074,6
"MA",2014,9,-0.0633271087141722,-0.0633271087141722,6
"MA",2014,10,-0.0733886076632404,-0.0733886076632404,6
"MA",2014,3,-0.0666920037207145,-0.0666920037207145,7
"MA",2014,4,-0.0539278038409794,-0.0539278038409794,7
"MA",2014,5,-0.0595704696100327,-0.0595704696100327,7
"MA",2014,6,-0.0590549959354193,-0.0590549959354193,7
"MA",2014,7,-0.0647271433302325,-0.0647271433302325,7
"MA",2014,8,-0.0721739246270932,-0.0721739246270932,7
"MA",2014,9,-0.0597654932205696,-0.0597654932205696,7
"MA",2014,10,-0.0690818596451693,-0.0690818596451693,7
"MA",2014,3,-0.0442951012312982,-0.0442951012312982,8
"MA",2014,4,-0.0658496646924751,-0.0658496646924751,8
"MA",2014,5,-0.0618360205437656,-0.0618360205437656,8
"MA",2014,6,-0.0668362864367357,-0.0668362864367357,8
"MA",2014,7,-0.0674615415600487,-0.0674615415600487,8
"MA",2014,8,-0.0628957883389389,-0.0628957883389389,8
"MA",2014,9,-0.0616984347666337,-0.0616984347666337,8
"MA",2014,10,-0.0595333151534339,-0.0595333151534339,8
"MA",2014,3,-0.0662574441418608,-0.0662574441418608,9
"MA",2014,4,-0.0533875031681251,-0.0533875031681251,9
"MA",2014,5,-0.0629657819253361,-0.0629657819253361,9
"MA",2014,6,-0.0666616833532465,-0.0666616833532465,9
"MA",2014,7,-0.0629275322510154,-0.0629275322510154,9
"MA",2014,8,-0.0616153583359512,-0.0616153583359512,9
"MA",2014,9,-0.062661965826538,-0.062661965826538,9
"MA",2014,10,-0.0564307230715489,-0.0564307230715489,9
"MA",2014,3,-0.0540429655179686,-0.0540429655179686,10
"MA",2014,4,-0.0575048979062542,-0.0575048979062542,10
"MA",2014,5,-0.0558707394485802,-0.0558707394485802,10
"MA",2014,6,-0.055895758730684,-0.055895758730684,10
"MA",2014,7,-0.0528370906346648,-0.0528370906346648,10
"MA",2014,8,-0.055851295423321,-0.055851295423321,10
"MA",2014,9,-0.0695711663498079,-0.0695711663498079,10
"MA",2014,10,-0.0607436227597142,-0.0607436227597142,10
"MA",2014,3,-0.0561588205262514,-0.0561588205262514,11
"MA",2014,4,-0.0506956690739121,-0.0506956690739121,11
"MA",2014,5,-0.0560768107308188,-0.0560768107308188,11
"MA",2014,6,-0.0773120922387922,-0.0773120922387922,11
"MA",2014,7,-0.0610411803888538,-0.0610411803888538,11
"MA",2014,8,-0.054932698743298,-0.054932698743298,11
"MA",2014,9,-0.0632629449583524,-0.0632629449583524,11
"MA",2014,10,-0.0707232277498575,-0.0707232277498575,11
"MA",2014,3,-0.0485934735184764,-0.0485934735184764,12
"MA",2014,4,-0.0605606569984258,-0.0605606569984258,12
"MA",2014,5,-0.0601170179198354,-0.0601170179198354,12
"MA",2014,6,-0.068599152870987,-0.068599152870987,12
"MA",2014,7,-0.0584035504384413,-0.0584035504384413,12
"MA",2014,8,-0.0622777067575717,-0.0622777067575717,12
"MA",2014,9,-0.0634018660461516,-0.0634018660461516,12
"MA",2014,10,-0.055868025343972,-0.055868025343972,12
"MA",2014,3,-0.0503585313335425,-0.0503585313335425,13
"MA",2014,4,-0.0651126661831358,-0.0651126661831358,13
"MA",2014,5,-0.051337089255678,-0.051337089255678,13
"MA",2014,6,-0.0673550644853151,-0.0673550644853151,13
"MA",2014,7,-0.0598118065344841,-0.0598118065344841,13
"MA",2014,8,-0.0620915785523616,-0.0620915785523616,13
"MA",2014,9,-0.0585725335896626,-0.0585725335896626,13
"MA",2014,10,-0.0717681034586233,-0.0717681034586233,13
"MA",2014,3,-0.0516145855243067,-0.0516145855243067,14
"MA",2014,4,-0.0717061333636146,-0.0717061333636146,14
"MA",2014,5,-0.0722177356037948,-0.0722177356037948,14
"MA",2014,6,-0.0677517881418754,-0.0677517881418754,14
"MA",2014,7,-0.0482149067436755,-0.0482149067436755,14
"MA",2014,8,-0.0687577426661867,-0.0687577426661867,14
"MA",2014,9,-0.056515651499739,-0.056515651499739,14
"MA",2014,10,-0.0614272826838901,-0.0614272826838901,14
"MA",2014,3,-0.0549799712391015,-0.0549799712391015,15
"MA",2014,4,-0.0597847001418899,-0.0597847001418899,15
"MA",2014,5,-0.0622358689289835,-0.0622358689289835,15
"MA",2014,6,-0.0611091189899839,-0.0611091189899839,15
"MA",2014,7,-0.0593427550809408,-0.0593427550809408,15
"MA",2014,8,-0.0650850761552105,-0.0650850761552105,15
"MA",2014,9,-0.0513964871339835,-0.0513964871339835,15
"MA",2014,10,-0.0598131814058812,-0.0598131814058812,15
"MA",2014,3,-0.0531407481910637,-0.0531407481910637,16
"MA",2014,4,-0.051622786442556,-0.051622786442556,16
"MA",2014,5,-0.0656882310226505,-0.0656882310226505,16
"MA",2014,6,-0.0589816962120155,-0.0589816962120155,16
"MA",2014,7,-0.0574338983436841,-0.0574338983436841,16
"MA",2014,8,-0.0623304738079484,-0.0623304738079484,16
"MA",2014,9,-0.0650265642059042,-0.0650265642059042,16
"MA",2014,10,-0.0565296607291155,-0.0565296607291155,16
"MA",2014,3,-0.0596132571808105,-0.0596132571808105,17
"MA",2014,4,-0.0549124790899865,-0.0549124790899865,17
"MA",2014,5,-0.0544462047540064,-0.0544462047540064,17
"MA",2014,6,-0.0604569909728036,-0.0604569909728036,17
"MA",2014,7,-0.0634485730985407,-0.0634485730985407,17
"MA",2014,8,-0.0564954210045711,-0.0564954210045711,17
"MA",2014,9,-0.0587829692361039,-0.0587829692361039,17
"MA",2014,10,-0.0706668971319941,-0.0706668971319941,17
"MA",2014,3,-0.0586312831464744,-0.0586312831464744,18
"MA",2014,4,-0.0583233594551768,-0.0583233594551768,18
"MA",2014,5,-0.0580471122158393,-0.0580471122158393,18
"MA",2014,6,-0.0559844933431769,-0.0559844933431769,18
"MA",2014,7,-0.0681481867521716,-0.0681481867521716,18
"MA",2014,8,-0.0632109725383687,-0.0632109725383687,18
"MA",2014,9,-0.0648139759277892,-0.0648139759277892,18
"MA",2014,10,-0.0645393985323954,-0.0645393985323954,18
"MA",2014,3,-0.0611703512497044,-0.0611703512497044,19
"MA",2014,4,-0.0507679173135548,-0.0507679173135548,19
"MA",2014,5,-0.0614968620515896,-0.0614968620515896,19
"MA",2014,6,-0.0604552880399217,-0.0604552880399217,19
"MA",2014,7,-0.0675791646085471,-0.0675791646085471,19
