"att","mape","r_sq","nreg","lambda","type","ban_year","county_id"
-0.0695257445031152,0.0829636875308792,0.848946837063789,3,0.0170037199604443,"No Constraint",2015,"bacaCO"
-0.0695257445031152,0.0829636875308792,0.848946837063789,3,0.0170037199604443,"Constraint",2015,"bacaCO"
0.242971322823398,0.222736306625611,0.999005079218384,6,0.00635814521191475,"No Constraint",2015,"cheyenneCO"
-0.644424552393807,0.693766205555197,0,0,0.00635814521191475,"Constraint",2015,"cheyenneCO"
-0.064722380964216,0.157115696159217,0.2308884833756,2,0.0788516030917827,"No Constraint",2015,"custerCO"
-0.064722380964216,0.157115696159217,0.2308884833756,2,0.0788516030917827,"Constraint",2015,"custerCO"
0.0504739289668335,0.0810014921836461,0.976611809494115,5,0.0574722964179736,"No Constraint",2015,"eagleCO"
-1.4817312117076,1.28719124493946,0,0,0.0574722964179736,"Constraint",2015,"eagleCO"
0.220349645543899,0.0701305178164907,0.852852405182673,3,0.0699044775393617,"No Constraint",2015,"el pasoCO"
0.220349645543899,0.0701305178164907,0.852852405182673,3,0.0699044775393617,"Constraint",2015,"el pasoCO"
0.0816213374848085,0.0697892878417526,2.03142545509667e-16,1,0.108514460214259,"No Constraint",2015,"gunnisonCO"
0.0816213374848085,0.0697892878417526,2.03142545509667e-16,1,0.108514460214259,"Constraint",2015,"gunnisonCO"
0.137037088673326,0.0923863713101024,0.708209424731041,1,0.0370551941608704,"No Constraint",2015,"jeffersonCO"
0.137037088673326,0.0923863713101024,0.708209424731041,1,0.0370551941608704,"Constraint",2015,"jeffersonCO"
-0.112125161582483,0.180019279841793,0.984493216532098,4,0.00716006662681244,"No Constraint",2015,"larimerCO"
-0.807543818962309,0.75900339659751,0,0,0.00716006662681244,"Constraint",2015,"larimerCO"
-0.0696558106566213,0.14349483312168,0.999051206291592,8,0.012347778809875,"No Constraint",2015,"mesaCO"
-1.28152650789424,1.21226549631338,0,0,0.0313061199739536,"Constraint",2015,"mesaCO"
0.127536375394181,0.151985676585281,0.972684742731932,5,0.0110337040169913,"No Constraint",2015,"montezumaCO"
-1.02203560365636,1.10441022992674,0,0,0.0110337040169913,"Constraint",2015,"montezumaCO"
-0.215784173194207,0.0425109190410886,0.985317990171266,5,0.00812958323868508,"No Constraint",2015,"morganCO"
-1.05613709140149,0.88707353003015,0,0,0.00231533446592096,"Constraint",2015,"morganCO"
0.10132848290069,0.200144500349342,0.833173352263386,5,0.0363840197732126,"No Constraint",2015,"oteroCO"
0.10132848290069,0.200144500349342,0.833173352263386,5,0.0363840197732126,"Constraint",2015,"oteroCO"
-0.0375941148529895,0.0155039456101962,0.574745778268393,2,0.0228982312644777,"No Constraint",2015,"phillipsCO"
-0.0375941148529895,0.0155039456101962,0.574745778268393,2,0.0228982312644777,"Constraint",2015,"phillipsCO"
-0.198158640642526,0.133079711248876,2.11013170679548e-16,1,0.0824002974736494,"No Constraint",2015,"prowersCO"
-0.198158640642526,0.133079711248876,2.11013170679548e-16,1,0.0824002974736494,"Constraint",2015,"prowersCO"
0.434141196342628,0.387494474678246,0.999067217070516,9,0.0119499703706023,"No Constraint",2015,"summitCO"
-1.59585823194124,1.2843664519438,0,0,0.0229189708004603,"Constraint",2015,"summitCO"
0.319660710912973,0.291737169078573,0,0,0.103284688172376,"No Constraint",2015,"washingtonCO"
0.319660710912973,0.291737169078573,0,0,0.103284688172376,"Constraint",2015,"washingtonCO"
0.0655768859353149,0.0466235411916666,0.963047017534054,5,0.00720898960305128,"No Constraint",2015,"yumaCO"
-0.63897445094807,0.65358655539044,0,0,0.00195982743768392,"Constraint",2015,"yumaCO"
0.0274492501011449,0.0367183508240342,0.99909189419617,4,0.00235449224016479,"No Constraint",2015,"DE"
-0.725971528198872,0.68179512304993,0,0,0.014446946061622,"Constraint",2015,"DE"
-0.369174704177805,0.122899480724628,0.96151227317321,5,0.0285408128893687,"No Constraint",2015,"bakerFL"
-0.330974891236492,0.110168568843869,0.902388188040924,5,0.0454450452717094,"Constraint",2015,"bakerFL"
0.552247367957089,0.662311026613288,0,0,0.235702271342518,"No Constraint",2015,"bayFL"
0.552247367957089,0.662311026613288,0,0,0.235702271342518,"Constraint",2015,"bayFL"
0.0276309506831401,0.117621211746193,4.22540569058694e-16,1,0.0869173355150487,"No Constraint",2015,"bradfordFL"
0.0276309506831401,0.117621211746193,4.22540569058694e-16,1,0.0869173355150487,"Constraint",2015,"bradfordFL"
0.498038805145442,0.277646510560009,0.99908256923411,4,0.00625667880494134,"No Constraint",2015,"brevardFL"
-1.21748810779017,1.11996292208687,0,0,0.00625667880494134,"Constraint",2015,"brevardFL"
0.134231980962281,0.0352138843192429,0.999064396443309,12,0.00855803466001735,"No Constraint",2015,"browardFL"
-0.0011664282679697,0.0190063502863379,0.983075825787286,6,0.0361940071046567,"Constraint",2015,"browardFL"
0.0735458641223468,0.284789238122944,0.999064512736377,5,0.0102589932814469,"No Constraint",2015,"charlotteFL"
-1.15496615118916,1.01656323592335,0,0,0.0179278821148166,"Constraint",2015,"charlotteFL"
-0.117041470504918,0.0454457909437493,0.973281288132986,6,0.0140017110740832,"No Constraint",2015,"clayFL"
-0.140407193314505,0.0259161557436736,0.799956451679248,3,0.0389605927961778,"Constraint",2015,"clayFL"
0.00631261830838337,0.209558014402718,0.999072139643911,5,0.011989946107069,"No Constraint",2015,"collierFL"
-1.1581954605654,0.832265439117106,0,0,0.0166047129574269,"Constraint",2015,"collierFL"
-0.0611078829575888,0.0595047909920505,2.16306377398342e-16,1,0.0471706453018636,"No Constraint",2015,"columbiaFL"
