"state_id","ban_year","sample_size","att_f","rsq","mape","attempt"
"CT",2014,3,-0.24421045726136,0.89438564882314,0.0984515349494729,1
"CT",2014,4,-0.131772109674967,0.952873806261733,0.18503349861515,1
"CT",2014,5,-0.0752128893810016,0.928718226151001,0.246518472547374,1
"CT",2014,6,-0.129911224833785,0.905582107016916,0.289931537621081,1
"CT",2014,7,-0.0547600752423415,0.888326740629148,0.342409967915488,1
"CT",2014,8,-0.0181853554719519,0.866120730362744,0.376383121596561,1
"CT",2014,9,0.0142899993991752,0.876097169165909,0.419739908768481,1
"CT",2014,10,0.0346524010459785,0.876860453676475,0.471124007362377,1
"VT",2015,3,-0.0220494175703481,0.388775986857204,0.00740810746486995,1
"VT",2015,4,-0.0796336578665969,0.637522326153884,0.0052826090141834,1
"VT",2015,5,-0.0270383207575733,0.705639294005144,0.00653159389010436,1
"VT",2015,6,-0.0457039383757588,0.799475229352684,0.0104518478930267,1
"VT",2015,7,-0.0062466955351248,0.804500555235572,0.0332788781816833,1
"VT",2015,8,0.0268078236907875,0.862794780360773,0.0637093172801068,1
"VT",2015,9,0.0548941014198455,0.847978489968246,0.0915765206341699,1
"VT",2015,10,0.0988350895739627,0.818758307369656,0.121969030428575,1
"CT",2014,3,-0.254975373873548,0.92161413104564,0.0750172072857075,2
"CT",2014,4,-0.153475532456445,0.954383287115606,0.179851201143758,2
"CT",2014,5,-0.172403953092067,0.924908761724985,0.243211021989556,2
"CT",2014,6,-0.112577102140258,0.915701706225305,0.296318988461631,2
"CT",2014,7,-0.057052730605865,0.883991624332532,0.336971424292394,2
"CT",2014,8,-0.0134033785119872,0.873271042782715,0.376029823061808,2
"CT",2014,9,0.0142899993991752,0.876097169165909,0.419739908768481,2
"CT",2014,10,0.0346524010459785,0.876860453676475,0.471124007362377,2
"VT",2015,3,-0.0472855170155454,0.399144369398556,0.00735147612764165,2
"VT",2015,4,-0.0658530470929027,0.635170045495116,0.00700298886449672,2
"VT",2015,5,-0.0338767826891293,0.685969988894414,0.0075536660292111,2
