"year","ban_year","attempt","tons_pc","y_0","y_0_effect"
1997,2007,1,1.02383739034669,1.07129317148934,NA
1997,2007,2,1.02383739034669,1.07164180044949,NA
1997,2007,3,1.02383739034669,1.07143008411339,NA
1997,2007,4,1.02383739034669,1.07041379263791,NA
1997,2007,5,1.02383739034669,1.07055046434738,NA
1997,2007,6,1.02383739034669,1.07951498136725,NA
1997,2007,7,1.02383739034669,1.08334349681441,NA
1997,2007,8,1.02383739034669,1.08552876362236,NA
1997,2007,9,1.02383739034669,1.08114670859186,NA
1997,2007,10,1.02383739034669,1.08114670859186,NA
1997,2007,11,1.02383739034669,1.07887648458777,NA
1997,2007,12,1.02383739034669,1.07717707388981,NA
1997,2007,13,1.02383739034669,1.07748862095615,NA
1997,2007,14,1.02383739034669,1.08613673926533,NA
1997,2007,15,1.02383739034669,1.08552536448,NA
1997,2007,16,1.02383739034669,1.08431799395279,NA
1997,2007,17,1.02383739034669,1.08252681265785,NA
1997,2007,18,1.02383739034669,1.08924936276151,NA
1997,2007,19,1.02383739034669,1.08612388386237,NA
1997,2007,20,1.02383739034669,1.08998568336372,NA
1997,2007,21,1.02383739034669,1.08943337564481,NA
1997,2007,22,1.02383739034669,1.08853822164388,NA
1997,2007,23,1.02383739034669,1.08197248019332,NA
1997,2007,24,1.02383739034669,1.08201621247672,NA
1997,2007,25,1.02383739034669,1.07494404690314,NA
1997,2007,26,1.02383739034669,1.07777281179303,NA
1997,2007,27,1.02383739034669,1.07608203517042,NA
1997,2007,28,1.02383739034669,1.09261282353617,NA
1997,2007,29,1.02383739034669,1.09775078823293,NA
1997,2007,30,1.02383739034669,1.09820281553801,NA
1997,2007,31,1.02383739034669,1.09969798489513,NA
1997,2007,32,1.02383739034669,1.10794203194545,NA
1997,2007,33,1.02383739034669,1.10660397760932,NA
1997,2007,34,1.02383739034669,1.10593808004714,NA
1997,2007,35,1.02383739034669,1.10197501204461,NA
1997,2007,36,1.02383739034669,1.06948276317112,NA
1997,2007,37,1.02383739034669,1.06954661666123,NA
1997,2007,38,1.02383739034669,1.07144125742674,NA
1997,2007,39,1.02383739034669,1.07506341887738,NA
1997,2007,40,1.02383739034669,1.0821458577724,NA
1997,2007,41,1.02383739034669,1.11033339034255,NA
1997,2007,42,1.02383739034669,1.10981950395204,NA
1997,2007,43,1.02383739034669,1.10522905918363,NA
1997,2007,44,1.02383739034669,1.10527535811287,NA
1997,2007,45,1.02383739034669,1.10329739110555,NA
1997,2007,46,1.02383739034669,1.08893342134777,NA
1997,2007,47,1.02383739034669,1.08684517180774,NA
1997,2007,48,1.02383739034669,1.08719288750438,NA
1997,2007,49,1.02383739034669,1.08099041147885,NA
1997,2007,50,1.02383739034669,1.08147817777805,NA
1998,2007,1,1.07772402304722,1.06710584851383,NA
1998,2007,2,1.07772402304722,1.06742588884801,NA
1998,2007,3,1.07772402304722,1.06731418127984,NA
1998,2007,4,1.07772402304722,1.0661521706039,NA
1998,2007,5,1.07772402304722,1.06647763976369,NA
1998,2007,6,1.07772402304722,1.07304692213327,NA
1998,2007,7,1.07772402304722,1.07421824832142,NA
1998,2007,8,1.07772402304722,1.07600479996923,NA
1998,2007,9,1.07772402304722,1.07298032923525,NA
1998,2007,10,1.07772402304722,1.07298032923525,NA
1998,2007,11,1.07772402304722,1.07182496947186,NA
1998,2007,12,1.07772402304722,1.06925714433224,NA
1998,2007,13,1.07772402304722,1.06844465846849,NA
1998,2007,14,1.07772402304722,1.07401973754426,NA
1998,2007,15,1.07772402304722,1.07262029115809,NA
1998,2007,16,1.07772402304722,1.07160376415779,NA
1998,2007,17,1.07772402304722,1.06954028232284,NA
1998,2007,18,1.07772402304722,1.07280025549813,NA
1998,2007,19,1.07772402304722,1.07022463879837,NA
1998,2007,20,1.07772402304722,1.07510532708528,NA
1998,2007,21,1.07772402304722,1.07542521178015,NA
1998,2007,22,1.07772402304722,1.07497732665099,NA
1998,2007,23,1.07772402304722,1.07157856712527,NA
1998,2007,24,1.07772402304722,1.07226009842144,NA
1998,2007,25,1.07772402304722,1.06724807869423,NA
1998,2007,26,1.07772402304722,1.06993878888119,NA
1998,2007,27,1.07772402304722,1.06986694013252,NA
1998,2007,28,1.07772402304722,1.08140110486506,NA
1998,2007,29,1.07772402304722,1.08439991981156,NA
1998,2007,30,1.07772402304722,1.0828304039801,NA
1998,2007,31,1.07772402304722,1.08265623827567,NA
1998,2007,32,1.07772402304722,1.09078048752719,NA
1998,2007,33,1.07772402304722,1.08732226486227,NA
1998,2007,34,1.07772402304722,1.08692378487141,NA
1998,2007,35,1.07772402304722,1.08419470262818,NA
1998,2007,36,1.07772402304722,1.0622719673301,NA
1998,2007,37,1.07772402304722,1.06215847800794,NA
1998,2007,38,1.07772402304722,1.06322263583346,NA
1998,2007,39,1.07772402304722,1.06737737745608,NA
1998,2007,40,1.07772402304722,1.07057281380023,NA
1998,2007,41,1.07772402304722,1.09643113697563,NA
1998,2007,42,1.07772402304722,1.09982981356795,NA
1998,2007,43,1.07772402304722,1.09442261940824,NA
1998,2007,44,1.07772402304722,1.09450982304578,NA
1998,2007,45,1.07772402304722,1.09287311805908,NA
1998,2007,46,1.07772402304722,1.08089783317382,NA
1998,2007,47,1.07772402304722,1.07460815071763,NA
1998,2007,48,1.07772402304722,1.07610424711608,NA
1998,2007,49,1.07772402304722,1.07196278911847,NA
1998,2007,50,1.07772402304722,1.07267980929243,NA
1999,2007,1,1.06322763924638,1.04920024141069,NA
1999,2007,2,1.06322763924638,1.04869014508322,NA
