"year","county_id","intercept2","intercept","ban_year","attempt","tons_pc","y","y_0","effect_size","treated_state","y_0_effect"
2006,"CA",-0.158193853823779,-0.158448691664827,2016,35,1.14985631906453,1.27001503049719,1.11182117667341,NA,"CA",NA
2006,"CA",-0.158193853823779,-0.158448691664827,2016,36,1.14985631906453,1.27001503049719,1.11182117667341,NA,"CA",NA
2006,"CA",-0.150558996199496,-0.149518511179934,2016,23,1.14985631906453,1.23284167601422,1.08228267981473,NA,"CA",NA
2006,"CA",-0.150558996199496,-0.149518511179934,2016,24,1.14985631906453,1.23284167601422,1.08228267981473,NA,"CA",NA
2006,"CA",-0.137709051315351,-0.137006094390727,2016,9,1.14985631906453,1.22477699522473,1.08706794390938,NA,"CA",NA
2006,"CA",-0.137647770483504,-0.13681166641227,2016,16,1.14985631906453,1.22869351268184,1.09104574219833,NA,"CA",NA
2006,"CA",-0.131019650814991,-0.130498355019222,2016,41,1.14985631906453,1.28330185999674,1.15228220918175,NA,"CA",NA
2006,"CA",-0.131019650814991,-0.130498355019222,2016,42,1.14985631906453,1.28330185999674,1.15228220918175,NA,"CA",NA
2006,"CA",-0.12188961366061,-0.120717804731647,2016,27,1.14985631906453,1.1774795968395,1.05558998317889,NA,"CA",NA
2006,"CA",-0.12090022709898,-0.12101650728425,2016,3,1.14985631906453,1.19479005801204,1.07388983091306,NA,"CA",NA
2006,"CA",-0.12090022709898,-0.12101650728425,2016,4,1.14985631906453,1.19479005801204,1.07388983091306,NA,"CA",NA
2006,"CA",-0.11520021316025,-0.114210065360142,2016,37,1.14985631906453,1.23600446161151,1.12080424845126,NA,"CA",NA
2006,"CA",-0.110944028931182,-0.11032002214483,2016,8,1.14985631906453,1.18207742132206,1.07113339239088,NA,"CA",NA
2006,"CA",-0.108978387944618,-0.108010959963984,2016,21,1.14985631906453,1.17333143350711,1.0643530455625,NA,"CA",NA
2006,"CA",-0.108166644534476,-0.106719932538953,2016,38,1.14985631906453,1.1559816018649,1.04781495733042,NA,"CA",NA
2006,"CA",-0.097412664513956,-0.0962216219322108,2016,28,1.14985631906453,1.18943671092771,1.09202404641375,NA,"CA",NA
2006,"CA",-0.0943768432476318,-0.092842008251512,2016,45,1.14985631906453,1.182952002483,1.08857515923536,NA,"CA",NA
2006,"CA",-0.0912909881573952,-0.090850293337729,2016,10,1.14985631906453,1.17446306024491,1.08317207208751,NA,"CA",NA
2006,"CA",-0.0912909881573952,-0.090850293337729,2016,11,1.14985631906453,1.17446306024491,1.08317207208751,NA,"CA",NA
2006,"CA",-0.0912909881573952,-0.090850293337729,2016,12,1.14985631906453,1.17446306024491,1.08317207208751,NA,"CA",NA
2006,"CA",-0.0822746463922961,-0.0815193156965428,2016,14,1.14985631906453,1.12671534214734,1.04444069575505,NA,"CA",NA
2006,"CA",-0.068682001143223,-0.0672264875054671,2016,39,1.14985631906453,1.13799114921009,1.06930914806687,NA,"CA",NA
2006,"CA",-0.068682001143223,-0.0672264875054671,2016,40,1.14985631906453,1.13799114921009,1.06930914806687,NA,"CA",NA
2006,"CA",-0.068551677266162,-0.0675214435038489,2016,25,1.14985631906453,1.10521734717274,1.03666566990658,NA,"CA",NA
2006,"CA",-0.068551677266162,-0.0675214435038489,2016,26,1.14985631906453,1.10521734717274,1.03666566990658,NA,"CA",NA
2006,"CA",-0.0673047119288844,-0.0667439327161473,2016,5,1.14985631906453,1.12662482868243,1.05932011675354,NA,"CA",NA
2006,"CA",-0.065657426884833,-0.0654292005701409,2016,1,1.14985631906453,1.1255856895149,1.05992826263006,NA,"CA",NA
2006,"CA",-0.0627685196875575,-0.0620629990508533,2016,13,1.14985631906453,1.11595882273838,1.05319030305083,NA,"CA",NA
2006,"CA",-0.0626216056185089,-0.0620495868894422,2016,6,1.14985631906453,1.11910098107018,1.05647937545167,NA,"CA",NA
2006,"CA",-0.0626216056185089,-0.0620495868894422,2016,7,1.14985631906453,1.11910098107018,1.05647937545167,NA,"CA",NA
2006,"CA",-0.058703961020697,-0.0591719340412137,2016,43,1.14985631906453,1.16521238053246,1.10650841951176,NA,"CA",NA
2006,"CA",-0.058703961020697,-0.0591719340412137,2016,44,1.14985631906453,1.16521238053246,1.10650841951176,NA,"CA",NA
2006,"CA",-0.0535817428027502,-0.0527460605234534,2016,15,1.14985631906453,1.10512683370782,1.05154509090507,NA,"CA",NA
2006,"CA",-0.0519344577586988,-0.051431328377447,2016,2,1.14985631906453,1.10408769454029,1.05215323678159,NA,"CA",NA
2006,"CA",-0.051507172388331,-0.0518761011646887,2016,17,1.14985631906453,1.1685938376696,1.11708666528127,NA,"CA",NA
2006,"CA",-0.0498802311705483,-0.049395331539919,2016,20,1.14985631906453,1.13882227112007,1.08894203994952,NA,"CA",NA
