state_id,ban_year,sample_size,att_pop,att_waste,attempt
MA,2013,6,-0.009006956,-0.009006956,15
MA,2013,7,-0.015728435,-0.015728435,15
MA,2013,8,-0.017071312,-0.017071312,15
MA,2013,9,-0.025857282,-0.025857282,15
MA,2013,10,-0.007698488,-0.007698488,15
MA,2013,3,-0.006973853,-0.006973853,16
MA,2013,4,-0.008834643,-0.008834643,16
MA,2013,5,-0.011622083,-0.011622083,16
MA,2013,6,-0.009774315,-0.009774315,16
MA,2013,7,-0.015069074,-0.015069074,16
MA,2013,8,-0.015183052,-0.015183052,16
MA,2013,9,-0.018773356,-0.018773356,16
MA,2013,10,-0.011412037,-0.011412037,16
MA,2013,3,-0.012291197,-0.012291197,17
MA,2013,4,-0.004736423,-0.004736423,17
MA,2013,5,-0.013684418,-0.013684418,17
MA,2013,6,-0.012029764,-0.012029764,17
MA,2013,7,-0.017592292,-0.017592292,17
MA,2013,8,-0.017619588,-0.017619588,17
MA,2013,9,-0.019297089,-0.019297089,17
MA,2013,10,-0.017315587,-0.017315587,17
MA,2013,3,-0.006594605,-0.006594605,18
MA,2013,4,-0.00582544,-0.00582544,18
MA,2013,5,-0.004875912,-0.004875912,18
MA,2013,6,-0.018431215,-0.018431215,18
MA,2013,7,-0.019319582,-0.019319582,18
MA,2013,8,-0.020714261,-0.020714261,18
MA,2013,9,-0.003723292,-0.003723292,18
MA,2013,10,-0.012741975,-0.012741975,18
MA,2013,3,-0.008523455,-0.008523455,19
MA,2013,4,-0.007062971,-0.007062971,19
MA,2013,5,-0.008305449,-0.008305449,19
MA,2013,6,-0.02255486,-0.02255486,19
MA,2013,7,-0.022384531,-0.022384531,19
MA,2013,8,-0.011464963,-0.011464963,19
MA,2013,9,-0.021870326,-0.021870326,19
MA,2013,10,-0.019064105,-0.019064105,19
MA,2013,3,-0.002872677,-0.002872677,20
MA,2013,4,-0.009647072,-0.009647072,20
MA,2013,5,-0.00974365,-0.00974365,20
