"r_sq","mape","att","cf","intercept","att2","intercept2","sample_size","county_id","iterations","ban_year","donor_number","chosen_donor","attempt"
0.637057326351023,0.00672642312583279,-0.227646202523353,0.954764076216486,-0.212398726908863,-0.225353090682746,-0.212963985940255,6,"MA",5000,2014,"donor_1","CO",1
0.637057326351023,0.00672642312583279,-0.227646202523353,0.954764076216486,-0.212398726908863,-0.225353090682746,-0.212963985940255,6,"MA",5000,2014,"donor_2","MN",1
0.637057326351023,0.00672642312583279,-0.227646202523353,0.954764076216486,-0.212398726908863,-0.225353090682746,-0.212963985940255,6,"MA",5000,2014,"donor_3","AL",1
0.637057326351023,0.00672642312583279,-0.227646202523353,0.954764076216486,-0.212398726908863,-0.225353090682746,-0.212963985940255,6,"MA",5000,2014,"donor_4","KY",1
0.637057326351023,0.00672642312583279,-0.227646202523353,0.954764076216486,-0.212398726908863,-0.225353090682746,-0.212963985940255,6,"MA",5000,2014,"donor_5","IA",1
0.637057326351023,0.00672642312583279,-0.227646202523353,0.954764076216486,-0.212398726908863,-0.225353090682746,-0.212963985940255,6,"MA",5000,2014,"donor_6","FL",1
0.316371610105433,0.0143757005810769,-0.190856121451774,0.9113529490987,-0.163839533360415,-0.194650915209467,-0.162980676860144,6,"MA",5000,2014,"donor_1","FL",2
0.316371610105433,0.0143757005810769,-0.190856121451774,0.9113529490987,-0.163839533360415,-0.194650915209467,-0.162980676860144,6,"MA",5000,2014,"donor_2","TN",2
0.316371610105433,0.0143757005810769,-0.190856121451774,0.9113529490987,-0.163839533360415,-0.194650915209467,-0.162980676860144,6,"MA",5000,2014,"donor_3","OR",2
0.316371610105433,0.0143757005810769,-0.190856121451774,0.9113529490987,-0.163839533360415,-0.194650915209467,-0.162980676860144,6,"MA",5000,2014,"donor_4","SC",2
0.316371610105433,0.0143757005810769,-0.190856121451774,0.9113529490987,-0.163839533360415,-0.194650915209467,-0.162980676860144,6,"MA",5000,2014,"donor_5","CO",2
0.316371610105433,0.0143757005810769,-0.190856121451774,0.9113529490987,-0.163839533360415,-0.194650915209467,-0.162980676860144,6,"MA",5000,2014,"donor_6","IA",2
0.16733490932272,0.0175826383974529,-0.11013981200457,0.82868710153361,-0.173982178916581,-0.118837465071397,-0.172346241703096,6,"MA",5000,2014,"donor_1","CO",3
0.16733490932272,0.0175826383974529,-0.11013981200457,0.82868710153361,-0.173982178916581,-0.118837465071397,-0.172346241703096,6,"MA",5000,2014,"donor_2","AL",3
0.16733490932272,0.0175826383974529,-0.11013981200457,0.82868710153361,-0.173982178916581,-0.118837465071397,-0.172346241703096,6,"MA",5000,2014,"donor_3","MN",3
0.16733490932272,0.0175826383974529,-0.11013981200457,0.82868710153361,-0.173982178916581,-0.118837465071397,-0.172346241703096,6,"MA",5000,2014,"donor_4","IA",3
0.16733490932272,0.0175826383974529,-0.11013981200457,0.82868710153361,-0.173982178916581,-0.118837465071397,-0.172346241703096,6,"MA",5000,2014,"donor_5","NY",3
0.16733490932272,0.0175826383974529,-0.11013981200457,0.82868710153361,-0.173982178916581,-0.118837465071397,-0.172346241703096,6,"MA",5000,2014,"donor_6","IL",3
0.649016780697664,0.019090295696892,-0.0931969205386537,0.813203744740392,-0.150505617070453,-0.104009115704096,-0.148542981567903,6,"MA",5000,2014,"donor_1","CO",4
0.649016780697664,0.019090295696892,-0.0931969205386537,0.813203744740392,-0.150505617070453,-0.104009115704096,-0.148542981567903,6,"MA",5000,2014,"donor_2","CT",4
0.649016780697664,0.019090295696892,-0.0931969205386537,0.813203744740392,-0.150505617070453,-0.104009115704096,-0.148542981567903,6,"MA",5000,2014,"donor_3","IA",4
0.649016780697664,0.019090295696892,-0.0931969205386537,0.813203744740392,-0.150505617070453,-0.104009115704096,-0.148542981567903,6,"MA",5000,2014,"donor_4","TN",4
0.649016780697664,0.019090295696892,-0.0931969205386537,0.813203744740392,-0.150505617070453,-0.104009115704096,-0.148542981567903,6,"MA",5000,2014,"donor_5","NY",4
0.649016780697664,0.019090295696892,-0.0931969205386537,0.813203744740392,-0.150505617070453,-0.104009115704096,-0.148542981567903,6,"MA",5000,2014,"donor_6","IL",4
0.947763090295208,0.0240864425143733,-0.0775759415546814,0.799432379509863,-0.167019579712239,-0.0661783043567055,-0.168971052947114,6,"MA",5000,2014,"donor_1","TN",5
0.947763090295208,0.0240864425143733,-0.0775759415546814,0.799432379509863,-0.167019579712239,-0.0661783043567055,-0.168971052947114,6,"MA",5000,2014,"donor_2","CO",5
0.947763090295208,0.0240864425143733,-0.0775759415546814,0.799432379509863,-0.167019579712239,-0.0661783043567055,-0.168971052947114,6,"MA",5000,2014,"donor_3","CT",5
0.947763090295208,0.0240864425143733,-0.0775759415546814,0.799432379509863,-0.167019579712239,-0.0661783043567055,-0.168971052947114,6,"MA",5000,2014,"donor_4","IA",5
0.947763090295208,0.0240864425143733,-0.0775759415546814,0.799432379509863,-0.167019579712239,-0.0661783043567055,-0.168971052947114,6,"MA",5000,2014,"donor_5","NY",5
0.947763090295208,0.0240864425143733,-0.0775759415546814,0.799432379509863,-0.167019579712239,-0.0661783043567055,-0.168971052947114,6,"MA",5000,2014,"donor_6","OH",5
0.778863142347502,0.0254536802593314,-0.142973989382597,0.860435565343985,-0.154319383207485,-0.155629424595788,-0.151740139716646,6,"MA",5000,2014,"donor_1","NY",6
0.778863142347502,0.0254536802593314,-0.142973989382597,0.860435565343985,-0.154319383207485,-0.155629424595788,-0.151740139716646,6,"MA",5000,2014,"donor_2","CO",6
