"sample_size","ban_year","att_min","att_max","att_median","specification"
3,2014,-0.723643477100415,0.769054984831581,-0.0603867551039181,"County"
3,2015,-0.618337140314479,0.739675384327614,-0.0501166085670724,"County"
3,2016,-0.69686883683086,0.765496048217512,-0.0459659107557732,"County"
4,2014,-0.710649880697031,0.771680628336596,-0.0796920800685425,"County"
4,2015,-0.61958157572961,0.734392599512876,-0.0510172910694134,"County"
4,2016,-0.721210234154638,0.758358941124467,-0.05699280941092,"County"
5,2014,-0.688319893671456,0.787501690843862,-0.0760522903339025,"County"
5,2015,-0.622562861679848,0.730490307508064,-0.0578156730494252,"County"
5,2016,-0.760364340081387,0.757718154097466,-0.0666004755410184,"County"
6,2014,-0.719115956668569,0.767495596280312,-0.0626978411402206,"County"
6,2015,-0.634311755815464,0.76501109111786,-0.0556740495578727,"County"
6,2016,-0.704810998082072,0.759709926422765,-0.0731780894737911,"County"
7,2014,-0.708386701709102,0.757160063904861,-0.0678880302715889,"County"
7,2015,-0.636070740386041,0.759461048269453,-0.0637358924287299,"County"
7,2016,-0.70483217605491,0.767226544585604,-0.0630410724102651,"County"
8,2014,-0.712496826465065,0.752730353239729,-0.0748238287972469,"County"
8,2015,-0.629925018812561,0.771758099986889,-0.0755327788181024,"County"
8,2016,-0.681414864510244,0.7473422607902,-0.0570314134107237,"County"
9,2014,-0.714597129585499,0.792825998427045,-0.0690025280108345,"County"
9,2015,-0.627562286829074,0.75908866870999,-0.0827156565821315,"County"
9,2016,-0.70803896844057,0.760992088882431,-0.069444904707869,"County"
10,2014,-0.707800712323748,0.764060696315227,-0.0700471995689735,"County"
10,2015,-0.63163614558077,0.777469401007824,-0.0755876388543266,"County"
10,2016,-0.692334069250701,0.777184172186811,-0.0702216310590251,"County"
3,2014,-0.192461462544021,0.214534302476359,-0.00691745046813662,"County Pooled"
3,2015,-0.180565449693274,0.216999089581326,-0.00408545873185852,"County Pooled"
3,2016,-0.178645488051221,0.252558438974531,0.0172207921391736,"County Pooled"
4,2014,-0.190881501554617,0.216605477322991,-0.0127522322778916,"County Pooled"
4,2015,-0.178092909362967,0.227821409609796,0.00307779051150671,"County Pooled"
4,2016,-0.170178267665004,0.256482837289295,0.0132813116868446,"County Pooled"
5,2014,-0.190853212034881,0.222149255316858,-0.0122443614384398,"County Pooled"
5,2015,-0.186921583500874,0.220841893562051,0.00219672571644496,"County Pooled"
5,2016,-0.182024697404007,0.242877619412387,0.0104291681709026,"County Pooled"
6,2014,-0.189101138854311,0.221118804314219,-0.0153251374772151,"County Pooled"
6,2015,-0.186703942872748,0.213225736892203,0.000507556212094737,"County Pooled"
6,2016,-0.178202182554317,0.255861965868902,0.0135552921882723,"County Pooled"
7,2014,-0.190880461709826,0.223695144302812,-0.0136285150206007,"County Pooled"
7,2015,-0.187080601471138,0.210329290530769,-0.00245482436266637,"County Pooled"
7,2016,-0.175126340550776,0.245825246560873,0.012744676602551,"County Pooled"
8,2014,-0.192748313212397,0.225015222020847,-0.0119895674205585,"County Pooled"
8,2015,-0.193900674507091,0.217779136544349,0.00125587763021556,"County Pooled"
8,2016,-0.176276692797179,0.251385423120102,0.0117315824867682,"County Pooled"
9,2014,-0.195857782280411,0.227179323386822,-0.00957210943495969,"County Pooled"
9,2015,-0.188636616569607,0.210229976047318,0.000715263212363718,"County Pooled"
9,2016,-0.182919988207597,0.253760034668527,0.00947158253593725,"County Pooled"
10,2014,-0.197750869327332,0.223668597733349,-0.0124649349650818,"County Pooled"
10,2015,-0.191495141337453,0.213317276150834,-0.00473571687594666,"County Pooled"
10,2016,-0.184711494698332,0.254911229023256,0.00518736277818767,"County Pooled"
3,2014,-0.185570800511005,0.627276141994388,-0.0642097268454601,"County Pooled State"
3,2015,-0.169994300529559,0.551717323816552,-0.0491479211511242,"County Pooled State"
3,2016,-0.112253249157295,0.646597392127245,0.0723023989351108,"County Pooled State"
4,2014,-0.204320890168262,0.597282606759074,-0.0583869368799083,"County Pooled State"
4,2015,-0.184242007364894,0.536537591577591,-0.050942927695648,"County Pooled State"
4,2016,-0.118580734226855,0.643468363875271,0.0172494328281526,"County Pooled State"
5,2014,-0.202302368696041,0.611974403081523,-0.0679720579415864,"County Pooled State"
5,2015,-0.180388725635048,0.516146112800785,-0.0509737504324752,"County Pooled State"
5,2016,-0.132723628713459,0.638940613609925,0.00872601106157479,"County Pooled State"
6,2014,-0.210250614391911,0.600332774057612,-0.0230381703083321,"County Pooled State"
6,2015,-0.184784568942347,0.530402410845128,-0.0589581522154932,"County Pooled State"
6,2016,-0.143190802132701,0.633773919308062,-0.008434522844751,"County Pooled State"
7,2014,-0.200113209660725,0.592329780076825,-0.0497016686076926,"County Pooled State"
7,2015,-0.184851568208356,0.5277641023636,-0.0634227941959609,"County Pooled State"
7,2016,-0.122671076854395,0.664595273035766,-0.00748577261384903,"County Pooled State"
8,2014,-0.212033145217989,0.587369973694605,-0.0415782959779509,"County Pooled State"
8,2015,-0.191816988214697,0.527031063169991,-0.0639055775572753,"County Pooled State"
8,2016,-0.134949594455295,0.65109324140917,-0.00856601063295578,"County Pooled State"
9,2014,-0.215373537553671,0.605940321419581,-0.0408693464598538,"County Pooled State"
9,2015,-0.191406930211725,0.532866172718648,-0.0659623577559973,"County Pooled State"
9,2016,-0.130258524527099,0.65777230092309,-0.0104256794638325,"County Pooled State"
10,2014,-0.219657937288212,0.583489621036287,-0.0575641916557662,"County Pooled State"
10,2015,-0.192191986006862,0.52515573609636,-0.0649825763393415,"County Pooled State"
