"sample_size","ban_year","county_id","n","att","attempt"
4,2014,"MA",10,-0.0517673442083364,16
5,2014,"MA",14,-0.0610181723932578,16
6,2014,"MA",24,-0.0543224289612174,16
7,2014,"MA",29,-0.0533758574987566,16
8,2014,"MA",29,-0.0546061735561566,16
9,2014,"MA",18,-0.0581389029744363,16
10,2014,"MA",11,-0.0572748101895374,16
3,2014,"MA",3,-0.0620994914663275,17
4,2014,"MA",11,-0.0574356261857353,17
5,2014,"MA",20,-0.0538912002624866,17
6,2014,"MA",22,-0.0543224289612174,17
7,2014,"MA",26,-0.0543395213455397,17
8,2014,"MA",25,-0.0609815990134295,17
9,2014,"MA",18,-0.058071272252056,17
10,2014,"MA",12,-0.0586987956589946,17
3,2014,"MA",4,-0.0501290112170909,18
4,2014,"MA",10,-0.0574356261857353,18
5,2014,"MA",19,-0.0541131478413908,18
6,2014,"MA",25,-0.055287764706583,18
7,2014,"MA",27,-0.0542991977999134,18
8,2014,"MA",22,-0.056818530208691,18
9,2014,"MA",19,-0.0581389029744363,18
10,2014,"MA",10,-0.057986802924266,18
3,2014,"MA",4,-0.0620994914663275,19
4,2014,"MA",9,-0.0565079981270388,19
5,2014,"MA",20,-0.0532205477080261,19
6,2014,"MA",24,-0.0553178366050082,19
7,2014,"MA",26,-0.0524205525082209,19
8,2014,"MA",24,-0.0540814261526125,19
9,2014,"MA",18,-0.0590344357601446,19
10,2014,"MA",11,-0.0586987956589946,19
3,2014,"MA",4,-0.0620994914663275,20
4,2014,"MA",10,-0.056971812156387,20
5,2014,"MA",19,-0.0558946865242681,20
6,2014,"MA",19,-0.0562848469668202,20
7,2014,"MA",24,-0.0536260345602489,20
8,2014,"MA",22,-0.0559858390854251,20
9,2014,"MA",17,-0.0582978133067222,20
10,2014,"MA",15,-0.0586987956589946,20
3,2014,"MA",4,-0.0620994914663275,21
4,2014,"MA",8,-0.0565079981270388,21
5,2014,"MA",17,-0.0525498951535657,21
6,2014,"MA",25,-0.0553479085034334,21
7,2014,"MA",28,-0.0524205525082209,21
8,2014,"MA",30,-0.0546061735561566,21
9,2014,"MA",21,-0.057358816559323,21
10,2014,"MA",9,-0.0586987956589946,21
3,2014,"MA",4,-0.0561142513417092,22
4,2014,"MA",12,-0.0565079981270388,22
5,2014,"MA",18,-0.0576762252071453,22
6,2014,"MA",26,-0.0542032382225887,22
7,2014,"MA",25,-0.0545147771429586,22
8,2014,"MA",25,-0.0599026946898701,22
9,2014,"MA",19,-0.057358816559323,22
10,2014,"MA",8,-0.057986802924266,22
3,2014,"MA",4,-0.0620994914663275,23
4,2014,"MA",9,-0.0574356261857353,23
5,2014,"MA",19,-0.0541131478413908,23
6,2014,"MA",27,-0.0557524642936549,23
7,2014,"MA",28,-0.0545147771429586,23
8,2014,"MA",25,-0.0549310465565281,23
9,2014,"MA",18,-0.0585575547975358,23
10,2014,"MA",9,-0.0586987956589946,23
3,2014,"MA",4,-0.0620994914663275,24
4,2014,"MA",9,-0.0565079981270388,24
5,2014,"MA",18,-0.055783712734816,24
6,2014,"MA",28,-0.0553178366050082,24
7,2014,"MA",25,-0.054029854603205,24
8,2014,"MA",26,-0.0542813005557851,24
9,2014,"MA",17,-0.0567139915889702,24
10,2014,"MA",11,-0.0589501772779643,24
3,2014,"MA",4,-0.0620994914663275,25
4,2014,"MA",8,-0.0574356261857353,25
5,2014,"MA",20,-0.0538912002624866,25
6,2014,"MA",22,-0.0559633187284679,25
7,2014,"MA",23,-0.0529029094247328,25
8,2014,"MA",28,-0.0569861295558251,25
9,2014,"MA",19,-0.0582978133067222,25
10,2014,"MA",11,-0.0586987956589946,25
3,2014,"MA",4,-0.0561142513417092,26
4,2014,"MA",10,-0.0565079981270388,26
5,2014,"MA",19,-0.051270179420097,26
6,2014,"MA",26,-0.0559633187284679,26
7,2014,"MA",23,-0.0531230476168871,26
8,2014,"MA",22,-0.0559858390854251,26
9,2014,"MA",19,-0.0580036415296758,26
10,2014,"MA",8,-0.0572748101895374,26
3,2014,"MA",5,-0.0588452611332719,27
4,2014,"MA",12,-0.0520460091416086,27
5,2014,"MA",18,-0.0509090585293928,27
6,2014,"MA",24,-0.0556556136159507,27
7,2014,"MA",30,-0.0533758574987566,27
8,2014,"MA",29,-0.0576766162575435,27
9,2014,"MA",20,-0.0585575547975358,27
10,2014,"MA",9,-0.0586987956589946,27
3,2014,"MA",4,-0.0620994914663275,28
4,2014,"MA",9,-0.0565079981270388,28
5,2014,"MA",21,-0.0532205477080261,28
6,2014,"MA",25,-0.055287764706583,28
7,2014,"MA",25,-0.0543395213455397,28
8,2014,"MA",27,-0.0581272568926348,28
9,2014,"MA",16,-0.0580036415296758,28
10,2014,"MA",13,-0.0586987956589946,28
3,2014,"MA",4,-0.0620994914663275,29
4,2014,"MA",11,-0.0565079981270388,29
5,2014,"MA",19,-0.0558946865242681,29
6,2014,"MA",24,-0.0557524642936549,29
7,2014,"MA",31,-0.0543395213455397,29
8,2014,"MA",27,-0.0559858390854251,29
9,2014,"MA",18,-0.0582183581405792,29
10,2014,"MA",9,-0.0586987956589946,29
3,2014,"MA",4,-0.0620994914663275,30
4,2014,"MA",8,-0.0574356261857353,30
5,2014,"MA",16,-0.055783712734816,30
6,2014,"MA",27,-0.0548050968339002,30
7,2014,"MA",30,-0.0537134347561858,30
8,2014,"MA",23,-0.0571537289029591,30
9,2014,"MA",19,-0.0581389029744363,30
10,2014,"MA",13,-0.0579663852105418,30
3,2014,"MA",4,-0.0501290112170909,31
4,2014,"MA",11,-0.0541376711676876,31
5,2014,"MA",23,-0.0525498951535657,31
6,2014,"MA",24,-0.0559633187284679,31
7,2014,"MA",31,-0.0523325284349205,31
8,2014,"MA",24,-0.0546061165244036,31
9,2014,"MA",19,-0.0581389029744363,31
10,2014,"MA",12,-0.0572748101895374,31
3,2014,"MA",4,-0.0620994914663275,32
4,2014,"MA",13,-0.0517673442083364,32
5,2014,"MA",22,-0.0584826825143168,32
6,2014,"MA",30,-0.055287764706583,32
7,2014,"MA",26,-0.0543395213455397,32
8,2014,"MA",21,-0.0571537289029591,32
9,2014,"MA",20,-0.0582183581405792,32
10,2014,"MA",10,-0.057986802924266,32
3,2014,"MA",4,-0.0620994914663275,33
4,2014,"MA",12,-0.0565079981270388,33
5,2014,"MA",17,-0.0538912002624866,33
6,2014,"MA",26,-0.0553479085034334,33
7,2014,"MA",24,-0.0545147771429586,33
8,2014,"MA",28,-0.0580509452398443,33
9,2014,"MA",17,-0.0581389029744363,33
10,2014,"MA",8,-0.0568057672900645,33
3,2014,"MA",4,-0.0620994914663275,34
4,2014,"MA",10,-0.0565079981270388,34
5,2014,"MA",18,-0.0576762252071453,34
6,2014,"MA",27,-0.0548050968339002,34
7,2014,"MA",28,-0.0557036325956137,34
8,2014,"MA",25,-0.0571537289029591,34
9,2014,"MA",22,-0.0590344357601446,34
10,2014,"MA",9,-0.0586987956589946,34
3,2014,"MA",5,-0.0620994914663275,35
4,2014,"MA",11,-0.0565079981270388,35
5,2014,"MA",19,-0.058079453860731,35
6,2014,"MA",24,-0.0545072239538643,35
7,2014,"MA",26,-0.0537134347561858,35
8,2014,"MA",26,-0.056818530208691,35
9,2014,"MA",19,-0.0567139915889702,35
10,2014,"MA",12,-0.0589501772779643,35
3,2014,"MA",4,-0.0620994914663275,36
4,2014,"MA",13,-0.0565079981270388,36
5,2014,"MA",17,-0.058079453860731,36
