"year","county_id","intercept2","intercept","ban_year","attempt","tons_pc","y","y_0","effect_size","treated_state","y_0_effect"
2006,"CA",-0.190669234512694,-0.189208604279452,2014,22,1.14985631906453,1.32060252682283,1.12993329231014,NA,"CA",NA
2006,"CA",-0.190669234512694,-0.189208604279452,2014,23,1.14985631906453,1.32060252682283,1.12993329231014,NA,"CA",NA
2006,"CA",-0.183730768941583,-0.180552151926633,2014,47,1.14985631906453,1.29191811457796,1.10818734563638,NA,"CA",NA
2006,"CA",-0.177809937226824,-0.180834593388848,2014,44,1.14985631906453,1.3207899269043,1.14297998967748,NA,"CA",NA
2006,"CA",-0.177809937226824,-0.180834593388848,2014,45,1.14985631906453,1.3207899269043,1.14297998967748,NA,"CA",NA
2006,"CA",-0.177320727490073,-0.179811841113995,2014,34,1.14985631906453,1.31365528295305,1.13633455546298,NA,"CA",NA
2006,"CA",-0.167581191914202,-0.167977570784886,2014,21,1.14985631906453,1.28568506153791,1.11810386962371,NA,"CA",NA
2006,"CA",-0.15233770003626,-0.150998593733931,2014,10,1.14985631906453,1.30312005436985,1.15078235433359,NA,"CA",NA
2006,"CA",-0.136120312930517,-0.136413879442468,2014,1,1.14985631906453,1.25694508969504,1.12082477676452,NA,"CA",NA
2006,"CA",-0.136120312930517,-0.136413879442468,2014,2,1.14985631906453,1.25694508969504,1.12082477676452,NA,"CA",NA
2006,"CA",-0.129249657437769,-0.129767560239365,2014,7,1.14985631906453,1.26820258908492,1.13895293164715,NA,"CA",NA
2006,"CA",-0.128824480053992,-0.130032174142561,2014,5,1.14985631906453,1.26032654683218,1.13150206677818,NA,"CA",NA
2006,"CA",-0.128824480053992,-0.130032174142561,2014,6,1.14985631906453,1.26032654683218,1.13150206677818,NA,"CA",NA
2006,"CA",-0.128692637622655,-0.126734674814796,2014,14,1.14985631906453,1.22112603349891,1.09243339587626,NA,"CA",NA
2006,"CA",-0.128692637622655,-0.126734674814796,2014,15,1.14985631906453,1.22112603349891,1.09243339587626,NA,"CA",NA
2006,"CA",-0.128335270317241,-0.129009421867707,2014,11,1.14985631906453,1.25319190288092,1.12485663256368,NA,"CA",NA
2006,"CA",-0.127452370502443,-0.126654433787667,2014,50,1.14985631906453,1.25579712938973,1.12834475888729,NA,"CA",NA
2006,"CA",-0.125854500692471,-0.122841730278219,2014,43,1.14985631906453,1.22342033633139,1.09756583563892,NA,"CA",NA
2006,"CA",-0.12548864225711,-0.123077605801037,2014,24,1.14985631906453,1.24507396149694,1.11958531923983,NA,"CA",NA
2006,"CA",-0.124999432520359,-0.122054853526184,2014,38,1.14985631906453,1.23793931754569,1.11293988502533,NA,"CA",NA
2006,"CA",-0.119547782475181,-0.117509964159358,2014,16,1.14985631906453,1.21370711461745,1.09415933214227,NA,"CA",NA
2006,"CA",-0.119547782475181,-0.117509964159358,2014,17,1.14985631906453,1.21370711461745,1.09415933214227,NA,"CA",NA
2006,"CA",-0.110753546431598,-0.108164687186368,2014,41,1.14985631906453,1.25269187574301,1.14193832931141,NA,"CA",NA
2006,"CA",-0.110753546431598,-0.108164687186368,2014,42,1.14985631906453,1.25269187574301,1.14193832931141,NA,"CA",NA
2006,"CA",-0.0945361593258547,-0.0935799728949053,2014,4,1.14985631906453,1.2065169110682,1.11198075174234,NA,"CA",NA
2006,"CA",-0.0879826301899325,-0.086670386101113,2014,8,1.14985631906453,1.22149598426024,1.1335133540703,NA,"CA",NA
2006,"CA",-0.0879826301899325,-0.086670386101113,2014,9,1.14985631906453,1.22149598426024,1.1335133540703,NA,"CA",NA
2006,"CA",-0.0876655038331069,-0.0869336536918027,2014,39,1.14985631906453,1.21777441045808,1.13010890662498,NA,"CA",NA
2006,"CA",-0.0876655038331069,-0.0869336536918027,2014,40,1.14985631906453,1.21777441045808,1.13010890662498,NA,"CA",NA
2006,"CA",-0.0875976937547443,-0.0849235205420863,2014,31,1.14985631906453,1.17783249882332,1.09023480506858,NA,"CA",NA
2006,"CA",-0.0871084840179933,-0.0839007682672329,2014,49,1.14985631906453,1.17069785487207,1.08358937085408,NA,"CA",NA
2006,"CA",-0.0866678980439262,-0.0838448429806633,2014,33,1.14985631906453,1.2204568450927,1.13378894704878,NA,"CA",NA
2006,"CA",-0.0832882843632274,-0.0810806066571833,2014,20,1.14985631906453,1.21397213664799,1.13068385228476,NA,"CA",NA
2006,"CA",-0.0805248749717496,-0.0774794629299947,2014,46,1.14985631906453,1.18816107442539,1.10763619945364,NA,"CA",NA
2006,"CA",-0.0803018608782194,-0.0785418152421789,2014,12,1.14985631906453,1.18121395596046,1.10091209508224,NA,"CA",NA
2006,"CA",-0.0803018608782194,-0.0785418152421789,2014,13,1.14985631906453,1.18121395596046,1.10091209508224,NA,"CA",NA
2006,"CA",-0.0798126511414683,-0.0775190629673254,2014,27,1.14985631906453,1.17407931200921,1.09426666086774,NA,"CA",NA
2006,"CA",-0.0775007908734589,-0.0753639972658891,2014,18,1.14985631906453,1.1819281467902,1.10442735591674,NA,"CA",NA
2006,"CA",-0.0562046248494215,-0.0553699623493846,2014,3,1.14985631906453,1.18903443861521,1.13282981376579,NA,"CA",NA
2006,"CA",-0.0484195822361456,-0.0479655047746237,2014,25,1.14985631906453,1.1852812518011,1.13686166956495,NA,"CA",NA
2006,"CA",-0.0484195822361456,-0.0479655047746237,2014,26,1.14985631906453,1.1852812518011,1.13686166956495,NA,"CA",NA
2006,"CA",-0.0464650892735507,-0.0435356920202759,2014,37,1.14985631906453,1.16106421720007,1.11459912792652,NA,"CA",NA
