"r_sq","mape","att","cf","sample_size","county_id","iterations","ban_year","donor_number","chosen_donor","treated_state"
0.920914446971247,0.00615137612402613,0.0160379775919433,4.82911192951897,3,"CO",3000,2014,"donor_1",4,"MA"
0.920824338924733,0.00723637084766756,0.0185122106052373,4.81738075139809,4,"CO",4000,2014,"donor_1",14,"MA"
0.934030216320154,0.0119022985319193,0.0198752269267396,4.81094254364709,5,"CO",5000,2014,"donor_1",11,"MA"
0.930918208848447,0.0170231017852445,0.0163246891100053,4.82774960699838,6,"CO",6000,2014,"donor_1",4,"MA"
0.893568211841392,0.0265317436269733,0.0228788729171087,4.7968153887476,7,"CO",7000,2014,"donor_1",2,"MA"
0.873123576516143,0.0300998327593228,0.0157185759803254,4.83063048610487,8,"CO",8000,2014,"donor_1",4,"MA"
0.866079014612062,0.0410032609271434,0.0206820767807224,4.80713949039754,9,"CO",9000,2014,"donor_1",19,"MA"
0.869485143201965,0.0415703886606219,0.0199617309318464,4.81053452265401,10,"CO",10000,2014,"donor_1",19,"MA"
0.862803984402999,0.0503074312513312,-0.0353906443941857,5.44288054718339,3,"FL",3000,2014,"donor_1",11,"MA"
0.862803984402999,0.0503074312513312,-0.0353906443941857,5.44288054718339,3,"FL",3000,2014,"donor_1",1,"MA"
0.862803984402999,0.0503074312513312,-0.0353906443941857,5.44288054718339,3,"FL",3000,2014,"donor_1",4,"MA"
0.827997946191124,0.0627378598480353,-0.0423249518191621,5.4822912085171,4,"FL",4000,2014,"donor_1",2,"MA"
0.827997946191124,0.0627378598480353,-0.0423249518191621,5.4822912085171,4,"FL",4000,2014,"donor_1",4,"MA"
0.844467280465428,0.0817959518716857,-0.0439831536205399,5.4918001886068,5,"FL",5000,2014,"donor_1",4,"MA"
0.76458997448496,0.0813401470544728,-0.0447955409655968,5.49647088390413,6,"FL",6000,2014,"donor_1",14,"MA"
0.743765223484823,0.0869480050091133,-0.0424612698362981,5.48307168354475,7,"FL",7000,2014,"donor_1",19,"MA"
0.729172997089237,0.0963956332158593,-0.0389628499583886,5.46311190678806,8,"FL",8000,2014,"donor_1",4,"MA"
0.693354856479824,0.107352884822699,-0.0418821840581872,5.47975771862366,9,"FL",9000,2014,"donor_1",19,"MA"
0.703107218458638,0.11082578660799,-0.0420561225454965,5.48075270464616,10,"FL",10000,2014,"donor_1",2,"MA"
0.836042546081707,0.0251458079788625,0.0265597653686623,6.00737977590778,3,"GA",3000,2014,"donor_1",13,"MA"
0.836042546081707,0.0251458079788625,0.0265597653686623,6.00737977590778,3,"GA",3000,2014,"donor_1",11,"MA"
0.836042546081707,0.0251458079788625,0.0265597653686623,6.00737977590778,3,"GA",3000,2014,"donor_1",11,"MA"
0.795760910936764,0.0264366033293835,0.024810752449036,6.01763238578337,4,"GA",4000,2014,"donor_1",1,"MA"
0.739605646387911,0.0286423865777953,0.032420186094136,5.97327953898999,5,"GA",5000,2014,"donor_1",12,"MA"
0.881013438872471,0.0295587807753759,0.0294140913848787,5.99072270804057,6,"GA",6000,2014,"donor_1",2,"MA"
0.909734971756077,0.0297667988618127,0.0312823921773267,5.97986974277357,7,"GA",7000,2014,"donor_1",1,"MA"
0.94564608487497,0.0326431090694724,0.0324620196714742,5.97303751202261,8,"GA",8000,2014,"donor_1",11,"MA"
0.956607587952777,0.0342438768698777,0.026651976643637,6.0068402083026,9,"GA",9000,2014,"donor_1",11,"MA"
0.958042908810739,0.0381643053715145,0.0235284768074973,6.02517127073173,10,"GA",10000,2014,"donor_1",2,"MA"
0.684725457506185,0.0192832411631862,0.0038824550227325,4.70099549126011,3,"IL",3000,2014,"donor_1",11,"MA"
0.684725457506185,0.0192832411631862,0.0038824550227325,4.70099549126011,3,"IL",3000,2014,"donor_1",2,"MA"
0.684725457506185,0.0192832411631862,0.0038824550227325,4.70099549126011,3,"IL",3000,2014,"donor_1",2,"MA"
0.684725457506185,0.0192832411631862,0.0038824550227325,4.70099549126011,3,"IL",3000,2014,"donor_1",11,"MA"
0.883442167608175,0.0237074458027752,0.0055594702432947,4.69315543681884,4,"IL",4000,2014,"donor_1",7,"MA"
0.935456958777501,0.0309741880806773,-0.00370482600553338,4.73679589944817,5,"IL",5000,2014,"donor_1",1,"MA"
0.9387632604313,0.0432010213158488,-0.00924051930595674,4.76326190844127,6,"IL",6000,2014,"donor_1",11,"MA"
0.950058962504316,0.0485487991442649,-0.0120014222671852,4.77657255908846,7,"IL",7000,2014,"donor_1",7,"MA"
0.977866594171824,0.0556257638054042,-0.0062617180063237,4.74898369150986,8,"IL",8000,2014,"donor_1",20,"MA"
0.974905948627758,0.0607343999141927,-0.0106171288074299,4.76988942524198,9,"IL",9000,2014,"donor_1",13,"MA"
0.970388859885256,0.0724007091904318,-0.0171826090121442,4.80175354861553,10,"IL",10000,2014,"donor_1",16,"MA"
0.933117237420697,0.00085214959333139,0.00661608583188297,4.77577476715898,3,"IN",3000,2014,"donor_1",8,"MA"
0.933117237420697,0.00085214959333139,0.00661608583188297,4.77577476715898,3,"IN",3000,2014,"donor_1",11,"MA"
0.960458210636868,0.00100790132385982,0.0261966677531388,4.6846494965317,4,"IN",4000,2014,"donor_1",2,"MA"
0.787090336633982,0.000654109916823427,0.0243128709050571,4.69326495788789,5,"IN",5000,2014,"donor_1",13,"MA"
0.913425974944324,0.000821302060219168,0.0193634812290052,4.71605250870494,6,"IN",6000,2014,"donor_1",8,"MA"
0.83844856501317,0.000624664377260905,0.0148181200025089,4.73717566544867,7,"IN",7000,2014,"donor_1",18,"MA"
