"treated_state","state_id","ban_year","sample_size","att","rsq","mape","attempt","type"
"M1","M1",2015,3,-0.0403621561906133,NA,NA,27,"disposal"
"M2","M2",2016,3,-0.00336832677778503,NA,NA,27,"disposal"
"M3","M3",2009,3,-0.0961002633711307,NA,NA,27,"disposal"
"M1","M1",2015,3,-0.274268505712232,NA,NA,28,"disposal"
"M2","M2",2016,3,0.0185615808570336,NA,NA,28,"disposal"
"M3","M3",2009,3,-0.102005695855775,NA,NA,28,"disposal"
"M1","M1",2015,3,-0.157247407001359,NA,NA,29,"disposal"
"M2","M2",2016,3,0.00524379279709923,NA,NA,29,"disposal"
"M3","M3",2009,3,-0.0682578841104485,NA,NA,29,"disposal"
"M1","M1",2015,3,-0.142759450962241,NA,NA,30,"disposal"
"M2","M2",2016,3,0.00357589969145913,NA,NA,30,"disposal"
"M3","M3",2009,3,-0.100177238880714,NA,NA,30,"disposal"
"M1","M1",2015,3,-0.0558086268899506,NA,NA,31,"disposal"
"M2","M2",2016,3,-0.0437404877652815,NA,NA,31,"disposal"
"M3","M3",2009,3,-0.0588046184103379,NA,NA,31,"disposal"
"M1","M1",2015,3,-0.22124669376821,NA,NA,32,"disposal"
"M2","M2",2016,3,-0.0122423797747685,NA,NA,32,"disposal"
"M3","M3",2009,3,-0.0269322621379969,NA,NA,32,"disposal"
"M1","M1",2015,3,-0.180743629500909,NA,NA,33,"disposal"
"M2","M2",2016,3,0.00571992453166595,NA,NA,33,"disposal"
"M3","M3",2009,3,-0.0150192390787398,NA,NA,33,"disposal"
"M1","M1",2015,3,-0.142647814663813,NA,NA,34,"disposal"
"M2","M2",2016,3,0.000940408505742579,NA,NA,34,"disposal"
"M3","M3",2009,3,0.000919805257501102,NA,NA,34,"disposal"
"M1","M1",2015,3,-0.120952316234792,NA,NA,35,"disposal"
"M2","M2",2016,3,-0.0213048438817125,NA,NA,35,"disposal"
"M3","M3",2009,3,-0.0429312321861573,NA,NA,35,"disposal"
"M1","M1",2015,3,-0.161703325794087,NA,NA,36,"disposal"
"M2","M2",2016,3,0.0382276140132005,NA,NA,36,"disposal"
"M3","M3",2009,3,-0.0742275428803296,NA,NA,36,"disposal"
"M1","M1",2015,3,-0.054611726364166,NA,NA,37,"disposal"
"M2","M2",2016,3,0.00391610440177964,NA,NA,37,"disposal"
"M3","M3",2009,3,-0.0783377558395282,NA,NA,37,"disposal"
"M1","M1",2015,3,-0.241028171890008,NA,NA,38,"disposal"
"M2","M2",2016,3,0.0162220458458749,NA,NA,38,"disposal"
"M3","M3",2009,3,-0.0268278124899914,NA,NA,38,"disposal"
"M1","M1",2015,3,-0.129992557092999,NA,NA,39,"disposal"
"M2","M2",2016,3,0.0233027396947356,NA,NA,39,"disposal"
"M3","M3",2009,3,-0.0170664123271267,NA,NA,39,"disposal"
"M1","M1",2015,3,-0.122722998123542,NA,NA,40,"disposal"
"M2","M2",2016,3,-0.0111528564883991,NA,NA,40,"disposal"
"M3","M3",2009,3,0.00385355100949618,NA,NA,40,"disposal"
"M1","M1",2015,3,-0.130655103299673,NA,NA,41,"disposal"
"M2","M2",2016,3,-0.00121992362175424,NA,NA,41,"disposal"
"M3","M3",2009,3,-0.0883018325681389,NA,NA,41,"disposal"
"M1","M1",2015,3,-0.168966857888508,NA,NA,42,"disposal"
"M2","M2",2016,3,-0.0340259827456988,NA,NA,42,"disposal"
"M3","M3",2009,3,-0.00976444736799758,NA,NA,42,"disposal"
"M1","M1",2015,3,-0.154553978488167,NA,NA,43,"disposal"
"M2","M2",2016,3,0.0154858399235886,NA,NA,43,"disposal"
"M3","M3",2009,3,-0.0440852496029779,NA,NA,43,"disposal"
"M1","M1",2015,3,-0.0726708249726926,NA,NA,44,"disposal"
"M2","M2",2016,3,0.00067949259912362,NA,NA,44,"disposal"
"M3","M3",2009,3,-0.0227901079276474,NA,NA,44,"disposal"
"M1","M1",2015,3,-0.176792276819895,NA,NA,45,"disposal"
"M2","M2",2016,3,-0.0194833823169794,NA,NA,45,"disposal"
"M3","M3",2009,3,-0.0369740719079003,NA,NA,45,"disposal"
"M1","M1",2015,3,-0.0950787305402298,NA,NA,46,"disposal"
"M2","M2",2016,3,0.0318493980998676,NA,NA,46,"disposal"
"M3","M3",2009,3,-0.0702182220544718,NA,NA,46,"disposal"
"M1","M1",2015,3,-0.14564204737131,NA,NA,47,"disposal"
"M2","M2",2016,3,-0.036812834487931,NA,NA,47,"disposal"
"M3","M3",2009,3,-0.00501829274818433,NA,NA,47,"disposal"
"M1","M1",2015,3,-0.214509752623358,NA,NA,48,"disposal"
"M2","M2",2016,3,-0.0145763526962729,NA,NA,48,"disposal"
"M3","M3",2009,3,-0.0170664123271267,NA,NA,48,"disposal"
"M1","M1",2015,3,-0.188119873128705,NA,NA,49,"disposal"
"M2","M2",2016,3,0.0094004096094067,NA,NA,49,"disposal"
"M3","M3",2009,3,-0.0233592093763879,NA,NA,49,"disposal"
"M1","M1",2015,3,0.0351039452518851,NA,NA,50,"disposal"
"M2","M2",2016,3,0.0204535377601064,NA,NA,50,"disposal"
"M3","M3",2009,3,0.0250416190136346,NA,NA,50,"disposal"
"M1","M1",2015,3,-0.0866653637637102,NA,NA,51,"disposal"
"M2","M2",2016,3,-0.0894889250875471,NA,NA,51,"disposal"
"M3","M3",2009,3,-0.0936100148167482,NA,NA,51,"disposal"
"M1","M1",2015,3,-0.297810794380075,NA,NA,52,"disposal"
"M2","M2",2016,3,-0.00697549806931911,NA,NA,52,"disposal"
"M3","M3",2009,3,-0.118330788729019,NA,NA,52,"disposal"
"M1","M1",2015,3,-0.265042598706695,NA,NA,53,"disposal"
"M2","M2",2016,3,0.00224517363681526,NA,NA,53,"disposal"
"M3","M3",2009,3,-0.110853675024607,NA,NA,53,"disposal"
"M1","M1",2015,3,-0.168983383712574,NA,NA,54,"disposal"
"M2","M2",2016,3,-0.0393587357026143,NA,NA,54,"disposal"
"M3","M3",2009,3,-0.0413331393413516,NA,NA,54,"disposal"
"M1","M1",2015,3,-0.120299811115802,NA,NA,55,"disposal"
"M2","M2",2016,3,-0.00565717429947707,NA,NA,55,"disposal"
"M3","M3",2009,3,0.0172193425183669,NA,NA,55,"disposal"
"M1","M1",2015,3,-0.195991149610651,NA,NA,56,"disposal"
"M2","M2",2016,3,0.0258514305456,NA,NA,56,"disposal"
"M3","M3",2009,3,-0.0846666544041698,NA,NA,56,"disposal"
"M1","M1",2015,3,-0.258083952492242,NA,NA,57,"disposal"
"M2","M2",2016,3,-0.0106130627525065,NA,NA,57,"disposal"
"M3","M3",2009,3,-0.0626476856100253,NA,NA,57,"disposal"
"M1","M1",2015,3,-0.27053533528568,NA,NA,58,"disposal"
"M2","M2",2016,3,0.0367317172893798,NA,NA,58,"disposal"
"M3","M3",2009,3,-0.0707334368409309,NA,NA,58,"disposal"
"M1","M1",2015,3,-0.0603028776572447,NA,NA,59,"disposal"
"M2","M2",2016,3,-0.0188321541092548,NA,NA,59,"disposal"
"M3","M3",2009,3,-0.0880095897472597,NA,NA,59,"disposal"
"M1","M1",2015,3,-0.152432675352474,NA,NA,60,"disposal"
"M2","M2",2016,3,-0.0384530650068046,NA,NA,60,"disposal"
"M3","M3",2009,3,-0.0472005818550962,NA,NA,60,"disposal"
"M1","M1",2015,3,-0.202939308567712,NA,NA,61,"disposal"
"M2","M2",2016,3,-0.0408180389321962,NA,NA,61,"disposal"
"M3","M3",2009,3,-0.0588799094251084,NA,NA,61,"disposal"
"M1","M1",2015,3,-0.11131152927828,NA,NA,62,"disposal"
"M2","M2",2016,3,-0.0190905369486047,NA,NA,62,"disposal"
"M3","M3",2009,3,0.0288905554732638,NA,NA,62,"disposal"
"M1","M1",2015,3,-0.141062715276851,NA,NA,63,"disposal"
"M2","M2",2016,3,-0.0516418072728685,NA,NA,63,"disposal"
"M3","M3",2009,3,-0.0206244427945431,NA,NA,63,"disposal"
"M1","M1",2015,3,-0.126729589607134,NA,NA,64,"disposal"
"M2","M2",2016,3,-0.0116603399538995,NA,NA,64,"disposal"
"M3","M3",2009,3,-0.0707334368409309,NA,NA,64,"disposal"
"M1","M1",2015,3,-0.14083798204174,NA,NA,65,"disposal"
"M2","M2",2016,3,-0.0525746902959889,NA,NA,65,"disposal"
"M3","M3",2009,3,-0.0405705546505809,NA,NA,65,"disposal"
"M1","M1",2015,3,-0.172491376801997,NA,NA,66,"disposal"
"M2","M2",2016,3,-0.0250464866655357,NA,NA,66,"disposal"
"M3","M3",2009,3,-0.102005695855775,NA,NA,66,"disposal"
"M1","M1",2015,3,-0.180300901646597,NA,NA,67,"disposal"
"M2","M2",2016,3,0.0317692756348289,NA,NA,67,"disposal"
"M3","M3",2009,3,0.00989457971860652,NA,NA,67,"disposal"
"M1","M1",2015,3,-0.253538521403207,NA,NA,68,"disposal"
"M2","M2",2016,3,-0.0790313909743715,NA,NA,68,"disposal"
"M3","M3",2009,3,0.00989457971860652,NA,NA,68,"disposal"
"M1","M1",2015,3,-0.145501372751727,NA,NA,69,"disposal"
"M2","M2",2016,3,-0.0130549723447119,NA,NA,69,"disposal"
"M3","M3",2009,3,-0.102005695855775,NA,NA,69,"disposal"
"M1","M1",2015,3,-0.0601908682097383,NA,NA,70,"disposal"
"M2","M2",2016,3,0.0467116188802931,NA,NA,70,"disposal"
"M3","M3",2009,3,-0.0931373495534718,NA,NA,70,"disposal"
"M1","M1",2015,3,-0.193104355772302,NA,NA,71,"disposal"
"M2","M2",2016,3,-0.00866420567291487,NA,NA,71,"disposal"
"M3","M3",2009,3,0.0166504413984311,NA,NA,71,"disposal"
"M1","M1",2015,3,-0.20394087485144,NA,NA,72,"disposal"
"M2","M2",2016,3,-0.00385653647378075,NA,NA,72,"disposal"
"M3","M3",2009,3,-0.00501829274818433,NA,NA,72,"disposal"
"M1","M1",2015,3,-0.19052318987183,NA,NA,73,"disposal"
"M2","M2",2016,3,0.00226297937295933,NA,NA,73,"disposal"
"M3","M3",2009,3,-0.0206244427945431,NA,NA,73,"disposal"
"M1","M1",2015,3,-0.133992420063177,NA,NA,74,"disposal"
"M2","M2",2016,3,-0.0191363244845825,NA,NA,74,"disposal"
"M3","M3",2009,3,0.000189321777938871,NA,NA,74,"disposal"
