"state_id","ban_year","sample_size","att_f","rsq","mape","attempt"
"M1",2015,3,0.0294423130253416,0.466210111506347,0.0386078477938743,1
"M1",2015,4,0.0353319822510131,0.510401655381165,0.036889839405688,1
"M1",2015,5,0.0202704499774088,0.529991942681865,0.0365246098781796,1
"M1",2015,6,0.0717658450984145,0.549099487946618,0.0290600363826651,1
"M1",2015,7,-0.00895511266059335,0.561761528899312,0.024788730442125,1
"M1",2015,8,0.0345001052109299,0.590921599039752,0.022542701290977,1
"M1",2015,9,0.0110644286839486,0.504940772435551,0.023182162964006,1
"M1",2015,10,-0.00908422539746856,0.472037976615504,0.0174830189389687,1
"M2",2016,3,0.150635488620826,0.427636838966649,0.0809705102998037,1
"M2",2016,4,0.171087075974443,0.382996313198097,0.0942819172837889,1
"M2",2016,5,0.149961843117593,0.406263218731563,0.104403253565061,1
"M2",2016,6,0.221730598653488,0.394459166308963,0.114541464282972,1
"M2",2016,7,0.190996781313375,0.326796904827359,0.111122886012019,1
"M2",2016,8,0.182966231772864,0.340752726060073,0.127048894486437,1
"M2",2016,9,0.219950614414926,0.330555529274426,0.136409256212396,1
"M2",2016,10,0.217238292317074,0.257684191657251,0.135214790583702,1
"M1",2015,3,-0.01945612284722,0.582835865235461,0.0388883855590684,2
"M1",2015,4,0.0856300369986566,0.453748689830386,0.0362540157975035,2
"M1",2015,5,0.0165453927377601,0.538529470811385,0.0339296658413826,2
"M1",2015,6,-0.00598475073752841,0.456264847271734,0.0281531115424357,2
"M1",2015,7,0.0163142508855781,0.49636572964365,0.0235118547373707,2
"M1",2015,8,-0.0263050647488797,0.502823386262978,0.023848813322681,2
"M1",2015,9,0.0304455341165952,0.556032488193847,0.0228793056473653,2
"M1",2015,10,0.0111775605680885,0.49903198610116,0.0212091327152946,2
"M2",2016,3,0.0821528390702736,0.38624671273101,0.082990637151825,2
"M2",2016,4,0.137887554208518,0.336475644092687,0.096135946305091,2
"M2",2016,5,0.170965712961346,0.329101734199391,0.103567387075314,2
"M2",2016,6,0.177679510521104,0.419604896498467,0.11703794007393,2
"M2",2016,7,0.236556457335702,0.281082862174082,0.121294382754453,2
"M2",2016,8,0.254629430220268,0.34389590359882,0.131117646337702,2
"M2",2016,9,0.250025689874748,0.342962739705555,0.132481550919764,2
"M2",2016,10,0.243129193910948,0.332995901121414,0.134587408778776,2
"M1",2015,3,0.0139310141364892,0.500033854604058,0.0417011111139287,3
"M1",2015,4,0.084556101675673,0.535658500667607,0.0373083351180428,3
"M1",2015,5,0.036088871286147,0.569833392079683,0.0334407862516329,3
"M1",2015,6,-0.0318986780162276,0.486273978085886,0.0266003043371623,3
"M1",2015,7,0.00940417458316278,0.508417729051946,0.0250346763051903,3
"M1",2015,8,-0.00718141336877348,0.548246946532529,0.0223326841461733,3
"M1",2015,9,0.0278158785469136,0.467242560323671,0.019037539208062,3
"M1",2015,10,0.0052612247620277,0.471499189415949,0.0194617171172382,3
"M2",2016,3,0.191414806910956,0.402464127995165,0.0856744869993774,3
"M2",2016,4,0.141553485120343,0.387847766811407,0.0981048929461946,3
"M2",2016,5,0.212617002542849,0.387646081125084,0.108136910118549,3
"M2",2016,6,0.15971957368274,0.349589063774585,0.121195228527987,3
"M2",2016,7,0.124940665525523,0.311749462503695,0.122341972312765,3
"M2",2016,8,0.26014266789549,0.32463396880903,0.13481306436005,3
"M2",2016,9,0.248428533735605,0.324282983480269,0.134523678492002,3
"M2",2016,10,0.228878319728344,0.319211492509305,0.139232949493562,3
"M1",2015,3,0.0768823241215895,0.539577638539592,0.043137425279884,4
"M1",2015,4,0.0170626830510617,0.526866981425263,0.036464126415648,4
"M1",2015,5,-0.00576645859294669,0.554763701396975,0.038262935171322,4
"M1",2015,6,-0.0124269780969519,0.504124165177114,0.0289347995862504,4
"M1",2015,7,0.0114370784962667,0.528671758232107,0.0265908413685023,4
"M1",2015,8,-0.00105946417927719,0.528628709052899,0.0253712811733831,4
"M1",2015,9,-0.00500404467351123,0.497941743790013,0.0211362961839774,4
"M1",2015,10,0.013528956705437,0.478690957174781,0.0197465428242749,4
"M2",2016,3,0.0843745842656489,0.376379561240586,0.0734231840443646,4
"M2",2016,4,0.11353817337559,0.425146406086291,0.101763636875233,4
"M2",2016,5,0.169394127504253,0.366246023797925,0.0999352135889317,4
"M2",2016,6,0.128093201975127,0.342539300678057,0.108263532942544,4
"M2",2016,7,0.182028556873356,0.268732871864525,0.116151611272839,4
"M2",2016,8,0.164951062804205,0.31131277925458,0.122551918221944,4
"M2",2016,9,0.17332681902617,0.313717679860085,0.133414000391434,4
"M2",2016,10,0.236901751913901,0.32225182534006,0.138972428368685,4
"M1",2015,3,0.0156119223058736,0.436793677266071,0.0406719807276044,5
"M1",2015,4,0.0750012091030233,0.505252938862563,0.0330028857288041,5
"M1",2015,5,0.017191721079963,0.551043772458013,0.0354395403753203,5
"M1",2015,6,0.0271055836682027,0.447343386887854,0.0273380879223979,5
"M1",2015,7,0.0271056435254291,0.428649696510456,0.0238808671556581,5
"M1",2015,8,0.00205662453763689,0.510730050922943,0.0241590029981863,5
"M1",2015,9,0.00935719883162653,0.487936498202685,0.0195366874419586,5
"M1",2015,10,6.90387059988362e-05,0.514959260979999,0.0188261824507866,5
"M2",2016,3,0.1376050864788,0.356290554835803,0.0813188919280407,5
"M2",2016,4,0.112380471109339,0.415342540809583,0.0950151726640908,5
"M2",2016,5,0.147582356677561,0.368709543292009,0.105641618314966,5
"M2",2016,6,0.119818114925389,0.363608898121684,0.121509773620469,5
