"attempt","att2","treated_location","treated_state_2"
47,-0.229143385980787,"CO","MA"
48,-0.193842499851041,"CO","MA"
49,-0.240581623214386,"CO","MA"
50,-0.213094208235984,"CO","MA"
1,0.104489148347609,"FL","MA"
2,0.117242115952549,"FL","MA"
3,0.187233336181216,"FL","MA"
4,0.141417965671243,"FL","MA"
5,0.154957204425761,"FL","MA"
6,0.110973391698253,"FL","MA"
7,0.146804180251221,"FL","MA"
8,0.14104315582746,"FL","MA"
9,0.156890956871242,"FL","MA"
10,0.131394268351332,"FL","MA"
11,0.117949513050438,"FL","MA"
12,0.180577387861332,"FL","MA"
13,0.118629743208609,"FL","MA"
14,0.110357472603008,"FL","MA"
15,0.155690195217712,"FL","MA"
16,0.147341584429777,"FL","MA"
17,0.129779828141885,"FL","MA"
18,0.175856709339532,"FL","MA"
19,0.104516708302594,"FL","MA"
20,0.159228733468788,"FL","MA"
21,0.146924051145116,"FL","MA"
22,0.0727689121786792,"FL","MA"
23,0.16544273876301,"FL","MA"
24,0.183065661514793,"FL","MA"
25,0.100113643997204,"FL","MA"
26,0.135366762565473,"FL","MA"
27,0.122747331093107,"FL","MA"
28,0.120567917987998,"FL","MA"
29,0.184503807092662,"FL","MA"
30,0.11911274222077,"FL","MA"
31,0.194397417706555,"FL","MA"
32,0.134509968120595,"FL","MA"
33,0.198701246459807,"FL","MA"
34,0.160271823055526,"FL","MA"
35,0.159552657411208,"FL","MA"
36,0.159552657411208,"FL","MA"
37,0.159781360782849,"FL","MA"
38,0.159781360782849,"FL","MA"
39,0.12088958935976,"FL","MA"
40,0.109196402412671,"FL","MA"
41,0.0929090235116645,"FL","MA"
42,0.149265112967346,"FL","MA"
43,0.125192904170449,"FL","MA"
44,0.139313979695453,"FL","MA"
45,0.174922212027251,"FL","MA"
46,0.159932133774046,"FL","MA"
47,0.174865440481975,"FL","MA"
48,0.125695172074945,"FL","MA"
49,0.130841838225446,"FL","MA"
50,0.15832765773172,"FL","MA"
1,-0.0395226506388953,"GA","MA"
2,-0.00853775531138682,"GA","MA"
3,0.00713413177372051,"GA","MA"
4,-0.00632998993531653,"GA","MA"
5,-0.0260167641273946,"GA","MA"
6,0.00565315893981296,"GA","MA"
7,-0.00949100012713201,"GA","MA"
8,-0.0197558140489172,"GA","MA"
9,-0.0375129730403219,"GA","MA"
10,-0.0429075689707944,"GA","MA"
11,-0.0158676483295838,"GA","MA"
12,0.0250277715248067,"GA","MA"
13,-0.0371400740590094,"GA","MA"
14,-0.026204547445691,"GA","MA"
15,-0.064041323184336,"GA","MA"
16,0.0279686425411173,"GA","MA"
17,0.000290775833025968,"GA","MA"
18,-0.00329237027504955,"GA","MA"
19,-0.0354168995260973,"GA","MA"
20,0.0247356893922887,"GA","MA"
21,-0.0325685700747489,"GA","MA"
22,0.0139211781351406,"GA","MA"
23,0.00593615380182666,"GA","MA"
24,-0.0381925074808346,"GA","MA"
25,-0.0101693432186957,"GA","MA"
26,0.0160781874838347,"GA","MA"
27,-0.016976962530893,"GA","MA"
28,0.0375574308384406,"GA","MA"
29,-0.027235696186106,"GA","MA"
30,-0.027235696186106,"GA","MA"
31,0.00800870158608448,"GA","MA"
32,-0.00452430653654649,"GA","MA"
33,-0.0571827996863523,"GA","MA"
34,0.034251966944887,"GA","MA"
35,0.0144417319555419,"GA","MA"
36,-0.0200160384975545,"GA","MA"
37,0.0169992655647006,"GA","MA"
38,0.0112417905783479,"GA","MA"
39,0.0179596859973394,"GA","MA"
40,-0.00623941284084448,"GA","MA"
41,-0.0208402425590259,"GA","MA"
42,-0.0467716976603897,"GA","MA"
43,-0.00343917111937234,"GA","MA"
44,-0.00343917111937234,"GA","MA"
45,0.0116828038391616,"GA","MA"
46,0.023108341314715,"GA","MA"
47,0.0299461499871118,"GA","MA"
48,-0.00594006051263564,"GA","MA"
49,0.0247415853753499,"GA","MA"
50,-0.00579588280956326,"GA","MA"
1,0.00673744041649068,"IA","MA"
2,0.00736485921191155,"IA","MA"
3,0.0238719054946438,"IA","MA"
4,0.00883469682185804,"IA","MA"
5,0.0583825566363416,"IA","MA"
