"sample_size","ban_year","att","mape","r_sq","i","treated_state"
3,2015,-0.0438520722704795,0.0147978189823091,0.738581640189645,1,"All"
4,2015,-0.0457412087640825,0.0112368545289208,0.791896274098984,1,"All"
5,2015,-0.0443584263299456,0.0103393866490966,0.828980740050005,1,"All"
6,2015,-0.0427882618314687,0.00937046595390881,0.86042220765361,1,"All"
7,2015,-0.0437348559280736,0.00912285170278678,0.884263848320784,1,"All"
8,2015,-0.0447616257072401,0.00910752179878897,0.886720280289543,1,"All"
9,2015,-0.0440718646095394,0.00929369224983727,0.890833371026946,1,"All"
10,2015,-0.044314853018004,0.00947426005219482,0.894184351113087,1,"All"
3,2015,0.001625007594979,0.0252985428432365,0.830003195482415,2,"All"
4,2015,0.00121747379237569,0.0270902139157374,0.839510995120425,2,"All"
5,2015,0.00325902137487232,0.0294478776730397,0.848490411605138,2,"All"
6,2015,0.00188953550689375,0.030907366928324,0.855218802201441,2,"All"
7,2015,0.00318719099303553,0.0321833606045361,0.857031076421226,2,"All"
8,2015,0.00454902479029233,0.0334685657859262,0.85919140152055,2,"All"
9,2015,0.0055464098565841,0.0346574294963585,0.859618873448783,2,"All"
10,2015,0.00542165797930333,0.0357351971303469,0.860392435571083,2,"All"
3,2015,0.00189622949025448,0.026006476944282,0.801627219415885,3,"All"
4,2015,0.00218335076394976,0.0279324350112818,0.815332152941175,3,"All"
5,2015,0.00243671032725294,0.0303138494369046,0.828255326796207,3,"All"
6,2015,0.00205169606912782,0.0319622256584468,0.836540505028774,3,"All"
7,2015,0.00239166605379053,0.033473213216954,0.839791832903694,3,"All"
8,2015,0.00343662633724889,0.0347467248213141,0.842845054980834,3,"All"
9,2015,0.00397798824246126,0.0359809979612068,0.844192877990937,3,"All"
10,2015,0.00339519594444396,0.0370262015493337,0.844665932777616,3,"All"
3,2015,-0.010379583104365,0.0216323299993156,0.745955420726736,5,"All"
4,2015,-0.0102153681401711,0.0245525917323275,0.73938594485625,5,"All"
5,2015,-0.0126665664010575,0.0247947340982198,0.761822733094421,5,"All"
6,2015,-0.0153373086014567,0.0251531959639173,0.806536791082038,5,"All"
7,2015,-0.0178544286109429,0.0257980076003774,0.836965373966331,5,"All"
8,2015,-0.0192477686237877,0.0265854200499294,0.878274705481794,5,"All"
9,2015,-0.0184804418776184,0.0276415729706323,0.876041833389721,5,"All"
10,2015,-0.0180008483879495,0.0287646000652411,0.878958495347076,5,"All"
3,2015,0.0129539530151082,0.00993761898135023,0.819434265053098,6,"All"
4,2015,0.00951972436073462,0.00997664375164898,0.845239657886959,6,"All"
5,2015,0.00973609792984172,0.00988148773938885,0.850650423829395,6,"All"
6,2015,0.00635348859213155,0.0101959149182194,0.8573780770988,6,"All"
7,2015,0.00722107878113216,0.0105273321563012,0.854939773112481,6,"All"
8,2015,0.00791153603606239,0.0111951628187209,0.858504776344849,6,"All"
9,2015,0.0089871960981233,0.0125679230380516,0.851540391519794,6,"All"
10,2015,0.00858379478529311,0.0133268436146083,0.850773380199676,6,"All"
3,2015,-0.00669413169542313,0.0196069049593232,0.799061378563587,7,"All"
4,2015,-0.00823670678848637,0.0205230219263892,0.815046952226353,7,"All"
5,2015,-0.00715511381027922,0.0221803169624737,0.824159148027906,7,"All"
6,2015,-0.00666152591299926,0.0232202952045788,0.838283751105582,7,"All"
7,2015,-0.00695143825743103,0.0248023821513052,0.84476732848266,7,"All"
8,2015,-0.00763955391374601,0.0257106442522316,0.849769585419037,7,"All"
9,2015,-0.00701842291088589,0.0265183891508874,0.854419862543667,7,"All"
10,2015,-0.0069706296409861,0.0275103188977576,0.858514178435047,7,"All"
3,2015,0.00761409877912797,0.0311584561393125,0.583822860996106,8,"All"
4,2015,0.00974170402975615,0.0325554831288543,0.610881583742608,8,"All"
5,2015,0.0126296824299358,0.0325094289226076,0.643005160164815,8,"All"
6,2015,0.0126635102928686,0.0322727020529347,0.72445301994601,8,"All"
7,2015,0.0117880448266199,0.0329859329221006,0.772808764467339,8,"All"
8,2015,0.0115877709393077,0.0334530282423874,0.831920099016054,8,"All"
9,2015,0.012963112408389,0.0360209599976458,0.831923579988774,8,"All"
10,2015,0.0138989198946045,0.037916181075419,0.832544403648251,8,"All"
3,2015,0.00701220141368035,0.0283724671190387,0.535904911847963,9,"All"
