"county_id","attempt","actual_treatment_effect","seed","mape"
"sanfranciscoM3",1,0.491806807063716,36,0.9051
"seattleM1",1,-11.9661406988698,36,0.0442
"boulderM2",1,-0.246945460176374,37,0.0311
"sanfranciscoM3",1,0.491806807063716,37,0.9051
"seattleM1",1,-9.42902256070773,37,0.0175
"boulderM2",1,-11.0429478123218,38,0.0485
"sanfranciscoM3",1,-2.58690552286765,38,1.4435
"seattleM1",1,-23.9863076214098,38,0.0431
"boulderM2",1,-1.49118409345617,39,0.0522
"sanfranciscoM3",1,-2.58690552286764,39,1.4435
"seattleM1",1,-14.6781820465136,39,0.0346
"boulderM2",1,-2.89055276988519,40,0.0742
"sanfranciscoM3",1,0.307846645142716,40,1.8673
"seattleM1",1,-23.799335810214,40,0.0751
"boulderM2",1,-0.326380586235151,41,0.1014
"sanfranciscoM3",1,-2.58690552286764,41,1.4435
"seattleM1",1,-8.19786844024011,41,0.0481
"boulderM2",1,-0.650939230308846,42,0.0215
"sanfranciscoM3",1,-3.32486073689805,42,1.5913
"seattleM1",1,-22.0618216711496,42,0.0437
"boulderM2",1,-1.52848701044941,43,0.0557
"sanfranciscoM3",1,0.491806807063729,43,0.9051
"seattleM1",1,-9.45935658536797,43,0.0297
"boulderM2",1,-2.6143105041783,44,0.0388
"sanfranciscoM3",1,-2.58690552286765,44,1.4435
"seattleM1",1,-12.5976231476911,44,0.0423
"boulderM2",1,-2.72891261123681,45,0.0076
"sanfranciscoM3",1,0.307846645142716,45,1.8673
"seattleM1",1,-13.6721623004829,45,0.0394
"boulderM2",1,-1.05853624266405,46,0.0231
"sanfranciscoM3",1,-2.01160826787065,46,1.3663
"seattleM1",1,-17.2114708646097,46,0.0382
"boulderM2",1,-1.58066127563775,47,0.0916
"sanfranciscoM3",1,-2.01160826787065,47,1.3663
"seattleM1",1,-8.67813295126099,47,0.0428
"boulderM2",1,-1.78371666780183,48,0.0057
"sanfranciscoM3",1,0.307846645142716,48,1.8673
"seattleM1",1,-7.75545710295871,48,0.0642
"boulderM2",1,-1.5594856729231,49,0.04
"sanfranciscoM3",1,0.491806807063716,49,0.9051
"seattleM1",1,-14.2438158123693,49,0.0384
"boulderM2",1,-2.09719111066808,50,0.0592
"sanfranciscoM3",1,0.491806807063729,50,0.9051
"seattleM1",1,-18.627679435285,50,0.0447
"boulderM2",1,-1.99103639953595,51,0.0248
"sanfranciscoM3",1,-2.01160826787065,51,1.3663
"seattleM1",1,-17.6978944906289,51,0.0336
"boulderM2",1,1.02115442152229,52,0.0347
"sanfranciscoM3",1,0.491806807063716,52,0.9051
"seattleM1",1,-10.7624114075037,52,0.0753
"boulderM2",1,-2.08132904098837,53,0.0762
"sanfranciscoM3",1,0.491806807063729,53,0.9051
"seattleM1",1,-9.60576840452786,53,0.0706
"boulderM2",1,-1.49398339318851,54,0.0527
"sanfranciscoM3",1,0.491806807063729,54,0.9051
"seattleM1",1,-15.0685270251539,54,0.0108
"boulderM2",1,-3.93254218496406,55,0.0348
"sanfranciscoM3",1,-2.01160826787064,55,1.3663
"seattleM1",1,-13.4971947849369,55,0.0794
"boulderM2",1,-4.04871151034751,56,0.041
"sanfranciscoM3",1,0.491806807063729,56,0.9051
"seattleM1",1,-14.6896497691473,56,0.0212
"boulderM2",1,-2.56815903818783,57,0.0115
"sanfranciscoM3",1,-2.58690552286765,57,1.4435
"seattleM1",1,-16.4486610466711,57,0.0396
"boulderM2",1,-2.89055276988519,58,0.0742
"sanfranciscoM3",1,-0.134618697215922,58,1.899
"seattleM1",1,-11.8955725803046,58,0.0242
"boulderM2",1,-1.87598554914005,59,0.0528
"sanfranciscoM3",1,-2.58690552286765,59,1.4435
"seattleM1",1,-22.8201678291315,59,0.0243
"boulderM2",1,0.0563172949864419,60,0.0333
"sanfranciscoM3",1,0.491806807063716,60,0.9051
"seattleM1",1,-20.3236253907479,60,0.0314
"boulderM2",1,-2.89373943942927,61,0.0222
"sanfranciscoM3",1,-2.01160826787065,61,1.3663
"seattleM1",1,-17.0787782561642,61,0.0579
"boulderM2",1,-1.05853624266406,62,0.0231
"sanfranciscoM3",1,0.307846645142716,62,1.8673
"seattleM1",1,-19.7012354928826,62,0.0644
"boulderM2",1,-0.985711751623924,63,0.0364
"sanfranciscoM3",1,0.491806807063729,63,0.9051
"seattleM1",1,-14.1699016121529,63,0.0362
"boulderM2",1,-0.408566312536123,64,0.0466
"sanfranciscoM3",1,0.491806807063729,64,0.9051
"seattleM1",1,-11.0940407094581,64,0.085
"boulderM2",1,-3.60219569021112,65,0.0069
"sanfranciscoM3",1,0.491806807063729,65,0.9051
"seattleM1",1,-17.0708592534648,65,0.0443
"boulderM2",1,-1.32249591167992,66,0.062
"sanfranciscoM3",1,0.491806807063716,66,0.9051
"seattleM1",1,-19.6100064229776,66,0.0589
"boulderM2",1,-1.49118409345617,67,0.0522
"sanfranciscoM3",1,-2.01160826787065,67,1.3663
"seattleM1",1,-15.8250255452928,67,0.0115
"boulderM2",1,-5.54701107852177,68,0.0533
"sanfranciscoM3",1,0.491806807063716,68,0.9051
"seattleM1",1,-7.68693283576127,68,0.0339
"boulderM2",1,-2.7924117596134,69,0.0236
"sanfranciscoM3",1,0.491806807063716,69,0.9051
"seattleM1",1,-18.7139281504266,69,0.0119
"boulderM2",1,0.145811960222779,70,0.0394
"sanfranciscoM3",1,-2.01160826787064,70,1.3663
"seattleM1",1,-21.4562849014826,70,0.0229
"boulderM2",1,-1.22394834706425,71,0.0596
"sanfranciscoM3",1,-2.58690552286764,71,1.4435
"seattleM1",1,-16.1670558163748,71,0.0503
"boulderM2",1,-3.5327229967186,72,0.0719
"sanfranciscoM3",1,-0.134618697215909,72,1.899
"seattleM1",1,-16.9454174069999,72,0.0888
"boulderM2",1,-12.0985657638402,73,0.0521
"sanfranciscoM3",1,0.491806807063716,73,0.9051
"seattleM1",1,-16.5196080668663,73,0.0395
"boulderM2",1,-1.03190937470345,74,0.0689
"sanfranciscoM3",1,0.491806807063716,74,0.9051
"seattleM1",1,-20.8165343025793,74,0.0556
"boulderM2",1,-0.408566312536123,75,0.0466
"sanfranciscoM3",1,0.491806807063716,75,0.9051
"seattleM1",1,-11.7124852121868,75,0.0337
"boulderM2",1,-2.09627501043129,76,0.0189
"sanfranciscoM3",1,-2.58690552286765,76,1.4435
"seattleM1",1,-13.6567961658038,76,0.0239
"boulderM2",1,-0.985711751623911,77,0.0364
"sanfranciscoM3",1,-2.01160826787065,77,1.3663
"seattleM1",1,-14.6612468683121,77,0.0415
"boulderM2",1,0.00659441926642735,78,0.0718
"sanfranciscoM3",1,0.307846645142716,78,1.8673
"seattleM1",1,-17.1624812668329,78,0.0767
"boulderM2",1,-0.930494890195767,79,0.0409
"sanfranciscoM3",1,0.491806807063716,79,0.9051
"seattleM1",1,-20.3018066249422,79,0.0358
"boulderM2",1,-0.246945460176374,80,0.0311
"sanfranciscoM3",1,-2.01160826787064,80,1.3663
"seattleM1",1,-18.3136360109444,80,0.0174
"boulderM2",1,-2.74577121936122,81,0.0387
"sanfranciscoM3",1,0.491806807063716,81,0.9051
"seattleM1",1,-8.4223774326934,81,0.0853
"boulderM2",1,-3.60219569021112,82,0.0069
"sanfranciscoM3",1,-2.58690552286764,82,1.4435
"seattleM1",1,-20.6179821221568,82,0.0326
"boulderM2",1,-2.05657163970279,83,0.0071
"sanfranciscoM3",1,-2.58690552286765,83,1.4435
"seattleM1",1,-15.9644626005994,83,0.0795
"boulderM2",1,-3.35804405011801,84,0.0565
"sanfranciscoM3",1,-3.32486073689805,84,1.5913
"seattleM1",1,-14.3047798209075,84,0.0629
"boulderM2",1,-2.2806545864132,85,0.0443
"sanfranciscoM3",1,-0.134618697215922,85,1.899
"seattleM1",1,-23.2444628493213,85,0.0458
"boulderM2",1,-8.85928121684283,86,0.0207
"sanfranciscoM3",1,-0.134618697215922,86,1.899
"seattleM1",1,-16.5061348029196,86,0.0735
"boulderM2",1,-2.57770830682179,87,0.0481
"sanfranciscoM3",1,-2.58690552286765,87,1.4435
"seattleM1",1,-12.8138618290495,87,0.0084
"boulderM2",1,-1.55970938743478,88,0.0097
"sanfranciscoM3",1,0.491806807063729,88,0.9051
"seattleM1",1,-19.9096077894429,88,0.0312
"boulderM2",1,-4.45172438914759,89,0.0337
"sanfranciscoM3",1,-0.134618697215922,89,1.899
"seattleM1",1,-19.2205155256714,89,0.0174
"boulderM2",1,-2.39401958032776,90,0.043
