"county_id","actual_treatment_effect","seed"
"CA",2.36492071857157,1
"CT",-4.97747559564714,1
"MA",-11.1352056231676,1
"RI",-1.8626993816967,1
"VT",-1.55395372115447,1
"All",-2.79209836277256,1
"CA",2.52208153833577,2
"CT",-4.97747559564714,2
"MA",-10.1487612296432,2
"RI",-2.05649539194885,2
"VT",-1.611565781909,2
"All",-3.10286308068339,2
"CA",2.55553973983104,3
"CT",-4.97747559564714,3
"MA",-10.1422619637043,3
"RI",-2.26018674115759,3
"VT",-1.46601487838101,3
"All",-3.60726179185749,3
"CA",2.3319045846587,4
"CT",-4.97747559564714,4
"MA",-10.1487612296432,4
"RI",-2.5544269493176,4
"VT",-0.47918892020013,4
"All",-3.86982027173062,4
"CA",2.43471459944466,5
"CT",-4.97747559564714,5
"MA",-10.4088196536298,5
"RI",-2.54009217526883,5
"VT",-0.419572366461364,5
"All",-3.55464028085674,5
"CA",2.3319045846587,6
"CT",-4.97747559564714,6
"MA",-10.0135087572749,6
"RI",-2.12478913065823,6
"VT",-1.3275105388472,6
"All",-3.25375271922668,6
"CA",2.3319045846587,7
"CT",-4.97747559564714,7
"MA",-10.1487612296432,7
"RI",-2.12478913065823,7
"VT",-0.419572366461364,7
"All",-3.2029504396873,7
"CA",2.23720953236326,8
"CT",-4.97747559564714,8
"MA",-10.1487612296432,8
"RI",-2.26018674115759,8
"VT",-1.72737331969051,8
"All",-3.60716744617605,8
"CA",2.36492071857157,9
"CT",-4.97747559564714,9
"MA",-10.1487612296432,9
"RI",-2.54009217526884,9
"VT",-0.743486192266159,9
"All",-3.10267931859505,9
"CA",2.67224156345081,10
"CT",-4.97747559564714,10
"MA",-10.1487612296432,10
"RI",-2.67434397622386,10
"VT",-1.60563662135764,10
"All",-3.55464028085673,10
"CA",2.36492071857156,11
"CT",-4.97747559564714,11
"MA",-10.446050301331,11
"RI",-2.26018674115759,11
"VT",-1.26890630310326,11
"All",-2.97792584727795,11
"CA",2.69231811422602,12
"CT",-4.97747559564714,12
"MA",-10.0135087572749,12
"RI",-2.26018674115759,12
"VT",-0.538065407470382,12
"All",-3.77617076612432,12
"CA",2.36492071857157,13
"CT",-4.97747559564714,13
"MA",-11.1352056231676,13
"RI",-0.722945215050614,13
"VT",-1.26890630310326,13
"All",-3.50415358963109,13
"CA",2.55553973983104,14
"CT",-4.97747559564714,14
"MA",-10.0135087572749,14
"RI",-2.7417791061692,14
"VT",-1.5243854197206,14
"All",-3.403215371851,14
"CA",1.932483600623,15
"CT",-4.97747559564714,15
"MA",-11.1352056231676,15
"RI",-2.7417791061692,15
"VT",-0.419572366461364,15
"All",-3.99408015232442,15
"CA",2.43471459944466,16
"CT",-4.97747559564714,16
"MA",-10.1422619637043,16
"RI",-2.2601867411576,16
"VT",-0.419572366461364,16
"All",-3.79446476641189,16
"CA",2.55553973983104,17
"CT",-4.97747559564714,17
"MA",-10.1487612296432,17
"RI",-2.26018674115759,17
"VT",-1.5243854197206,17
"All",-2.73401519574672,17
"CA",2.3319045846587,18
"CT",-4.97747559564714,18
"MA",-10.1422619637043,18
"RI",-2.7417791061692,18
"VT",-1.21089213175922,18
"All",-3.89689003670945,18
"CA",1.93248360062301,19
"CT",-4.97747559564714,19
"MA",-10.1487612296432,19
"RI",-2.7417791061692,19
"VT",-1.5820320831415,19
"All",-3.67694911793797,19
"CA",2.67224156345081,20
"CT",-4.97747559564714,20
"MA",-10.1487612296432,20
"RI",-3.82560926472385,20
"VT",-2.3841279736916,20
"All",-3.8700433836029,20
"CA",2.74684074750691,21
"CT",-4.97747559564714,21
"MA",-10.1422619637043,21
"RI",-2.5544269493176,21
"VT",-0.419572366461374,21
"All",-3.97041166075937,21
"CA",2.3319045846587,22
"CT",-4.97747559564714,22
"MA",-10.0135087572749,22
"RI",-2.54009217526883,22
"VT",-1.32751053884718,22
"All",-3.05563536768108,22
"CA",2.23720953236324,23
"CT",-4.97747559564714,23
"MA",-10.0135087572749,23
"RI",-2.26018674115759,23
"VT",-0.419572366461374,23
"All",-3.74800106087859,23
"CA",2.52208153833577,24
"CT",-4.97747559564714,24
"MA",-11.1352056231676,24
"RI",-2.67434397622387,24
"VT",-1.61156578190899,24
"All",-3.4299160087055,24
"CA",2.63902692147517,25
"CT",-4.97747559564714,25
"MA",-10.446050301331,25
"RI",-2.26018674115759,25
"VT",-0.419572366461364,25
"All",-3.88997814871989,25
"CA",2.67224156345081,26
"CT",-4.97747559564714,26
"MA",-10.1487612296432,26
"RI",-2.05649539194885,26
"VT",-1.60563662135764,26
"All",-3.2237508825791,26
"CA",2.63902692147517,27
"CT",-4.97747559564714,27
"MA",-10.446050301331,27
"RI",-3.12504069922624,27
"VT",-1.53131004712693,27
"All",-3.58106329242702,27
"CA",2.67224156345081,28
"CT",-4.97747559564714,28
"MA",-10.0135087572749,28
"RI",-2.12478913065823,28
"VT",-1.21089213175922,28
"All",-3.05171821352937,28
"CA",2.67224156345081,29
"CT",-4.97747559564714,29
"MA",-11.1352056231676,29
"RI",-2.67434397622387,29
"VT",-1.26890630310326,29
"All",-3.69550478476601,29
"CA",2.67224156345081,30
"CT",-4.97747559564714,30
"MA",-10.4088196536298,30
"RI",-2.26018674115759,30
"VT",-1.26890630310326,30
"All",-3.34168684997382,30
"CA",2.63902692147517,31
"CT",-4.97747559564714,31
"MA",-8.51855886661274,31
"RI",-2.67434397622387,31
"VT",-1.21089213175922,31
"All",-3.94338330404854,31
"CA",2.36492071857156,32
"CT",-4.97747559564714,32
"MA",-10.0135087572749,32
"RI",-3.25768689053204,32
"VT",-0.419572366461364,32
"All",-3.15588032278008,32
"CA",2.67224156345081,33
"CT",-4.97747559564714,33
"MA",-10.1422619637043,33
"RI",-1.23446950674765,33
"VT",-1.21089213175922,33
"All",-3.55464028085674,33
"CA",2.43471459944466,34
"CT",-4.97747559564714,34
"MA",-10.1487612296432,34
"RI",-1.23446950674765,34
"VT",-1.5243854197206,34
"All",-3.86982027173062,34
"CA",2.55553973983103,35
"CT",-4.97747559564714,35
"MA",-11.1352056231676,35
"RI",-2.74177910616921,35
"VT",-1.72737331969051,35
"All",-3.82342934306893,35
"CA",2.67224156345081,36
"CT",-4.97747559564714,36
"MA",-11.2769445118176,36
"RI",-2.7417791061692,36
"VT",-1.21089213175922,36
"All",-3.67694911793797,36
"CA",2.3319045846587,37
"CT",-4.97747559564714,37
"MA",-10.1422619637043,37
"RI",-2.67434397622386,37
"VT",-1.21089213175922,37
"All",-4.08500570635555,37
"CA",1.93248360062301,38
"CT",-4.97747559564714,38
"MA",-10.1487612296432,38
"RI",-2.67434397622387,38
"VT",-1.26890630310326,38
"All",-3.29250319626769,38
"CA",1.93248360062301,39
"CT",-4.97747559564714,39
"MA",-9.70830748889037,39
"RI",-2.74177910616921,39
"VT",-0.820653305232504,39
"All",-3.25375271922667,39
"CA",2.86288515366901,40
"CT",-4.97747559564714,40
"MA",-10.1422619637043,40
"RI",-3.03313116623453,40
"VT",-2.3841279736916,40
"All",-3.55085296113735,40
"CA",2.33190458465869,41
"CT",-4.97747559564714,41
"MA",-10.1422619637043,41
"RI",-2.26018674115759,41
"VT",-1.26890630310326,41
"All",-3.74800106087859,41
"CA",2.43471459944466,42
"CT",-4.97747559564714,42
"MA",-11.1340852845298,42
"RI",-3.12504069922624,42
"VT",-1.66976405575937,42
"All",-3.86982027173062,42
"CA",2.23720953236326,43
"CT",-4.97747559564714,43
"MA",-10.1487612296432,43
"RI",-3.05813618275293,43
"VT",-1.32751053884719,43
"All",-3.94338330404854,43
"CA",2.48896396368539,44
"CT",-4.97747559564714,44
"MA",-10.4088196536298,44
"RI",-1.23446950674765,44
"VT",-1.55395372115447,44
"All",-3.6752652399347,44
"CA",2.3319045846587,45
"CT",-4.97747559564714,45
"MA",-9.39948470598082,45
"RI",-2.26018674115759,45
"VT",-1.611565781909,45
"All",-3.67526523993469,45
"CA",2.3319045846587,46
"CT",-4.97747559564714,46
"MA",-11.1352056231676,46
"RI",-2.74177910616921,46
"VT",-0.419572366461374,46
"All",-3.08113889739548,46
"CA",2.67224156345081,47
"CT",-4.97747559564714,47
"MA",-9.39948470598081,47
"RI",-2.54009217526884,47
"VT",-1.32751053884719,47
"All",-3.7013184176262,47
"CA",2.3319045846587,48
"CT",-4.97747559564714,48
"MA",-10.1487612296432,48
"RI",-2.54009217526883,48
"VT",-0.419572366461364,48
"All",-3.50415358963109,48
"CA",2.67224156345081,49
"CT",-4.97747559564714,49
"MA",-10.1487612296432,49
"RI",-3.82560926472384,49
"VT",-1.21089213175922,49
"All",-3.65562601849658,49
"CA",2.23720953236324,50
"CT",-4.97747559564714,50
"MA",-11.1352056231676,50
"RI",-2.7417791061692,50
"VT",-2.38412797369161,50
"All",-3.54884273132261,50
"CA",2.70896155731466,51
"CT",-4.97747559564714,51
"MA",-10.4088196536298,51
"RI",-2.26018674115759,51
"VT",-1.32751053884719,51
"All",-3.77523348413103,51
"CA",2.67224156345081,52
"CT",-4.97747559564714,52
"MA",-10.0135087572749,52
"RI",-2.12478913065822,52
"VT",-1.32751053884719,52
"All",-3.13804766727297,52
"CA",2.43471459944466,53
"CT",-4.97747559564714,53
"MA",-10.446050301331,53
"RI",-2.12478913065823,53
"VT",-2.5768131449043,53
"All",-3.2029504396873,53
"CA",2.36492071857157,54
"CT",-4.97747559564714,54
"MA",-10.4088196536298,54
"RI",-2.05649539194885,54
"VT",-1.55395372115447,54
"All",-3.42769181613022,54
"CA",2.3319045846587,55
"CT",-4.97747559564714,55
"MA",-10.0135087572749,55
"RI",-2.05649539194886,55
"VT",-0.419572366461374,55
"All",-3.52015695784157,55
"CA",2.3319045846587,56
"CT",-4.97747559564714,56
"MA",-10.0135087572749,56
"RI",-2.54009217526883,56
"VT",-1.53131004712695,56
"All",-3.23357446582877,56
"CA",2.03449220741093,57
"CT",-4.97747559564714,57
"MA",-10.446050301331,57
"RI",-2.12478913065823,57
"VT",-1.21089213175922,57
"All",-3.35500337512187,57
"CA",2.48896396368539,58
"CT",-4.97747559564714,58
"MA",-10.0135087572749,58
"RI",-2.67434397622386,58
"VT",-1.32751053884718,58
"All",-3.82342934306893,58
"CA",3.22824239454686,59
"CT",-4.97747559564714,59
"MA",-9.6764375094447,59
"RI",-2.12478913065823,59
"VT",-1.26890630310326,59
"All",-3.88997814871988,59
"CA",2.46779711818705,60
"CT",-4.97747559564714,60
"MA",-10.1422619637043,60
"RI",-2.54009217526884,60
"VT",-1.21089213175922,60
"All",-3.29886705128247,60
"CA",2.63902692147517,61
"CT",-4.97747559564714,61
"MA",-10.1487612296432,61
"RI",-2.26018674115759,61
"VT",-1.46601487838101,61
"All",-3.14371100701967,61
"CA",2.3319045846587,62
"CT",-4.97747559564714,62
"MA",-10.0135087572749,62
"RI",-2.26018674115759,62
"VT",-1.21089213175922,62
"All",-3.94338330404854,62
"CA",2.6722415634508,63
"CT",-4.97747559564714,63
"MA",-10.1422619637043,63
"RI",-3.05813618275293,63
"VT",-1.46601487838101,63
"All",-3.26524610840814,63
"CA",3.10240428428084,64
"CT",-4.97747559564714,64
"MA",-10.0135087572749,64
"RI",-3.25768689053204,64
"VT",-1.55395372115447,64
"All",-3.91471384852377,64
"CA",3.06891078795343,65
"CT",-4.97747559564714,65
"MA",-11.1352056231676,65
"RI",-3.82560926472383,65
"VT",-1.21089213175922,65
"All",-3.53077725308998,65
"CA",2.72556726148003,66
"CT",-4.97747559564714,66
"MA",-10.1487612296432,66
"RI",-2.7417791061692,66
"VT",-0.419572366461374,66
"All",-3.94338330404854,66
"CA",2.63902692147517,67
"CT",-4.97747559564714,67
"MA",-9.39948470598081,67
"RI",-2.7417791061692,67
"VT",-1.26890630310326,67
"All",-3.86814313041534,67
"CA",2.43471459944466,68
"CT",-4.97747559564714,68
"MA",-10.1487612296432,68
"RI",-3.25768689053205,68
"VT",-1.55395372115447,68
"All",-3.55049580055732,68
"CA",2.24891608370749,69
"CT",-4.97747559564714,69
"MA",-10.1487612296432,69
"RI",-2.67434397622386,69
"VT",-1.26890630310326,69
"All",-3.74968239683619,69
"CA",2.67224156345081,70
"CT",-4.97747559564714,70
"MA",-10.1422619637043,70
"RI",-2.67434397622386,70
"VT",-0.47918892020013,70
"All",-3.74968239683619,70
"CA",2.3319045846587,71
"CT",-4.97747559564714,71
"MA",-11.1352056231676,71
"RI",-2.7417791061692,71
"VT",-2.57681314490429,71
"All",-3.36512248288611,71
"CA",2.48896396368539,72
"CT",-4.97747559564714,72
"MA",-11.1352056231676,72
"RI",-3.25768689053204,72
"VT",-0.538065407470382,72
"All",-3.25375271922667,72
"CA",2.86288515366901,73
"CT",-4.97747559564714,73
"MA",-11.1352056231676,73
"RI",-2.26018674115759,73
"VT",-1.5243854197206,73
"All",-3.4299160087055,73
"CA",2.48896396368539,74
"CT",-4.97747559564714,74
"MA",-11.1352056231676,74
"RI",-2.12478913065823,74
"VT",-1.60563662135764,74
"All",-3.97041166075938,74
"CA",3.10240428428085,75
"CT",-4.97747559564714,75
"MA",-10.446050301331,75
"RI",-1.23446950674765,75
"VT",-0.419572366461374,75
"All",-3.63496746106596,75
"CA",3.22824239454686,76
"CT",-4.97747559564714,76
"MA",-9.39948470598081,76
"RI",-2.7417791061692,76
"VT",-1.46601487838102,76
"All",-2.79636405980901,76
"CA",2.46779711818705,77
"CT",-4.97747559564714,77
"MA",-11.1352056231676,77
"RI",-3.05813618275293,77
"VT",-1.21089213175922,77
"All",-3.24197380147087,77
"CA",2.48896396368539,78
"CT",-4.97747559564714,78
"MA",-10.1487612296432,78
"RI",-3.82560926472385,78
"VT",-1.46601487838103,78
"All",-3.29886705128247,78
"CA",2.3319045846587,79
"CT",-4.97747559564714,79
"MA",-10.0135087572749,79
"RI",-2.67434397622386,79
"VT",-0.47918892020013,79
"All",-3.35500337512186,79
"CA",2.67224156345081,80
"CT",-4.97747559564714,80
"MA",-10.1487612296432,80
"RI",-2.26018674115759,80
"VT",-0.74513560083359,80
"All",-3.0255777013821,80
"CA",2.55553973983104,81
"CT",-4.97747559564714,81
"MA",-10.1487612296432,81
"RI",-3.05813618275294,81
"VT",-1.059948240073,81
"All",-2.93067711943484,81
"CA",2.03449220741094,82
"CT",-4.97747559564714,82
"MA",-10.0135087572749,82
"RI",-2.54009217526884,82
"VT",-0.47918892020013,82
"All",-3.74928110523665,82
"CA",2.33190458465869,83
"CT",-4.97747559564714,83
"MA",-11.0029088114684,83
"RI",-3.05813618275293,83
"VT",-1.46601487838101,83
"All",-3.01607261713719,83
"CA",3.10240428428084,84
"CT",-4.97747559564714,84
"MA",-10.446050301331,84
"RI",-2.26018674115759,84
"VT",-1.55395372115447,84
"All",-3.57745086522536,84
"CA",1.93248360062301,85
"CT",-4.97747559564714,85
"MA",-10.1487612296432,85
"RI",-2.55442694931759,85
"VT",-0.686504081011521,85
"All",-3.88997814871989,85
"CA",2.67224156345081,86
"CT",-4.97747559564714,86
"MA",-10.1487612296432,86
"RI",-2.74177910616921,86
"VT",-1.60563662135764,86
"All",-3.88997814871989,86
"CA",2.03449220741094,87
"CT",-4.97747559564714,87
"MA",-10.4088196536298,87
"RI",-2.67434397622386,87
"VT",-0.47918892020013,87
"All",-3.62490479089813,87
"CA",2.48896396368539,88
"CT",-4.97747559564714,88
"MA",-10.0135087572749,88
"RI",-1.35287550654015,88
"VT",-0.47918892020014,88
"All",-3.65562601849659,88
"CA",2.46779711818704,89
"CT",-4.97747559564714,89
"MA",-11.519633181811,89
"RI",-3.25768689053204,89
"VT",-0.47918892020013,89
"All",-3.76989068428408,89
"CA",2.67572315697728,90
"CT",-4.97747559564714,90
"MA",-10.446050301331,90
"RI",-2.26018674115759,90
"VT",-1.21089213175922,90
"All",-3.71607872164595,90
"CA",3.06891078795343,91
"CT",-4.97747559564714,91
"MA",-10.1487612296432,91
"RI",-2.12478913065823,91
"VT",-0.743486192266159,91
"All",-3.06873700844096,91
"CA",2.67572315697727,92
"CT",-4.97747559564714,92
"MA",-11.1352056231676,92
"RI",-2.05649539194885,92
"VT",-0.419572366461357,92
"All",-3.50694404836137,92
"CA",1.932483600623,93
"CT",-4.97747559564714,93
"MA",-10.1487612296432,93
"RI",-2.7417791061692,93
"VT",-0.47918892020013,93
"All",-2.93067711943484,93
"CA",2.55553973983104,94
"CT",-4.97747559564714,94
"MA",-11.1352056231676,94
"RI",-3.25768689053204,94
"VT",-0.745135600833596,94
"All",-3.60857398948698,94
"CA",2.43471459944466,95
"CT",-4.97747559564714,95
"MA",-10.1422619637043,95
"RI",-2.74177910616921,95
"VT",-0.419572366461364,95
"All",-3.28053603548256,95
"CA",1.932483600623,96
"CT",-4.97747559564714,96
"MA",-10.1487612296432,96
"RI",-2.4198438867715,96
"VT",-1.32751053884719,96
"All",-3.69137240243221,96
"CA",1.93248360062301,97
"CT",-4.97747559564714,97
"MA",-10.0135087572749,97
"RI",-2.05649539194885,97
"VT",-2.57681314490429,97
"All",-3.22022445444339,97
"CA",2.7468407475069,98
"CT",-4.97747559564714,98
"MA",-10.0135087572749,98
"RI",-2.7417791061692,98
"VT",-1.466014878381,98
"All",-3.35500337512187,98
"CA",2.55553973983104,99
"CT",-4.97747559564714,99
"MA",-10.1487612296432,99
"RI",-2.67434397622386,99
"VT",-0.47918892020013,99
"All",-3.52421916728163,99
"CA",2.3319045846587,100
"CT",-4.97747559564714,100
"MA",-10.1487612296432,100
"RI",-2.26018674115759,100
"VT",-0.47918892020014,100
"All",-3.68844564142883,100
"CA",2.43471459944466,101
"CT",-4.97747559564714,101
"MA",-10.0135087572749,101
"RI",-2.12478913065823,101
"VT",-1.32751053884718,101
"All",-3.87613865260459,101
"CA",2.67572315697727,102
"CT",-4.97747559564714,102
"MA",-10.1487612296432,102
"RI",-1.23446950674765,102
"VT",-1.46601487838102,102
"All",-3.57272362029198,102
"CA",2.3319045846587,103
"CT",-4.97747559564714,103
"MA",-10.1422619637043,103
"RI",-1.86269938169669,103
"VT",-1.21089213175922,103
"All",-3.16146929305577,103
"CA",2.67224156345081,104
"CT",-4.97747559564714,104
"MA",-10.0135087572749,104
"RI",-2.26018674115759,104
"VT",-1.21089213175922,104
"All",-3.74968239683619,104
"CA",2.43471459944465,105
"CT",-4.97747559564714,105
"MA",-10.0135087572749,105
"RI",-2.7417791061692,105
"VT",-0.743486192266152,105
"All",-3.89624256677261,105
"CA",2.55553973983104,106
"CT",-4.97747559564714,106
"MA",-11.1352056231676,106
"RI",-2.54009217526883,106
"VT",-0.944338944587352,106
"All",-3.80247254880766,106
"CA",1.932483600623,107
"CT",-4.97747559564714,107
"MA",-9.67643750944471,107
"RI",-2.54009217526883,107
"VT",-1.611565781909,107
"All",-3.89624256677261,107
"CA",2.67572315697727,108
"CT",-4.97747559564714,108
"MA",-11.1352056231676,108
"RI",-2.67434397622386,108
"VT",-1.32751053884718,108
"All",-3.57745086522536,108
"CA",2.46779711818705,109
"CT",-4.97747559564714,109
"MA",-10.0135087572749,109
"RI",-2.12478913065823,109
"VT",-2.5768131449043,109
"All",-3.94338330404854,109
"CA",2.3319045846587,110
"CT",-4.97747559564714,110
"MA",-10.0135087572749,110
"RI",-2.54009217526884,110
"VT",-1.26890630310326,110
"All",-3.15588032278008,110
"CA",2.67224156345081,111
"CT",-4.97747559564714,111
"MA",-9.56369689301723,111
"RI",-2.26018674115759,111
"VT",-1.60563662135764,111
"All",-2.92443943785105,111
"CA",3.20676911624668,112
"CT",-4.97747559564714,112
"MA",-9.70830748889036,112
"RI",-2.54009217526883,112
"VT",-1.55395372115447,112
"All",-3.15891980845296,112
"CA",2.46779711818705,113
