"county_id","actual_treatment_effect","seed"
"CA",4.98156670016234,1
"CT",-0.175967066097808,1
"MA",-6.95279800769535,1
"RI",-2.2412972550945,1
"VT",-1.20449427347055,1
"All",-1.66684453689215,1
"CA",4.98156670016234,2
"CT",-2.32875623476595,2
"MA",-9.22482999908111,2
"RI",-2.2412972550945,2
"VT",-1.20449427347055,2
"All",-1.77785371812474,2
"CA",4.98156670016234,3
"CT",-4.67382826589349,3
"MA",-7.07753929039586,3
"RI",-4.16860991127275,3
"VT",-3.10752690920888,3
"All",-1.66684453689216,3
"CA",5.06386192005769,4
"CT",-4.67382826589349,4
"MA",-7.07753929039586,4
"RI",-4.16860991127275,4
"VT",-1.20449427347055,4
"All",-1.66684453689215,4
"CA",5.06386192005769,5
"CT",-3.65946086567365,5
"MA",-7.07753929039587,5
"RI",-2.24129725509451,5
"VT",-0.956673365612755,5
"All",-1.66684453689216,5
"CA",4.98156670016234,6
"CT",-4.6738282658935,6
"MA",-7.07753929039586,6
"RI",-4.16860991127275,6
"VT",-3.10752690920888,6
"All",-1.66684453689216,6
"CA",4.99835727143533,7
"CT",-4.67382826589349,7
"MA",-7.07753929039587,7
"RI",-4.16860991127275,7
"VT",-1.3568943748536,7
"All",-1.66684453689215,7
"CA",4.88738154855983,8
"CT",-3.665820440435,8
"MA",-5.8742308355825,8
"RI",-4.16860991127275,8
"VT",-1.90369882298395,8
"All",-1.93414726102554,8
"CA",5.06386192005769,9
"CT",-0.175967066097808,9
"MA",-9.22482999908111,9
"RI",-4.16860991127275,9
"VT",-0.956673365612762,9
"All",-1.66684453689216,9
"CA",4.99835727143533,10
"CT",-4.67382826589349,10
"MA",-7.07753929039587,10
"RI",-4.16860991127275,10
"VT",-1.35689437485362,10
"All",-2.43544358054593,10
"CA",4.49950434609821,11
"CT",-2.72241465267804,11
"MA",-7.07753929039587,11
"RI",-2.2412972550945,11
"VT",-2.24735617045715,11
"All",-1.68215357039581,11
"CA",4.99835727143533,12
"CT",-4.67382826589349,12
"MA",-7.07753929039587,12
"RI",-2.2412972550945,12
"VT",-0.956673365612755,12
"All",-1.52505511661264,12
"CA",5.06386192005771,13
"CT",-0.175967066097801,13
"MA",-9.22482999908111,13
"RI",-4.16860991127275,13
"VT",-0.956673365612762,13
"All",-1.97052755651903,13
"CA",4.98156670016234,14
"CT",-2.32875623476595,14
"MA",-9.22482999908111,14
"RI",-2.24129725509451,14
"VT",-2.24735617045715,14
"All",-1.88367560785746,14
"CA",4.88738154855983,15
"CT",-0.175967066097808,15
"MA",-7.07753929039586,15
"RI",-4.16860991127274,15
"VT",-0.956673365612762,15
"All",-1.66684453689215,15
"CA",5.06386192005769,16
"CT",-4.24072264217174,16
"MA",-9.22482999908111,16
"RI",-2.2412972550945,16
"VT",-3.10752690920887,16
"All",-1.66684453689215,16
"CA",4.98156670016234,17
"CT",-0.175967066097808,17
"MA",-7.07753929039587,17
"RI",-4.16860991127275,17
"VT",-2.24735617045715,17
"All",-2.22104706367313,17
"CA",5.28929799994059,18
"CT",-2.32875623476595,18
"MA",-9.22482999908111,18
"RI",-2.24129725509451,18
"VT",-1.20449427347055,18
"All",-1.66684453689216,18
"CA",5.06386192005769,19
"CT",-3.28412027940483,19
"MA",-9.22482999908111,19
"RI",-4.16860991127275,19
"VT",-0.956673365612762,19
