"county_id","actual_treatment_effect","seed"
"CA",1.79702917935186,1
"CT",-1.54827605079129,1
"MA",-11.0114521337412,1
"RI",-1.65464900108023,1
"VT",-3.08128700553895,1
"All",-2.00292207411715,1
"CA",2.14994472573528,2
"CT",-1.54827605079129,2
"MA",-11.1672474259668,2
"RI",-1.65464900108023,2
"VT",-3.7838849293677,2
"All",-2.11124830748035,2
"CA",1.79702917935185,3
"CT",-1.54827605079129,3
"MA",-11.1672474259668,3
"RI",-1.65464900108023,3
"VT",-3.08128700553895,3
"All",-1.80882884209491,3
"CA",2.14994472573528,4
"CT",-1.54827605079128,4
"MA",-11.1672474259668,4
"RI",-1.65464900108023,4
"VT",-3.08128700553895,4
"All",-3.07728183362014,4
"CA",1.88843326916093,5
"CT",-1.54827605079129,5
"MA",-10.4971661008154,5
"RI",-1.65464900108023,5
"VT",-3.7838849293677,5
"All",-2.47822331037274,5
"CA",1.67169481957383,6
"CT",-1.54827605079129,6
"MA",-11.0114521337412,6
"RI",-1.65464900108023,6
"VT",-3.08128700553895,6
"All",-2.11802174362066,6
"CA",2.11341533453404,7
"CT",-1.54827605079129,7
"MA",-11.1672474259668,7
"RI",-1.65464900108023,7
"VT",-3.08128700553895,7
"All",-2.4027022003563,7
"CA",1.67169481957383,8
"CT",-1.54827605079129,8
"MA",-11.0114521337412,8
"RI",-1.65464900108023,8
"VT",-3.08128700553895,8
"All",-1.61255125527898,8
"CA",1.92480184177231,9
"CT",-1.54827605079129,9
"MA",-11.0114521337412,9
"RI",-1.65464900108023,9
"VT",-3.08128700553895,9
"All",-2.61476084310447,9
"CA",2.18265436287104,10
"CT",-1.54827605079129,10
"MA",-11.0114521337412,10
"RI",-1.65464900108023,10
"VT",-3.08128700553895,10
"All",-1.79027662315064,10
"CA",2.18265436287102,11
"CT",-1.54827605079129,11
"MA",-9.95623522630446,11
"RI",-1.65464900108023,11
"VT",-3.08128700553895,11
"All",-2.14725195536393,11
"CA",2.14994472573528,12
"CT",-1.54827605079129,12
"MA",-11.1672474259668,12
"RI",-1.65464900108023,12
"VT",-3.08128700553895,12
"All",-2.51383039605914,12
"CA",2.11341533453404,13
"CT",-1.54827605079128,13
"MA",-11.0114521337412,13
"RI",-1.65464900108023,13
"VT",-3.08128700553895,13
"All",-2.24400920483029,13
"CA",2.57734428723484,14
"CT",-1.54827605079129,14
"MA",-11.1672474259668,14
"RI",-1.65464900108023,14
"VT",-3.7838849293677,14
"All",-2.46016362951628,14
"CA",2.53795234246908,15
"CT",-1.54827605079129,15
"MA",-11.1672474259668,15
"RI",-1.65464900108023,15
"VT",-3.7838849293677,15
"All",-3.04650964121979,15
"CA",2.11341533453404,16
"CT",-1.54827605079129,16
"MA",-11.1672474259668,16
"RI",-1.65464900108023,16
"VT",-3.08128700553895,16
"All",-1.9739999567397,16
"CA",2.54050863071336,17
"CT",-1.54827605079129,17
"MA",-10.3367235552931,17
"RI",-1.65464900108023,17
"VT",-2.26574423208026,17
"All",-2.93575865568807,17
"CA",2.02160731820262,18
"CT",-1.54827605079128,18
"MA",-11.0114521337412,18
"RI",-1.65464900108023,18
"VT",-3.08128700553895,18
"All",-2.09118418619699,18
"CA",1.92480184177231,19
"CT",-1.54827605079129,19
"MA",-11.0114521337412,19
"RI",-1.65464900108023,19
"VT",-3.08128700553895,19
"All",-2.76896292994056,19
"CA",1.92480184177231,20
"CT",-1.54827605079128,20
"MA",-11.1672474259668,20
"RI",-1.65464900108023,20
"VT",-3.08128700553895,20
"All",-2.15039707979227,20
"CA",2.50114496683576,21
"CT",-1.54827605079128,21
"MA",-11.0114521337412,21
"RI",-1.65464900108023,21
"VT",-3.08128700553895,21
"All",-2.62230384075868,21
"CA",1.44865286583368,22
"CT",-1.54827605079129,22
"MA",-11.0114521337412,22
"RI",-1.65464900108023,22
"VT",-2.26574423208026,22
"All",-1.53513091812139,22
"CA",1.88843326916093,23
"CT",-1.54827605079129,23
"MA",-10.3367235552931,23
"RI",-1.65464900108023,23
"VT",-3.08128700553895,23
"All",-2.10304704588675,23
"CA",2.18265436287102,24
"CT",-1.54827605079128,24
"MA",-11.0114521337412,24
"RI",-1.65464900108023,24
"VT",-3.08128700553895,24
"All",-2.95498626135718,24
"CA",1.67169481957383,25
"CT",-1.54827605079129,25
"MA",-11.1672474259668,25
"RI",-1.65464900108023,25
"VT",-3.08128700553895,25
"All",-2.60976660860058,25
"CA",2.63558703969135,26
"CT",-1.54827605079129,26
"MA",-11.0114521337412,26
"RI",-1.65464900108023,26
"VT",-3.7838849293677,26
"All",-2.51372340941034,26
"CA",2.05423480348925,27
"CT",-1.54827605079128,27
"MA",-11.1672474259668,27
"RI",-1.65464900108023,27
"VT",-3.08128700553895,27
"All",-2.77456891568675,27
"CA",1.67169481957383,28
"CT",-1.54827605079128,28
"MA",-11.0114521337412,28
"RI",-1.65464900108023,28
"VT",-3.08128700553895,28
"All",-2.23956311466007,28
"CA",2.56150381945201,29
"CT",-1.54827605079129,29
"MA",-11.0114521337412,29
"RI",-1.65464900108023,29
"VT",-3.08128700553895,29
"All",-2.07123865744152,29
"CA",1.67169481957383,30
"CT",-1.54827605079129,30
"MA",-11.0114521337412,30
"RI",-1.65464900108023,30
"VT",-3.08128700553895,30
"All",-2.48082967676241,30
"CA",2.14994472573528,31
"CT",-1.54827605079129,31
"MA",-11.1672474259668,31
"RI",-1.65464900108023,31
"VT",-3.08128700553895,31
"All",-2.23769127422323,31
"CA",2.11341533453404,32
"CT",-1.54827605079129,32
"MA",-11.0114521337412,32
"RI",-1.65464900108023,32
"VT",-3.08128700553895,32
"All",-2.05390631073444,32
"CA",1.88843326916093,33
"CT",-1.54827605079128,33
"MA",-7.93264338276319,33
"RI",-1.65464900108023,33
"VT",-3.7838849293677,33
"All",-2.28217318351503,33
"CA",2.14994472573528,34
"CT",-1.54827605079128,34
"MA",-11.1672474259668,34
"RI",-1.65464900108023,34
"VT",-3.08128700553895,34
"All",-3.18416640441864,34
"CA",2.14994472573528,35
"CT",-1.54827605079129,35
"MA",-11.1672474259668,35
"RI",-1.65464900108023,35
"VT",-3.08128700553895,35
"All",-2.16717957344008,35
"CA",2.59835456444363,36
"CT",-1.54827605079129,36
"MA",-7.93264338276319,36
"RI",-1.65464900108023,36
"VT",-3.08128700553895,36
"All",-2.87329595519537,36
"CA",2.11341533453404,37
"CT",-1.54827605079128,37
"MA",-11.1672474259668,37
"RI",-1.65464900108023,37
"VT",-3.08128700553895,37
"All",-2.54978885620523,37
"CA",2.11341533453404,38
"CT",-1.54827605079129,38
"MA",-9.10280400576825,38
"RI",-1.65464900108023,38
"VT",-3.08128700553895,38
"All",-1.46767591422927,38
"CA",1.67169481957383,39
"CT",-1.54827605079129,39
"MA",-11.0114521337412,39
"RI",-1.65464900108023,39
"VT",-3.08128700553895,39
"All",-2.38958973709933,39
"CA",1.67169481957383,40
"CT",-0.242711304511998,40
"MA",-9.95623522630446,40
"RI",-1.65464900108023,40
"VT",-3.7838849293677,40
"All",-2.38486765115789,40
"CA",2.11341533453404,41
"CT",-1.54827605079129,41
"MA",-9.10280400576825,41
"RI",-1.65464900108023,41
"VT",-3.08128700553895,41
"All",-2.38627298001883,41
"CA",1.79702917935186,42
"CT",-1.54827605079129,42
"MA",-11.0114521337412,42
"RI",-1.65464900108023,42
"VT",-3.08128700553895,42
"All",-2.75974948076326,42
"CA",2.11341533453404,43
"CT",-1.54827605079129,43
"MA",-7.93264338276319,43
"RI",-1.65464900108023,43
"VT",-3.08128700553895,43
"All",-2.37420442338035,43
"CA",1.44865286583368,44
"CT",-1.54827605079128,44
"MA",-10.3367235552931,44
"RI",-1.65464900108023,44
"VT",-3.08128700553895,44
"All",-1.56498088372155,44
"CA",2.11341533453404,45
"CT",-1.54827605079129,45
"MA",-10.3367235552931,45
"RI",-1.65464900108023,45
"VT",-3.08128700553895,45
"All",-1.9984421740534,45
"CA",2.59835456444362,46
"CT",-1.54827605079129,46
"MA",-11.1672474259668,46
"RI",-1.65464900108023,46
"VT",-3.78388492936768,46
"All",-1.97203830297668,46
"CA",2.11341533453404,47
"CT",-1.54827605079128,47
"MA",-10.3367235552931,47
"RI",-1.65464900108023,47
"VT",-3.78388492936768,47
"All",-2.31395166427886,47
"CA",2.11341533453404,48
"CT",-1.54827605079129,48
"MA",-11.0114521337412,48
"RI",-1.65464900108023,48
"VT",-3.7838849293677,48
"All",-2.79089982611777,48
