"sample_size","ban_year","att_min","att_max","att_median","specification","year","treated_state"
3,2014,-0.0737560415555797,0.0369479540536138,-0.00720997470830672,"State",2014,"MA"
4,2014,-0.0614133967048118,0.0559030742011379,-0.00357264000399497,"State",2014,"MA"
5,2014,-0.0531219503603668,0.0525650803123771,-0.00385457122431311,"State",2014,"MA"
6,2014,-0.0392160100780821,0.044616111990475,-0.00238699783765549,"State",2014,"MA"
7,2014,-0.0477330462145475,0.054629495567569,-0.00341145218924202,"State",2014,"MA"
8,2014,-0.0504737644560833,0.0561684183353393,0.00238385792875027,"State",2014,"MA"
9,2014,-0.043044060982755,0.0476441790647119,-0.000548004259630681,"State",2014,"MA"
10,2014,-0.0379922659854044,0.0493546494470892,-0.000358564011043229,"State",2014,"MA"
3,2016,-0.0500995394538436,0.0405467510510528,-0.00714489724729209,"State",2016,"CA"
4,2016,-0.0710917101931004,0.0390697533697422,-0.00980349602712454,"State",2016,"CA"
5,2016,-0.0884074104745105,0.0471339613661387,-0.0181702501478268,"State",2016,"CA"
6,2016,-0.0983389712371737,0.0540641205115442,-0.0202695171658673,"State",2016,"CA"
7,2016,-0.0851899744336637,0.0609999297389636,-0.0119261043899068,"State",2016,"CA"
8,2016,-0.0856503006145564,0.0694466635967863,-0.0157478535721789,"State",2016,"CA"
9,2016,-0.0887438504560739,0.0728088478842281,-0.01100296706315,"State",2016,"CA"
10,2016,-0.0827211566177468,0.0751196524625388,-0.0108722281722502,"State",2016,"CA"
3,2014,-0.0472527224837881,0.0373692296857301,-0.00554611257257168,"State",2014,"CT"
4,2014,-0.0619786181763084,0.0477311917519275,-0.00402018787191364,"State",2014,"CT"
5,2014,-0.0585533623641022,0.0436069133855399,-0.00465031492558624,"State",2014,"CT"
6,2014,-0.0531397436868663,0.0480233356880487,-0.00513705345534659,"State",2014,"CT"
7,2014,-0.0654451212531262,0.050433134436431,-0.00524809733438308,"State",2014,"CT"
8,2014,-0.0661472079051443,0.0555406926577319,-0.00342966773261872,"State",2014,"CT"
9,2014,-0.061413024170509,0.0539512524386452,-0.00189808082474898,"State",2014,"CT"
10,2014,-0.074253703442307,0.0493676884691174,-0.0035393888092366,"State",2014,"CT"
3,2016,-0.06846084305874,0.0402810520050755,-0.00896303320590161,"State",2016,"RI"
4,2016,-0.0844406805020421,0.060547210506696,-0.0152572166287845,"State",2016,"RI"
5,2016,-0.115866928151834,0.0665672917768911,-0.0175642199917842,"State",2016,"RI"
6,2016,-0.105832132537481,0.0493381382413686,-0.0232323208132791,"State",2016,"RI"
7,2016,-0.101767922030242,0.0562097973458195,-0.0244218492141784,"State",2016,"RI"
8,2016,-0.106983453249603,0.0636278342420897,-0.0199901856672999,"State",2016,"RI"
9,2016,-0.0871315805209906,0.0724118071741979,-0.0148023761403641,"State",2016,"RI"
10,2016,-0.0885703169453018,0.0742130780783257,-0.00981028524726972,"State",2016,"RI"
3,2014,-0.0619286303633085,0.0463382467852372,-0.00189264971606526,"State",2014,"VT"
4,2014,-0.0572006469989272,0.0410698997602261,-0.00291575722661027,"State",2014,"VT"
5,2014,-0.0470855659588501,0.0368174350342972,-0.00252319896993947,"State",2014,"VT"
6,2014,-0.0407335784052141,0.0410044337473765,-0.00357310784872592,"State",2014,"VT"
7,2014,-0.048757378507934,0.0483788125465271,-0.00347753421148676,"State",2014,"VT"
8,2014,-0.0525052843930575,0.056202536224698,-0.00281348553159302,"State",2014,"VT"
9,2014,-0.0607594615407373,0.0470448307961406,-0.00175283887323711,"State",2014,"VT"
10,2014,-0.051466817799948,0.0532092979174885,-0.00108570580326219,"State",2014,"VT"
3,2015,-0.034459349424045,0.0170360726159628,-0.00345360297155378,"State Pooled",2015,"All"
4,2015,-0.0358981926864303,0.0154941307812807,-0.00382125095168769,"State Pooled",2015,"All"
5,2015,-0.0446633069184313,0.0194488177330771,-0.00511980283043858,"State Pooled",2015,"All"
6,2015,-0.0523900203029994,0.0203674506038956,-0.0115633699157201,"State Pooled",2015,"All"
7,2015,-0.0409751782535435,0.0312851529405334,-0.00237212384956737,"State Pooled",2015,"All"
8,2015,-0.0366792701552798,0.034871612639407,0.00107245717007154,"State Pooled",2015,"All"
9,2015,-0.042520916989132,0.0321068337677365,-0.00111930218945161,"State Pooled",2015,"All"
10,2015,-0.0401586838188814,0.037882613084515,-0.00243176529680967,"State Pooled",2015,"All"
