"county_id","actual_treatment_effect","seed"
"CA",2.70247911133626,1
"CT",-1.54827605079129,1
"MA",-9.82634383895931,1
"RI",-1.65464900108023,1
"VT",-2.0370131570623,1
"All",-2.07578679229956,1
"CA",2.49760957402251,2
"CT",-1.54827605079129,2
"MA",-8.77063223285477,2
"RI",-1.65464900108023,2
"VT",-0.95118745072951,2
"All",-2.01384290834638,2
"CA",2.47108949998132,3
"CT",-1.54827605079129,3
"MA",-10.8292364981621,3
"RI",-1.65464900108023,3
"VT",-0.855368098826893,3
"All",-1.75651232560118,3
"CA",2.70247911133626,4
"CT",-1.54827605079128,4
"MA",-9.17160259986447,4
"RI",-1.65464900108023,4
"VT",-0.603904589848262,4
"All",-1.67616670081201,4
"CA",2.47108949998133,5
"CT",-1.54827605079129,5
"MA",-9.22736312265509,5
"RI",-1.65464900108023,5
"VT",0.204154618691362,5
"All",-1.56014624932195,5
"CA",2.73573483972336,6
"CT",-1.54827605079129,6
"MA",-10.2450610825667,6
"RI",-1.65464900108023,6
"VT",-0.603904589848262,6
"All",-3.20695861574081,6
"CA",2.70247911133624,7
"CT",-1.54827605079129,7
"MA",-9.24649511818106,7
"RI",-1.65464900108023,7
"VT",-0.603904589848262,7
"All",-2.53136794944954,7
"CA",2.6188887150579,8
"CT",-1.54827605079129,8
"MA",-10.8292364981621,8
"RI",-1.65464900108023,8
"VT",-0.919271254367614,8
"All",-2.24794529787126,8
"CA",2.38787518663319,9
"CT",-1.54827605079129,9
"MA",-9.0968096746992,9
"RI",-1.65464900108023,9
"VT",0.204154618691365,9
"All",-1.56618667007488,9
"CA",2.73573483972335,10
"CT",-1.54827605079129,10
"MA",-8.77063223285479,10
"RI",-1.65464900108023,10
"VT",-1.98654489899691,10
"All",-2.46245153256006,10
"CA",2.7931520624701,11
"CT",-1.54827605079129,11
"MA",-8.48963753401619,11
"RI",-1.65464900108023,11
"VT",-1.20089904564933,11
"All",-2.01201898997043,11
"CA",2.50419552211228,12
"CT",-1.54827605079129,12
"MA",-8.94326659854644,12
"RI",-1.65464900108023,12
"VT",-0.8553680988269,12
"All",-2.63009869821441,12
"CA",2.07058337260368,13
"CT",-1.54827605079128,13
"MA",-9.8263438389593,13
"RI",-1.65464900108023,13
"VT",-0.65580638883196,13
"All",-2.53906676516986,13
"CA",2.47108949998132,14
"CT",-1.54827605079129,14
"MA",-8.77063223285479,14
"RI",-1.65464900108023,14
"VT",-1.79151543303164,14
"All",-1.91589950907304,14
"CA",2.73573483972335,15
"CT",-1.54827605079129,15
"MA",-9.22891021172255,15
"RI",-1.65464900108023,15
"VT",-1.00272729497701,15
"All",-2.37620605055509,15
"CA",2.41435219996709,16
"CT",-1.54827605079129,16
"MA",-10.1417539551162,16
"RI",-1.65464900108023,16
"VT",-0.855368098826893,16
"All",-2.83489756767527,16
"CA",2.6188887150579,17
"CT",-1.54827605079129,17
"MA",-10.8292364981621,17
"RI",-1.65464900108023,17
"VT",-2.03701315706231,17
"All",-1.58122622550408,17
"CA",2.50419552211226,18
"CT",-1.54827605079128,18
"MA",-10.004024010976,18
"RI",-1.65464900108023,18
"VT",0.204154618691362,18
"All",-2.11392366321252,18
"CA",2.38787518663319,19
"CT",-1.54827605079129,19
"MA",-9.8263438389593,19
"RI",-1.65464900108023,19
"VT",-1.98654489899691,19
"All",-2.29057147239824,19
"CA",3.02853699356151,20
"CT",-1.54827605079128,20
"MA",-9.2273631226551,20
"RI",-1.65464900108023,20
"VT",-0.951187450729503,20
"All",-2.64409416954253,20
"CA",2.88041469246669,21
"CT",-1.54827605079128,21
"MA",-9.54850618254218,21
"RI",-1.65464900108023,21
"VT",-0.655806388831954,21
"All",-2.18929031540035,21
"CA",3.08341732538167,22
"CT",-1.54827605079129,22
"MA",-8.4896375340162,22
"RI",-1.65464900108023,22
"VT",-0.0638851391671582,22
"All",-1.76096624146614,22
"CA",2.47108949998132,23
"CT",-1.54827605079129,23
"MA",-9.82634383895932,23
"RI",-1.65464900108023,23
"VT",-1.00350500927423,23
"All",-2.39415605782946,23
"CA",2.50419552211226,24
"CT",-1.54827605079128,24
