"r_sq","mape","att","cf","intercept","att2","intercept2","sample_size","county_id","iterations","ban_year","donor_number","chosen_donor"
0.110011147636835,0.0982391660098977,-0.0578753966804158,0.641021155048958,-0.166811369709569,-0.0378013705026524,-0.17015472186485,6,"MA",60000,2015,"donor_1","MI"
0.110011147636835,0.0982391660098977,-0.0578753966804158,0.641021155048958,-0.166811369709569,-0.0378013705026524,-0.17015472186485,6,"MA",60000,2015,"donor_2","CO"
0.110011147636835,0.0982391660098977,-0.0578753966804158,0.641021155048958,-0.166811369709569,-0.0378013705026524,-0.17015472186485,6,"MA",60000,2015,"donor_3","AL"
0.110011147636835,0.0982391660098977,-0.0578753966804158,0.641021155048958,-0.166811369709569,-0.0378013705026524,-0.17015472186485,6,"MA",60000,2015,"donor_4","MN"
0.110011147636835,0.0982391660098977,-0.0578753966804158,0.641021155048958,-0.166811369709569,-0.0378013705026524,-0.17015472186485,6,"MA",60000,2015,"donor_5","UT"
0.110011147636835,0.0982391660098977,-0.0578753966804158,0.641021155048958,-0.166811369709569,-0.0378013705026524,-0.17015472186485,6,"MA",60000,2015,"donor_6","TX"
-1.14171604130259,0.0984048815434254,0.078998399630047,0.559705928782681,-0.132037608075793,0.0945684170037421,-0.134028034370743,6,"MA",60000,2015,"donor_1","MO"
-1.14171604130259,0.0984048815434254,0.078998399630047,0.559705928782681,-0.132037608075793,0.0945684170037421,-0.134028034370743,6,"MA",60000,2015,"donor_2","CO"
-1.14171604130259,0.0984048815434254,0.078998399630047,0.559705928782681,-0.132037608075793,0.0945684170037421,-0.134028034370743,6,"MA",60000,2015,"donor_3","TX"
-1.14171604130259,0.0984048815434254,0.078998399630047,0.559705928782681,-0.132037608075793,0.0945684170037421,-0.134028034370743,6,"MA",60000,2015,"donor_4","WA"
-1.14171604130259,0.0984048815434254,0.078998399630047,0.559705928782681,-0.132037608075793,0.0945684170037421,-0.134028034370743,6,"MA",60000,2015,"donor_5","MN"
-1.14171604130259,0.0984048815434254,0.078998399630047,0.559705928782681,-0.132037608075793,0.0945684170037421,-0.134028034370743,6,"MA",60000,2015,"donor_6","MI"
-2.32479611939508,0.0991424724098599,0.0648600466030003,0.567137252774697,-0.176525648428374,0.0774517387545396,-0.178182617700813,6,"MA",60000,2015,"donor_1","AL"
-2.32479611939508,0.0991424724098599,0.0648600466030003,0.567137252774697,-0.176525648428374,0.0774517387545396,-0.178182617700813,6,"MA",60000,2015,"donor_2","MO"
-2.32479611939508,0.0991424724098599,0.0648600466030003,0.567137252774697,-0.176525648428374,0.0774517387545396,-0.178182617700813,6,"MA",60000,2015,"donor_3","MI"
-2.32479611939508,0.0991424724098599,0.0648600466030003,0.567137252774697,-0.176525648428374,0.0774517387545396,-0.178182617700813,6,"MA",60000,2015,"donor_4","IN"
-2.32479611939508,0.0991424724098599,0.0648600466030003,0.567137252774697,-0.176525648428374,0.0774517387545396,-0.178182617700813,6,"MA",60000,2015,"donor_5","CO"
-2.32479611939508,0.0991424724098599,0.0648600466030003,0.567137252774697,-0.176525648428374,0.0774517387545396,-0.178182617700813,6,"MA",60000,2015,"donor_6","MN"
0.421168752870516,0.0992347392524311,-0.00515664248975196,0.607052152342225,-0.134295902638768,0.0293829272541657,-0.139388108755385,6,"MA",60000,2015,"donor_1","CO"
0.421168752870516,0.0992347392524311,-0.00515664248975196,0.607052152342225,-0.134295902638768,0.0293829272541657,-0.139388108755385,6,"MA",60000,2015,"donor_2","TX"
0.421168752870516,0.0992347392524311,-0.00515664248975196,0.607052152342225,-0.134295902638768,0.0293829272541657,-0.139388108755385,6,"MA",60000,2015,"donor_3","MI"
0.421168752870516,0.0992347392524311,-0.00515664248975196,0.607052152342225,-0.134295902638768,0.0293829272541657,-0.139388108755385,6,"MA",60000,2015,"donor_4","MN"
0.421168752870516,0.0992347392524311,-0.00515664248975196,0.607052152342225,-0.134295902638768,0.0293829272541657,-0.139388108755385,6,"MA",60000,2015,"donor_5","NC"
0.421168752870516,0.0992347392524311,-0.00515664248975196,0.607052152342225,-0.134295902638768,0.0293829272541657,-0.139388108755385,6,"MA",60000,2015,"donor_6","WA"
0.0280361649589178,0.100032096147704,0.000394224708929278,0.603683814343967,-0.192620540532101,0.0310318540862173,-0.197105232467572,6,"MA",60000,2015,"donor_1","TX"
0.0280361649589178,0.100032096147704,0.000394224708929278,0.603683814343967,-0.192620540532101,0.0310318540862173,-0.197105232467572,6,"MA",60000,2015,"donor_2","MN"
0.0280361649589178,0.100032096147704,0.000394224708929278,0.603683814343967,-0.192620540532101,0.0310318540862173,-0.197105232467572,6,"MA",60000,2015,"donor_3","AL"
0.0280361649589178,0.100032096147704,0.000394224708929278,0.603683814343967,-0.192620540532101,0.0310318540862173,-0.197105232467572,6,"MA",60000,2015,"donor_4","NC"
0.0280361649589178,0.100032096147704,0.000394224708929278,0.603683814343967,-0.192620540532101,0.0310318540862173,-0.197105232467572,6,"MA",60000,2015,"donor_5","IN"
0.0280361649589178,0.100032096147704,0.000394224708929278,0.603683814343967,-0.192620540532101,0.0310318540862173,-0.197105232467572,6,"MA",60000,2015,"donor_6","CO"
-1.16664913382488,0.101397269661474,0.0754018255197706,0.561577809418419,-0.130439214693532,0.10038309389146,-0.13362649693336,6,"MA",60000,2015,"donor_1","CO"
-1.16664913382488,0.101397269661474,0.0754018255197706,0.561577809418419,-0.130439214693532,0.10038309389146,-0.13362649693336,6,"MA",60000,2015,"donor_2","MN"
