"year","treated_state","intercept2","intercept","ban_year","attempt","y","effect_size","location","tons_pc","y_first","y_last","ylab","label","xlab"
2010,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.381874075309842,NA,"Synthetic",0.25593225251598,NA,NA,NA,NA,NA
2010,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.381874075309842,NA,"Actual",0.228950774997899,0.23,NA,NA,NA,NA
2010,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.381874075309842,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2010,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.45445506163837,NA,"Synthetic",0.36504532311052,NA,NA,NA,NA,NA
2010,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.45445506163837,NA,"Actual",0.390932141876251,0.39,NA,NA,NA,NA
2010,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.45445506163837,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2010,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.554176666484597,NA,"Synthetic",0.228971805288734,NA,NA,NA,NA,NA
2010,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.554176666484597,NA,"Actual",0.217210714218027,0.22,NA,NA,NA,NA
2010,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.554176666484597,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2010,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.504485556297364,NA,"Synthetic",0.295253230655138,NA,NA,NA,NA,NA
2010,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.504485556297364,NA,"Actual",0.360279152058302,0.36,NA,NA,NA,NA
2010,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.504485556297364,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2010,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.413310209265418,NA,"Synthetic",0.237398362763847,NA,NA,NA,NA,NA
2010,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.413310209265418,NA,"Actual",0.234824973452818,0.23,NA,NA,NA,NA
2010,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.413310209265418,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2011,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.358789553453173,NA,"Synthetic",0.232847730659311,NA,NA,NA,NA,NA
2011,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.358789553453173,NA,"Actual",0.231932805624756,NA,NA,NA,NA,NA
2011,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.358789553453173,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2011,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.420035387936954,NA,"Synthetic",0.330625649409104,NA,NA,NA,NA,NA
2011,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.420035387936954,NA,"Actual",0.302027034902922,NA,NA,NA,NA,NA
2011,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.420035387936954,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2011,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.534944790707349,NA,"Synthetic",0.209739929511487,NA,NA,NA,NA,NA
2011,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.534944790707349,NA,"Actual",0.198963770754279,NA,NA,NA,NA,NA
2011,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.534944790707349,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2011,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.438397649721593,NA,"Synthetic",0.229165324079367,NA,NA,NA,NA,NA
2011,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.438397649721593,NA,"Actual",0.202422325062966,NA,NA,NA,NA,NA
2011,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.438397649721593,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2011,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.417326286975712,NA,"Synthetic",0.241414440474141,NA,NA,NA,NA,NA
2011,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.417326286975712,NA,"Actual",0.244957915214844,NA,NA,NA,NA,NA
2011,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.417326286975712,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2012,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.373081024541606,NA,"Synthetic",0.247139201747744,NA,NA,0.29,"Train",2012
2012,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.373081024541606,NA,"Actual",0.241283935748055,NA,NA,0.29,"Train",2012
2012,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.373081024541606,NA,"Our Exp.",NA,NA,NA,0.29,"Train",2012
2012,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.420690112500724,NA,"Synthetic",0.331280373972874,NA,NA,NA,NA,NA
2012,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.420690112500724,NA,"Actual",0.333968544626457,NA,NA,NA,NA,NA
2012,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.420690112500724,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2012,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.543399275517223,NA,"Synthetic",0.218194414321361,NA,NA,NA,NA,NA
2012,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.543399275517223,NA,"Actual",0.240664405359912,NA,NA,NA,NA,NA
2012,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.543399275517223,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2012,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.396612759410003,NA,"Synthetic",0.187380433767777,NA,NA,NA,NA,NA
2012,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.396612759410003,NA,"Actual",0.187047063020957,NA,NA,NA,NA,NA
2012,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.396612759410003,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2012,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.416101191053047,NA,"Synthetic",0.240189344551476,NA,NA,NA,NA,NA
2012,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.416101191053047,NA,"Actual",0.24170770826874,NA,NA,NA,NA,NA
2012,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.416101191053047,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2013,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.314522773199053,NA,"Synthetic",0.188580950405191,NA,NA,NA,NA,NA
2013,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.314522773199053,NA,"Actual",0.20204052490104,NA,NA,NA,NA,NA
2013,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.314522773199053,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2013,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.409548661156838,NA,"Synthetic",0.320138922628987,NA,NA,NA,NA,NA
2013,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.409548661156838,NA,"Actual",0.320162547715856,NA,NA,NA,NA,NA
2013,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.409548661156838,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2013,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.489077943305962,NA,"Synthetic",0.163873082110099,NA,NA,NA,NA,NA
2013,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.489077943305962,NA,"Actual",0.163940340899463,NA,NA,NA,NA,NA
2013,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.489077943305962,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
