"state_id","covered","year","threshold","distance_threshold","pc","pc_VT","distance_MA","distance_VT","pc2","effect_size"
"CA",0.14508901636646,2016,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0993837549263029
"CA",0.14508901636646,2017,26,Inf,0.900085261287784,0.736119388796318,1,1,0.736119388796318,0.130592485206193
"CA",0.14508901636646,2018,26,Inf,0.900085261287784,0.736119388796318,1,1,0.736119388796318,0.130592485206193
"CA",0.14508901636646,2019,13,Inf,0.99655190051337,0.870466537726223,1,1,0.870466537726223,0.144588735003612
"CA",0.14508901636646,2020,13,Inf,0.99655190051337,0.870466537726223,1,1,0.870466537726223,0.144588735003612
"CA",0.14508901636646,2021,13,Inf,0.99655190051337,0.870466537726223,1,1,0.870466537726223,0.144588735003612
"CA",0.14508901636646,2022,13,Inf,0.99655190051337,0.870466537726223,1,1,0.870466537726223,0.144588735003612
"MA",0.1036148597,2014,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2015,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2016,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2017,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2018,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2019,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2020,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2021,52,Inf,0.684984690193799,0.550698821311461,1,0.999269561943391,0.550296569934646,0.0709745925710785
"MA",0.1036148597,2022,26,Inf,0.900085261287784,0.736119388796318,1,1,0.736119388796318,0.0932622080663716
"CT",0.157012052655451,2014,104,20,0.456957698260011,0.40046454709477,0.96171869952146,0.885197539162427,0.354490231610087,0.0717478661805147
"CT",0.157012052655451,2015,104,20,0.456957698260011,0.40046454709477,0.96171869952146,0.885197539162427,0.354490231610087,0.0717478661805147
"CT",0.157012052655451,2016,104,20,0.456957698260011,0.40046454709477,0.96171869952146,0.885197539162427,0.354490231610087,0.0717478661805147
"CT",0.157012052655451,2017,104,20,0.456957698260011,0.40046454709477,0.96171869952146,0.885197539162427,0.354490231610087,0.0717478661805147
"CT",0.157012052655451,2018,104,20,0.456957698260011,0.40046454709477,0.96171869952146,0.885197539162427,0.354490231610087,0.0717478661805147
"CT",0.157012052655451,2019,104,20,0.456957698260011,0.40046454709477,0.96171869952146,0.885197539162427,0.354490231610087,0.0717478661805147
"CT",0.157012052655451,2020,52,20,0.655459885800228,0.550698821311461,0.956897132423181,0.88191691628827,0.485670606294589,0.102915102102801
"CT",0.157012052655451,2021,52,20,0.655459885800228,0.550698821311461,0.956897132423181,0.88191691628827,0.485670606294589,0.102915102102801
"CT",0.157012052655451,2022,52,20,0.655459885800228,0.550698821311461,0.956897132423181,0.88191691628827,0.485670606294589,0.102915102102801
"VT",0.1071215986952,2014,104,20,0.456957698260011,0.40046454709477,0.96171869952146,0.885197539162427,0.354490231610087,0.048950039173691
"VT",0.1071215986952,2015,52,20,0.655459885800228,0.550698821311461,0.956897132423181,0.88191691628827,0.485670606294589,0.0702139108474933
"VT",0.1071215986952,2016,26,20,0.861050738686758,0.736119388796318,0.956632416638866,0.875880248190754,0.644752432956945,0.092237131685808
"VT",0.1071215986952,2017,18,20,0.909666757407451,0.776350248503702,0.937100916289424,0.876251614037417,0.680278158309718,0.0974449573333645
"VT",0.1071215986952,2018,18,20,0.909666757407451,0.776350248503702,0.937100916289424,0.876251614037417,0.680278158309718,0.0974449573333645
"VT",0.1071215986952,2019,18,20,0.909666757407451,0.776350248503702,0.937100916289424,0.876251614037417,0.680278158309718,0.0974449573333645
"VT",0.214043911149803,2020,0,Inf,1,1,1,0.999875302073187,0.999875302073187,0.214043911149803
"VT",0.214043911149803,2021,0,Inf,1,1,1,0.999875302073187,0.999875302073187,0.214043911149803
"VT",0.214043911149803,2022,0,Inf,1,1,1,0.999875302073187,0.999875302073187,0.214043911149803
"RI",0.074697823419821,2016,104,15,0.441928535069109,0.40046454709477,0.930088140863871,0.722734675056066,0.289429614316014,0.0330110996767725
"RI",0.074697823419821,2017,104,15,0.441928535069109,0.40046454709477,0.930088140863871,0.722734675056066,0.289429614316014,0.0330110996767725
"RI",0.074697823419821,2018,52,15,0.632244443335632,0.550698821311461,0.923005218053494,0.729660615108644,0.401823240697726,0.0472272837864481
"RI",0.074697823419821,2019,52,15,0.632244443335632,0.550698821311461,0.923005218053494,0.729660615108644,0.401823240697726,0.0472272837864481
"RI",0.074697823419821,2020,52,15,0.632244443335632,0.550698821311461,0.923005218053494,0.729660615108644,0.401823240697726,0.0472272837864481
"RI",0.074697823419821,2021,52,15,0.632244443335632,0.550698821311461,0.923005218053494,0.729660615108644,0.401823240697726,0.0472272837864481
"RI",0.074697823419821,2022,30,15,0.782914831612926,0.700860881044421,0.882736796828934,0.725151720727517,0.508230473879966,0.0584820338445812
