"county_id","actual_treatment_effect","seed"
"CA",2.70247911133626,1
"CT",-1.54827605079129,1
"MA",-11.1933899421317,1
"RI",-1.65464900108023,1
"VT",-1.73027984720901,1
"All",-3.26376909618067,1
"CA",2.49760957402251,2
"CT",-1.54827605079129,2
"MA",-9.5346555435673,2
"RI",-1.65464900108023,2
"VT",-0.407277438273768,2
"All",-2.37634517746164,2
"CA",2.47108949998132,3
"CT",-1.54827605079129,3
"MA",-10.3088805220463,3
"RI",-1.65464900108023,3
"VT",-1.56892044846985,3
"All",-2.3172832230134,3
"CA",2.70247911133626,4
"CT",-1.54827605079128,4
"MA",-11.1933899421317,4
"RI",-1.65464900108023,4
"VT",-1.35032005339611,4
"All",-3.00484551091558,4
"CA",2.47108949998133,5
"CT",-1.54827605079129,5
"MA",-10.4679587476589,5
"RI",-1.65464900108023,5
"VT",-1.62547180141157,5
"All",-2.30879188326757,5
"CA",2.73573483972336,6
"CT",-1.54827605079129,6
"MA",-10.3088805220463,6
"RI",-1.65464900108023,6
"VT",-0.407277438273742,6
"All",-3.16536467591789,6
"CA",2.70247911133624,7
"CT",-1.54827605079129,7
"MA",-10.3088805220463,7
"RI",-1.65464900108023,7
"VT",-0.824616470476809,7
"All",-2.56830549056836,7
"CA",2.6188887150579,8
"CT",-1.54827605079129,8
"MA",-10.7397368485635,8
"RI",-1.65464900108023,8
"VT",-1.35032005339611,8
"All",-3.03661224506128,8
"CA",2.38787518663319,9
"CT",-1.54827605079129,9
"MA",-11.1933899421317,9
"RI",-1.65464900108023,9
"VT",-0.465171066500565,9
"All",-2.81530915330677,9
"CA",2.73573483972335,10
"CT",-1.54827605079129,10
"MA",-9.5346555435673,10
"RI",-1.65464900108023,10
"VT",-1.73027984720901,10
"All",-3.20317891728999,10
"CA",2.7931520624701,11
"CT",-1.54827605079129,11
"MA",-9.5346555435673,11
"RI",-1.65464900108023,11
"VT",-0.407277438273755,11
"All",-2.44562063648824,11
"CA",2.50419552211228,12
"CT",-1.54827605079129,12
"MA",-9.19872074297162,12
"RI",-1.65464900108023,12
"VT",-0.407277438273755,12
"All",-2.53950517680694,12
"CA",2.07058337260368,13
"CT",-1.54827605079128,13
"MA",-11.1933899421317,13
"RI",-1.65464900108023,13
"VT",-0.68770748550598,13
"All",-3.32683835585218,13
"CA",2.47108949998132,14
"CT",-1.54827605079129,14
"MA",-9.53465554356731,14
"RI",-1.65464900108023,14
"VT",-1.94720141098528,14
"All",-2.44489039128389,14
"CA",2.73573483972335,15
"CT",-1.54827605079129,15
"MA",-11.1933899421317,15
"RI",-1.65464900108023,15
"VT",-0.465171066500565,15
"All",-2.73635206933591,15
"CA",2.41435219996709,16
"CT",-1.54827605079129,16
"MA",-8.37761948292838,16
"RI",-1.65464900108023,16
"VT",-0.767140345001028,16
"All",-2.68643711491004,16
"CA",2.6188887150579,17
"CT",-1.54827605079129,17
"MA",-11.1933899421317,17
"RI",-1.65464900108023,17
"VT",-1.56892044846985,17
"All",-1.79751309240695,17
"CA",2.50419552211226,18
"CT",-1.54827605079128,18
"MA",-9.19872074297162,18
"RI",-1.65464900108023,18
"VT",-1.35032005339611,18
"All",-3.50056815721971,18
"CA",2.38787518663319,19
"CT",-1.54827605079129,19
"MA",-11.1933899421317,19
"RI",-1.65464900108023,19
"VT",-1.62547180141157,19
"All",-3.2121822038338,19
"CA",3.02853699356151,20
"CT",-1.54827605079128,20
"MA",-9.5346555435673,20
"RI",-1.65464900108023,20
"VT",-1.56892044846986,20
"All",-2.67966599273543,20
"CA",2.88041469246669,21
"CT",-1.54827605079128,21
"MA",-8.56737104095026,21
"RI",-1.65464900108023,21
"VT",-1.56892044846985,21
"All",-3.20317891728999,21
"CA",3.08341732538167,22
"CT",-1.54827605079129,22
"MA",-8.14508077157608,22
"RI",-1.65464900108023,22
"VT",-0.407277438273755,22
"All",-3.3334623227537,22
"CA",2.47108949998132,23
"CT",-1.54827605079129,23
"MA",-8.14508077157607,23
"RI",-1.65464900108023,23
"VT",-1.35032005339611,23
"All",-2.67966599273543,23
"CA",2.50419552211226,24
"CT",-1.54827605079128,24
