"sample_size","county_id","ban_year","att","rsq","mape","attempt"
5,"seattleM1",2015,0.134417952954663,0.644581824584764,0.000114805047834245,9
6,"boulderM2",2016,0.438299020792073,0.0261658903225425,0.444846542343985,9
6,"seattleM1",2015,0.0722601196641237,0.343915208667362,2.96903835674567e-05,9
7,"boulderM2",2016,0.297484522698481,0.196482689358152,0.47159213809889,9
7,"seattleM1",2015,0.150919766763472,0.727121571627836,5.55168661892242e-06,9
8,"boulderM2",2016,0.533307752688339,0.118191234216948,0.477498914667339,9
8,"seattleM1",2015,-0.0570850158338076,0.601517634771731,2.02816054461308e-05,9
9,"boulderM2",2016,0.412698009559756,0.0962326087565024,0.490684829838335,9
9,"seattleM1",2015,0.0247853482345432,0.0298028474200144,5.3291317601889e-06,9
10,"boulderM2",2016,0.463017642103428,0.151563054709787,0.472872288175808,9
10,"seattleM1",2015,0.104427035194412,0.991043191480511,9.80052455752181e-06,9
3,"boulderM2",2016,0.414588236172806,0.133704767698146,0.430108293796711,10
3,"seattleM1",2015,0.0462539530327186,0.784317170855688,8.36690816962567e-05,10
4,"boulderM2",2016,0.42134944999598,0.0715874135795063,0.457162456275187,10
4,"seattleM1",2015,0.170905340172822,0.745796353662856,5.95221703706026e-05,10
5,"boulderM2",2016,0.288817406179067,0.163687762747961,0.399532450320842,10
5,"seattleM1",2015,0.0904893981557731,0.666769192960933,4.54750417358975e-05,10
6,"boulderM2",2016,0.565403459311955,0.00422219298653981,0.43741736190048,10
6,"seattleM1",2015,0.243566704798709,0.425967421430771,2.29378717763931e-06,10
7,"boulderM2",2016,0.510981092315016,0.00896951362727572,0.448102834636416,10
7,"seattleM1",2015,0.0993163890844186,0.737700787003184,5.5497358945606e-07,10
8,"boulderM2",2016,0.6012154886648,0.0506866463725223,0.482772364261156,10
8,"seattleM1",2015,0.153028238443974,0.791192782471004,2.91765840118245e-05,10
9,"boulderM2",2016,0.376068689350221,0.058201602503711,0.485029507148445,10
9,"seattleM1",2015,0.0903033582351127,0.295168859007309,1.72852180354694e-06,10
10,"boulderM2",2016,0.560036527154822,0.0219308037687732,0.50638756757987,10
10,"seattleM1",2015,0.0389641624603196,0.885733318881249,2.52578841514171e-05,10
3,"boulderM2",2016,0.385420003996862,0.0651688320538185,0.406064394298817,11
3,"seattleM1",2015,0.156004424782228,0.19979780914781,7.61594652475939e-05,11
4,"boulderM2",2016,0.34030402722856,0.128856458923851,0.374300774364823,11
4,"seattleM1",2015,0.147995685549502,0.543175967397887,6.1839557653672e-06,11
5,"boulderM2",2016,0.463800504462515,0.0187238313661211,0.475926268381736,11
5,"seattleM1",2015,0.179852661258389,0.476299443308291,3.67827662381534e-05,11
6,"boulderM2",2016,0.34377996346246,0.0269122222329985,0.49414983570313,11
6,"seattleM1",2015,0.152357895904954,0.0341743313921546,0.000370696447137656,11
7,"boulderM2",2016,0.493189233676089,0.0211094699210091,0.497760490690997,11
7,"seattleM1",2015,0.0836680949480403,0.617551220992985,4.18296235588114e-05,11
8,"boulderM2",2016,0.48679040726646,0.0723659683924096,0.47747999549879,11
8,"seattleM1",2015,0.0739104406309785,0.727761479498699,9.32645940171621e-06,11
9,"boulderM2",2016,0.596140915041956,0.0392991974828539,0.498204358130333,11
9,"seattleM1",2015,0.0485849851104342,0.427685664901258,4.38760935785452e-05,11
10,"boulderM2",2016,0.381576538881747,0.00496812136181346,0.467446154009762,11
10,"seattleM1",2015,0.0025362872782743,0.254425498491921,7.72693487407355e-06,11
3,"boulderM2",2016,0.538915958955686,0.097795745801324,0.398739685844084,12
3,"seattleM1",2015,0.16916147759971,0.0375594726181468,8.6455617598819e-05,12
4,"boulderM2",2016,0.379426467645572,0.00396464858408907,0.393111884147468,12
4,"seattleM1",2015,0.185484883294638,0.569900118917769,0.000127990847511019,12
5,"boulderM2",2016,0.377388365259041,0.0220239417736092,0.431181353948712,12
5,"seattleM1",2015,0.122467257898396,0.210611101093199,1.06662726906108e-05,12
6,"boulderM2",2016,0.501044245762512,0.0301405449565931,0.45164442824153,12
6,"seattleM1",2015,0.165164086783495,0.241224601270814,9.50416530130881e-05,12
7,"boulderM2",2016,0.55648555797902,0.0907447547148227,0.466671213491137,12
7,"seattleM1",2015,0.276739020776877,0.565831350618221,4.54334284652828e-05,12
8,"boulderM2",2016,0.436115656900835,0.0692622658105712,0.46937628539854,12
8,"seattleM1",2015,0.12237281612976,0.882752306025153,7.67807932212943e-05,12
9,"boulderM2",2016,0.426804333680712,0.0932488795797095,0.426475509247425,12
9,"seattleM1",2015,0.192051326706482,0.1416133195337,2.09792925485222e-05,12
10,"boulderM2",2016,0.502675729380387,0.0327020782095228,0.48568956971077,12
10,"seattleM1",2015,0.100933586141855,0.800704002166394,1.25632796309532e-05,12
3,"boulderM2",2016,0.390931161045876,0.00782477003998994,0.406769798722338,13
3,"seattleM1",2015,0.0256591088301735,0.552722736874848,3.9887769118206e-06,13
4,"boulderM2",2016,0.444888761815432,0.153339526836825,0.378134429398968,13
4,"seattleM1",2015,0.148819617388162,0.477484232938199,0.000141975014178039,13
5,"boulderM2",2016,0.483362975484805,0.0075519318157079,0.478976174918415,13
5,"seattleM1",2015,0.179662650126331,0.624619090902258,1.00680354884545e-05,13
6,"boulderM2",2016,0.518098205911095,0.00665711894473231,0.437926680650615,13
6,"seattleM1",2015,0.0988934773105236,0.276915270253797,2.24070093437067e-05,13
7,"boulderM2",2016,0.502643082560572,0.0493980947626131,0.485368384142284,13
7,"seattleM1",2015,0.0290027568821785,0.433793192670617,5.72346458769785e-07,13
8,"boulderM2",2016,0.51493535318304,0.0197907319067788,0.448593137020419,13
8,"seattleM1",2015,0.0616137374670314,0.163796079127197,7.75041748032772e-05,13
9,"boulderM2",2016,0.475817878431456,0.0172683318731552,0.49018613217904,13
9,"seattleM1",2015,0.127552280556113,0.4616798394845,6.74611855404494e-06,13
10,"boulderM2",2016,0.50038529078009,0.0267669666511523,0.515737948449487,13
10,"seattleM1",2015,0.0701849840036934,0.49050672417882,6.15319788045218e-05,13
3,"boulderM2",2016,0.555440344865138,0.104277292538557,0.431794198361704,14
3,"seattleM1",2015,0.147754036294301,0.457786553109974,0.000101407943014484,14
4,"boulderM2",2016,0.516523194187046,0.136785832913514,0.445809525092722,14
4,"seattleM1",2015,0.0379878814329655,0.117082317346204,2.30807002080268e-05,14
5,"boulderM2",2016,0.488783806161204,0.0477693791918303,0.421057700724858,14
5,"seattleM1",2015,0.16672255080201,0.771055817424487,4.36491620819166e-06,14
6,"boulderM2",2016,0.491694227910337,0.0813109296203275,0.45931910990508,14
6,"seattleM1",2015,0.172919455128338,0.0960441079723565,1.98109960350776e-05,14
7,"boulderM2",2016,0.613991242807299,0.0170740747293712,0.485106565133101,14
7,"seattleM1",2015,0.131740796638108,0.264303943416899,1.64579872788942e-05,14
8,"boulderM2",2016,0.362803663116586,0.0472601145414164,0.468656946103185,14
8,"seattleM1",2015,0.014318383640043,0.158941782570028,1.12891945937643e-05,14
9,"boulderM2",2016,0.401452245155521,0.0985949336745578,0.482945949721381,14
9,"seattleM1",2015,-0.0102841023728073,0.244181610459581,4.21327881094638e-05,14
10,"boulderM2",2016,0.532214581963577,0.0668825576066424,0.491519924575,14
10,"seattleM1",2015,0.0923832823917325,0.374722982576779,3.69221398986951e-05,14
3,"boulderM2",2016,0.414952603230792,0.124824531027056,0.433336628907209,15
3,"seattleM1",2015,0.153005474635624,0.530597301687415,7.61020422566348e-05,15
4,"boulderM2",2016,0.228722369696666,0.0386850839254838,0.43564608392507,15
4,"seattleM1",2015,0.131038733229683,0.484682365773333,0.000218409076284515,15
5,"boulderM2",2016,0.466705450338343,0.216941131357877,0.424446300733812,15
5,"seattleM1",2015,0.0848603454176802,0.924508689141124,5.78681597531713e-05,15
6,"boulderM2",2016,0.48332375303264,0.0157032923635999,0.476342764135967,15
6,"seattleM1",2015,0.0940728319357108,0.28637700922878,5.24866170648058e-05,15
7,"boulderM2",2016,0.432787084584158,0.127547726415919,0.459586814683972,15
7,"seattleM1",2015,0.0601438142371363,0.334792876513612,9.1587714418661e-05,15
8,"boulderM2",2016,0.389833512119235,0.0616406585522331,0.485755572862843,15
8,"seattleM1",2015,0.155775936453315,0.813800051964852,4.27404096864076e-05,15
9,"boulderM2",2016,0.489334472873222,0.0763699600773566,0.516827776532445,15
9,"seattleM1",2015,0.0909936780044941,0.317748469264653,2.77063086180355e-05,15
10,"boulderM2",2016,0.489458870469675,0.04382047865836,0.481689135435427,15
10,"seattleM1",2015,0.119644542658571,0.849873608418231,7.54804665873936e-06,15
3,"boulderM2",2016,0.393150542225931,0.0784063682001749,0.407856933963313,16
3,"seattleM1",2015,0.083712393692013,0.153309728146164,0.000174653439755521,16
4,"boulderM2",2016,0.487485780902374,0.000735500355272034,0.423101322391289,16
4,"seattleM1",2015,0.0912441037397071,0.865637193238386,9.59558558806193e-05,16
5,"boulderM2",2016,0.392792899346029,0.022574870847527,0.418773410526306,16
5,"seattleM1",2015,0.111670658998167,0.458753358541888,0.000135469017006459,16
6,"boulderM2",2016,0.558389786508529,0.0720911980523538,0.490934661481611,16
6,"seattleM1",2015,-0.145703226666879,0.955952601593037,3.53438077396111e-05,16
7,"boulderM2",2016,0.50047465196407,0.0235630912871879,0.461695543154724,16
7,"seattleM1",2015,0.107580835418319,0.169890218649047,1.93913203134147e-05,16
8,"boulderM2",2016,0.530708851608353,0.111768538435773,0.485850008371863,16
8,"seattleM1",2015,0.0601532375199824,0.814185923271066,3.14742157320827e-05,16
9,"boulderM2",2016,0.499370725919445,0.279646182201754,0.509346517495723,16
9,"seattleM1",2015,0.0949621219612597,0.227326641707713,6.68519168157939e-08,16
10,"boulderM2",2016,0.468354946612536,0.065916592174277,0.499729125627945,16
10,"seattleM1",2015,0.0367144536487672,0.96348368260774,1.8960772283514e-05,16
3,"boulderM2",2016,0.389183859939628,0.011316512464835,0.404182220479821,17
3,"seattleM1",2015,0.08704321487169,0.121701213735316,9.78342350882238e-05,17
4,"boulderM2",2016,0.54350078012191,0.230499419139247,0.452729630098922,17
4,"seattleM1",2015,0.0208012323614295,0.826116266985086,0.000159611900793834,17
5,"boulderM2",2016,0.393319821166666,0.0929955447805243,0.455005365074019,17
5,"seattleM1",2015,0.132444450125196,0.0372762471627165,3.83860219446707e-05,17
6,"boulderM2",2016,0.444249494332958,0.0809496285679164,0.457665305469775,17
6,"seattleM1",2015,0.110155113162758,0.778062852622508,1.80719231985755e-05,17
7,"boulderM2",2016,0.44443193633424,0.0150432143327079,0.452690954129193,17
7,"seattleM1",2015,0.209264281413285,0.272146778935671,3.29507396886344e-06,17
8,"boulderM2",2016,0.53470479056694,0.058629145366909,0.482417042876009,17
8,"seattleM1",2015,0.0697460974164425,0.842255648580787,1.83029352348461e-06,17
9,"boulderM2",2016,0.480866667330156,0.0640102951547139,0.499621265787065,17
9,"seattleM1",2015,0.169910012220136,0.618624351610378,2.22341712677902e-05,17
10,"boulderM2",2016,0.594412789183211,0.213196122622511,0.5185233354514,17
10,"seattleM1",2015,0.0465721129234068,0.308645562118172,1.64314530401242e-05,17
3,"boulderM2",2016,0.39810368473587,0.126653382975813,0.436922291110544,18
3,"seattleM1",2015,0.205544094059023,0.907676206871276,0.000257085565421838,18
4,"boulderM2",2016,0.376984839250138,0.0025570773647694,0.465462808135531,18
4,"seattleM1",2015,0.0731295842913696,0.0655548387865911,8.03004911988658e-05,18
5,"boulderM2",2016,0.467930409144376,0.151855879616841,0.389002421698273,18
5,"seattleM1",2015,0.113982811254377,0.330344770321612,4.12529066572264e-06,18
6,"boulderM2",2016,0.436414284271807,0.00951128705883153,0.453551352398983,18
6,"seattleM1",2015,0.133187886767159,0.905893426220691,8.70694326776453e-06,18
7,"boulderM2",2016,0.409895568979819,0.0683840047518602,0.488957659963406,18
7,"seattleM1",2015,0.0913000251246494,0.475131738121964,9.01937592658113e-06,18
8,"boulderM2",2016,0.362093079065614,0.138729064757589,0.481232317954429,18
8,"seattleM1",2015,0.153765984107781,0.0924564580838247,1.70775151952498e-05,18
9,"boulderM2",2016,0.36253555172851,0.0219934972164569,0.504600267551011,18
9,"seattleM1",2015,0.124998246748929,0.46943455712107,9.0605959272875e-05,18
10,"boulderM2",2016,0.482271960360686,0.0031509983321506,0.47327982775896,18
10,"seattleM1",2015,0.0205193722037602,0.781416398970494,6.61144560347453e-05,18
3,"boulderM2",2016,0.393437935473657,0.0118047225795432,0.409664109429334,19
3,"seattleM1",2015,0.150114904961445,0.559024842559899,1.47822090170162e-05,19
4,"boulderM2",2016,0.482490270179966,0.150966208220381,0.402873591569178,19
4,"seattleM1",2015,0.157733425878908,0.00536059109112708,0.000140640144209092,19
5,"boulderM2",2016,0.574941605290645,0.0347792659881524,0.461559921177693,19
5,"seattleM1",2015,0.172986907244313,0.483314541459893,0.000133614697620047,19
6,"boulderM2",2016,0.612533455096446,0.0954157798981228,0.476562120513745,19
6,"seattleM1",2015,0.1105821796258,0.653207621443437,4.44118228792037e-06,19
7,"boulderM2",2016,0.564629724114298,0.0567011966922385,0.468615826689979,19
7,"seattleM1",2015,0.112792667636594,0.526158753646868,3.29812732900315e-05,19
8,"boulderM2",2016,0.503215302880727,0.114249209237788,0.435841724234567,19
8,"seattleM1",2015,-0.0349074316657078,0.368723912846412,1.13134372249841e-05,19
9,"boulderM2",2016,0.489933037287551,0.00747325278368316,0.496832392488938,19
9,"seattleM1",2015,0.0754738519236106,0.870897319683488,5.2202924512833e-06,19
10,"boulderM2",2016,0.436674277965722,0.0372673228896556,0.451540870842297,19
10,"seattleM1",2015,0.104610024179786,0.173718424399839,7.22146964701559e-05,19
3,"boulderM2",2016,0.324099818865581,0.0289114993283909,0.411967106905767,20
3,"seattleM1",2015,0.0421298066418757,0.869314148194707,6.3826082084137e-05,20
4,"boulderM2",2016,0.376653722072832,0.0856840513212354,0.440482610776544,20
4,"seattleM1",2015,0.124100945111628,0.768653325161003,7.93115448956537e-05,20
5,"boulderM2",2016,0.547181073664549,0.135270666636082,0.459331417214419,20
5,"seattleM1",2015,-0.109860822011233,0.657978702340025,3.48029958932532e-05,20
6,"boulderM2",2016,0.500891756218848,0.125866326845932,0.501894881759104,20
6,"seattleM1",2015,0.0961544426302687,0.697647588636617,0.000171211367520767,20
7,"boulderM2",2016,0.455909751628461,0.0190757680968614,0.485189469895305,20
7,"seattleM1",2015,0.123109006498223,0.452785793244543,5.30391234894025e-06,20
8,"boulderM2",2016,0.510706026935082,0.144624019247663,0.484149122841317,20
8,"seattleM1",2015,0.191084316845378,0.199957050417583,7.08375673059297e-05,20
9,"boulderM2",2016,0.514157577226184,0.00772102373343531,0.504982471965663,20
9,"seattleM1",2015,0.0710230329985194,0.310916915004262,6.62242799556361e-05,20
10,"boulderM2",2016,0.541648711242444,0.128227236417203,0.515450666115053,20
10,"seattleM1",2015,-0.0104822893932807,0.989362541697818,2.29570944808253e-05,20
3,"boulderM2",2016,0.222947692337864,0.113104539610511,0.335263335351529,21
3,"seattleM1",2015,0.120405698919644,0.90677663451809,7.43210929076857e-05,21
4,"boulderM2",2016,0.481261485780182,0.0584285355991246,0.439167938690703,21
4,"seattleM1",2015,0.0471922118087291,0.925249710108603,9.06348069877596e-06,21
5,"boulderM2",2016,0.567971700605786,0.149116807121718,0.475520727324844,21
5,"seattleM1",2015,0.128070512120298,0.210373589250885,9.72591511319198e-06,21
6,"boulderM2",2016,0.368637886155787,0.109078354810517,0.40796436487155,21
6,"seattleM1",2015,0.158975926904401,0.172850424736182,7.84802436539526e-05,21
7,"boulderM2",2016,0.498405974070093,0.0494078197531954,0.488020945656582,21
7,"seattleM1",2015,0.137211449312352,0.986109362143218,2.21021580307003e-05,21
8,"boulderM2",2016,0.479306579785035,0.0759112618830842,0.500496545883526,21
8,"seattleM1",2015,0.0712651315522324,0.622803825817673,1.67734510076708e-05,21
9,"boulderM2",2016,0.362358825777981,0.0773783883306667,0.497676346300538,21
9,"seattleM1",2015,0.0481972952334037,0.374805325249447,2.06070009312202e-05,21
10,"boulderM2",2016,0.552383815635948,0.0561056147953696,0.516712185305467,21
10,"seattleM1",2015,0.0463279208030696,0.91527764175524,5.06704570123294e-06,21
3,"boulderM2",2016,0.489866533619054,0.224515746027965,0.404571937037218,22
3,"seattleM1",2015,0.112339047027757,0.264017323050363,5.74203448719294e-05,22
4,"boulderM2",2016,0.354634631088984,0.0259288879442366,0.417741180513349,22
4,"seattleM1",2015,0.178564427582964,0.0859109949782747,0.000317752138615615,22
5,"boulderM2",2016,0.503516067467184,0.0145917738267504,0.470189893080752,22
5,"seattleM1",2015,-0.000446133026878627,0.050082710633407,8.64695849936329e-05,22
6,"boulderM2",2016,0.376998607107484,0.00512862903998312,0.442350284811644,22
6,"seattleM1",2015,0.152321386762763,0.66992780850717,6.89877855029386e-05,22
7,"boulderM2",2016,0.415339560385981,0.0229976524933867,0.505605612888247,22
7,"seattleM1",2015,0.163464375970098,0.342009476549072,1.96137779646578e-05,22
8,"boulderM2",2016,0.50393281255339,0.0575251776393499,0.47764621132305,22
