"year","county_id","intercept2","intercept","ban_year","attempt","tons_pc","y","y_0","effect_size","treated_state","y_0_effect"
2006,"CA",-0.102812951697902,-0.0965177930333789,2014,20,1.14985631906453,1.19789696938709,1.09508401768919,NA,"CA",NA
2006,"CA",-0.0860115035082612,-0.0798060812865157,2014,18,1.14985631906453,1.18202965406663,1.09601815055837,NA,"CA",NA
2006,"CA",-0.0852127093147829,-0.0784224695302056,2014,41,1.14985631906453,1.17651611642432,1.09130340710954,NA,"CA",NA
2006,"CA",-0.0818706419405279,-0.0751346454994132,2014,38,1.14985631906453,1.17721543671972,1.09534479477919,NA,"CA",NA
2006,"CA",-0.0721302834705145,-0.0656147754863456,2014,27,1.14985631906453,1.15687915780769,1.08474887433718,NA,"CA",NA
2006,"CA",-0.0708104954810533,-0.0643150188566293,2014,26,1.14985631906453,1.15618302561744,1.08537253013639,NA,"CA",NA
2006,"CA",-0.0687300805187004,-0.0620023158130707,2014,36,1.14985631906453,1.1514425785312,1.0827124980125,NA,"CA",NA
2006,"CA",-0.0687300805187004,-0.0620023158130707,2014,37,1.14985631906453,1.1514425785312,1.0827124980125,NA,"CA",NA
2006,"CA",-0.0687241195580733,-0.061830672437105,2014,50,1.14985631906453,1.15283909334533,1.08411497378726,NA,"CA",NA
2006,"CA",-0.0622837997618163,-0.0567176315623302,2014,4,1.14985631906453,1.14408541274116,1.08180161297935,NA,"CA",NA
2006,"CA",-0.0617077223732072,-0.056663348776793,2014,3,1.14985631906453,1.15750595603561,1.0957982336624,NA,"CA",NA
2006,"CA",-0.0587230772720605,-0.0523438800367916,2014,24,1.14985631906453,1.14784493657786,1.0891218593058,NA,"CA",NA
2006,"CA",-0.0581429381940831,-0.0520461957752276,2014,13,1.14985631906453,1.13927119539425,1.08112825720016,NA,"CA",NA
2006,"CA",-0.0581429381940831,-0.0520461957752276,2014,14,1.14985631906453,1.13927119539425,1.08112825720016,NA,"CA",NA
2006,"CA",-0.057566860805474,-0.0519919129896904,2014,5,1.14985631906453,1.15269173868869,1.09512487788322,NA,"CA",NA
2006,"CA",-0.0567680666119957,-0.0506083012333802,2014,17,1.14985631906453,1.14717820104638,1.09041013443439,NA,"CA",NA
2006,"CA",-0.0554804848824939,-0.0495075665701661,2014,12,1.14985631906453,1.14934780641658,1.09386732153409,NA,"CA",NA
2006,"CA",-0.0553228743202465,-0.0487314203635167,2014,31,1.14985631906453,1.14240835730136,1.08708548298112,NA,"CA",NA
2006,"CA",-0.0552115530568786,-0.0483391300260354,2014,47,1.14985631906453,1.15080754563667,1.09559599257979,NA,"CA",NA
2006,"CA",-0.0533678636601816,-0.0469958415601053,2014,22,1.14985631906453,1.14174162176989,1.08837375810971,NA,"CA",NA
2006,"CA",-0.0515726319222544,-0.044958405206764,2014,32,1.14985631906453,1.13824521047805,1.08667257855579,NA,"CA",NA
2006,"CA",-0.048430148454126,-0.0416179509079121,2014,44,1.14985631906453,1.14097033733364,1.09254018887951,NA,"CA",NA
2006,"CA",-0.0447357319956291,-0.0387753003256736,2014,10,1.14985631906453,1.13023697416441,1.08550124216878,NA,"CA",NA
2006,"CA",-0.044211484806718,-0.0375386015571117,2014,35,1.14985631906453,1.13528120202091,1.09106971721419,NA,"CA",NA
2006,"CA",-0.0439961587267203,-0.0381757349361384,2014,6,1.14985631906453,1.14452429140815,1.10052813268143,NA,"CA",NA
2006,"CA",-0.0439961587267203,-0.0381757349361384,2014,7,1.14985631906453,1.14452429140815,1.10052813268143,NA,"CA",NA
2006,"CA",-0.0407703392187161,-0.0338822727047275,2014,48,1.14985631906453,1.12584302361817,1.08507268439946,NA,"CA",NA
2006,"CA",-0.039855297158987,-0.0335042991490357,2014,21,1.14985631906453,1.13971007406123,1.09985477690224,NA,"CA",NA
2006,"CA",-0.0381489515347232,-0.0313696757304158,2014,43,1.14985631906453,1.12991326124943,1.09176430971471,NA,"CA",NA
2006,"CA",-0.0371395838834555,-0.030353266953165,2014,42,1.14985631906453,1.12858931538339,1.09144973149993,NA,"CA",NA
2006,"CA",-0.033734806460724,-0.0287397200496646,2014,2,1.14985631906453,1.12900541794818,1.09527061148746,NA,"CA",NA
2006,"CA",-0.0326322421830485,-0.0259985237876698,2014,34,1.14985631906453,1.11577361059283,1.08314136840978,NA,"CA",NA
2006,"CA",-0.032232755935969,-0.0275111705725624,2014,1,1.14985631906453,1.12612332530609,1.09389056937012,NA,"CA",NA
2006,"CA",-0.0291916551873059,-0.0233522295339504,2014,9,1.14985631906453,1.11152251041805,1.08233085523074,NA,"CA",NA
2006,"CA",-0.0291751809982287,-0.0230343955071562,2014,16,1.14985631906453,1.11222478241927,1.08304960142104,NA,"CA",NA
2006,"CA",-0.0289873600877971,-0.0224461555924327,2014,30,1.14985631906453,1.10460779024834,1.07562043016055,NA,"CA",NA
2006,"CA",-0.0287951506995124,-0.0226846725062518,2014,15,1.14985631906453,1.11867766295895,1.08988251225944,NA,"CA",NA
2006,"CA",-0.0272931001747574,-0.0214561230291497,2014,8,1.14985631906453,1.11579557031686,1.0885024701421,NA,"CA",NA
2006,"CA",-0.0225738741694263,-0.0157005336755907,2014,49,1.14985631906453,1.1091229985258,1.08654912435637,NA,"CA",NA
2006,"CA",-0.0219873821499312,-0.0155891209444191,2014,25,1.14985631906453,1.11331335055339,1.09132596840346,NA,"CA",NA
2006,"CA",-0.0181349632930094,-0.0112515895422855,2014,46,1.14985631906453,1.11280314597326,1.09466818268025,NA,"CA",NA
