"sample_size","ban_year","att_min","att_max","att_median","year","specification","treated_state"
0,0,0,0,0,2009,"County","M3"
3,2009,-0.104725358531746,0.246224646357172,-0.0138420833482333,2009,"County","M3"
4,2009,-0.099670504084438,0.247282715497046,-0.0106711409605266,2009,"County","M3"
5,2009,-0.101490479308278,0.256423017380071,-0.00673093890874003,2009,"County","M3"
6,2009,-0.09967640930323,0.286204853910517,-0.0064709239311247,2009,"County","M3"
7,2009,-0.108377644843347,0.302834333470862,-0.0090786667343591,2009,"County","M3"
8,2009,-0.119316252551767,0.327856768037639,-0.00739391773696566,2009,"County","M3"
9,2009,-0.126966489079709,0.345515656199615,-0.00519147574315011,2009,"County","M3"
10,2009,-0.142778133893368,0.361207192817963,-0.00239248812235672,2009,"County","M3"
