county_name,municipality_name,sq_kms
mono,mammoth lakes,64.4
los angeles,manhattan beach,10.2
san joaquin,manteca,55.4
kern,maricopa,4.1
monterey,marina,23.1
contra costa,martinez,32.7
yuba,marysville,9
los angeles,maywood,3
kern,mcfarland,6.9
fresno,mendota,8.8
riverside,menifee,120.4
san mateo,menlo park,25.9
merced,merced,60.2
marin,mill valley,12.4
san mateo,millbrae,8.5
santa clara,milpitas,34.9
orange,mission viejo,45.7
stanislaus,modesto,111.5
los angeles,monrovia,35.3
siskiyou,montague,4.6
san bernardino,montclair,14.3
santa clara,monte sereno,4.2
los angeles,montebello,21.6
monterey,monterey,22.4
los angeles,monterey park,19.9
ventura,moorpark,31.8
contra costa,moraga,24.5
riverside,moreno valley,132.9
santa clara,morgan hill,33.5
san luis obispo,morro bay,13.8
siskiyou,mount shasta,9.8
santa clara,mountain view,31
riverside,murrieta,87
napa,napa,46.7
san diego,national city,18.9
san bernardino,needles,79.2
nevada,nevada city,5.7
alameda,newark,36.1
stanislaus,newman,5.3
orange,newport beach,61.6
riverside,norco,35.9
los angeles,norwalk,25.1
marin,novato,71.2
stanislaus,oakdale,16.1
alameda,oakland,144.9
contra costa,oakley,41.1
san diego,oceanside,106.9
ventura,ojai,11.3
san bernardino,ontario,129.4
orange,orange,66.5
fresno,orange cove,4.6
contra costa,orinda,33.3
glenn,orland,7.7
butte,oroville,35.8
ventura,oxnard,68.7
monterey,pacific grove,7.4
san mateo,pacifica,32.6
riverside,palm desert,69.4
riverside,palm springs,244.9
los angeles,palmdale,274.7
santa clara,palo alto,62.4
los angeles,palos verdes estates,12.4
butte,paradise,47.4
los angeles,paramount,12.3
fresno,parlier,6.2
los angeles,pasadena,59.5
san luis obispo,paso robles,50.9
stanislaus,patterson,20.2
riverside,perris,81.7
sonoma,petaluma,37.3
los angeles,pico rivera,21.5
alameda,piedmont,4.4
contra costa,pinole,13.2
san luis obispo,pismo beach,9.1
contra costa,pittsburg,45.8
orange,placentia,17.1
el dorado,placerville,15.1
contra costa,pleasant hill,18.3
alameda,pleasanton,62.5
amador,plymouth,6.9
mendocino,point arena,3.5
los angeles,pomona,59.5
ventura,port hueneme,11.4
tulare,porterville,48.3
plumas,portola,14
san mateo,portola valley,23.5
san diego,poway,101.2
sacramento,rancho cordova,89.5
san bernardino,rancho cucamonga,103.9
riverside,rancho mirage,65.7
los angeles,rancho palos verdes,34.9
orange,rancho santa margarita,33.4
tehama,red bluff,19.6
shasta,redding,154.5
san bernardino,redlands,93.2
los angeles,redondo beach,16.1
san mateo,redwood city,50.1
fresno,reedley,14.3
san bernardino,rialto,62.4
contra costa,richmond,77.8
kern,ridgecrest,54
humboldt,rio dell,5.9
solano,rio vista,17.1
san joaquin,ripon,13.8
stanislaus,riverbank,12.2
riverside,riverside,210.4
placer,rocklin,51.3
sonoma,rohnert park,18.9
los angeles,rolling hills,7.7
los angeles,rolling hills estates,9.3
los angeles,rosemead,13.4
