GeoName,State,County,LineCode,Description,Unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Columbia, FL",FL,Columbia,1,Personal income (thousands of dollars),Thousands of dollars,627587,675179,724666,770724,841748,904977,956581,1016543,1048683,1100123,1228907,1281214,1328024,1443649,1575048,1673134,1785358,1836979,1793664,1901892,1988679,1971223,1962361,2059447,2172095,2239597,2348665,2450484,2550828
"Columbia, FL",FL,Columbia,2,Population (persons) 1/,Number of persons,43715,44654,46313,48598,50383,51706,52925,54275,55445,56571,57040,57930,59395,60804,63109,65890,66604,67318,67412,67553,67317,67884,67417,67779,68222,69265,69999,70668,71686
"Columbia, FL",FL,Columbia,3,Per capita personal income (dollars) 2/,Dollars,14356,15120,15647,15859,16707,17502,18074,18729,18914,19447,21545,22117,22359,23743,24958,25393,26806,27288,26607,28154,29542,29038,29108,30385,31839,32334,33553,34676,35583
"DeSoto, FL",FL,DeSoto,1,Personal income (thousands of dollars),Thousands of dollars,409664,409288,430600,453572,466708,478275,500091,550240,549529,557698,568429,566491,578711,621375,675821,714338,714533,710138,703656,767033,783538,760299,767933,819295,863172,865734,902567,929164,992879
"DeSoto, FL",FL,DeSoto,2,Population (persons) 1/,Number of persons,25266,25773,26728,27693,28578,28974,29830,30404,31353,32196,32402,32446,33271,33895,33864,34300,34537,34374,34592,34934,34845,35005,34905,35338,35648,36255,37241,37368,38001
"DeSoto, FL",FL,DeSoto,3,Per capita personal income (dollars) 2/,Dollars,16214,15880,16110,16379,16331,16507,16765,18098,17527,17322,17543,17460,17394,18332,19957,20826,20689,20659,20342,21957,22486,21720,22001,23185,24214,23879,24236,24865,26128
"Dixie, FL",FL,Dixie,1,Personal income (thousands of dollars),Thousands of dollars,124760,134552,149169,159264,171474,181674,190220,202455,209606,221029,241806,249835,254144,274450,297787,309732,321717,331889,335615,348676,354941,369449,373489,392494,413373,419178,449453,464975,476410
"Dixie, FL",FL,Dixie,2,Population (persons) 1/,Number of persons,11099,11397,11638,12021,12495,12789,13262,13497,13702,13758,14033,14234,14364,14825,15427,15892,16083,16214,16403,16400,16406,16153,16084,16041,16353,16465,16615,16685,16826
"Dixie, FL",FL,Dixie,3,Per capita personal income (dollars) 2/,Dollars,11241,11806,12817,13249,13723,14205,14343,15000,15297,16065,17231,17552,17693,18513,19303,19490,20004,20469,20461,21261,21635,22872,23221,24468,25278,25459,27051,27868,28314
"Duval, FL",FL,Duval,1,Personal income (thousands of dollars),Thousands of dollars,13691702,14394794,15179473,15934507,17055841,18172122,19107065,20600781,21328095,23232390,23569373,24368344,25834975,27084948,29106972,31392465,32176649,32087642,30399039,31791205,33175237,34419661,34533665,36158211,38261335,39368242,41988332,44036635,45469834
"Duval, FL",FL,Duval,2,Population (persons) 1/,Number of persons,693469,707797,711693,717206,724468,744682,757842,766249,773150,779800,790681,800532,809633,820070,828988,842098,851033,855437,859795,865628,872355,880108,885943,896668,910578,926010,937933,948652,957755
"Duval, FL",FL,Duval,3,Per capita personal income (dollars) 2/,Dollars,19744,20337,21329,22217,23543,24403,25212,26885,27586,29793,29809,30440,31909,33028,35111,37279,37809,37510,35356,36726,38030,39108,38980,40325,42019,42514,44767,46420,47475
"Escambia, FL",FL,Escambia,1,Personal income (thousands of dollars),Thousands of dollars,4612713,4869593,5030405,5189960,5487271,5872295,6179258,6561742,6773432,7172120,7585596,7772064,8101523,8475720,8892459,9534905,9845815,9982856,9832892,10250668,10725549,11030186,11026421,11507056,12128528,12367377,12900341,13517188,14117033
"Escambia, FL",FL,Escambia,2,Population (persons) 1/,Number of persons,267643,272468,274035,276154,278323,282606,289505,295243,293956,294725,297776,297568,296603,298225,298339,300395,297393,296854,297015,298038,299401,303423,306694,307960,309311,311473,313249,315104,318316
"Escambia, FL",FL,Escambia,3,Per capita personal income (dollars) 2/,Dollars,17235,17872,18357,18794,19715,20779,21344,22225,23042,24335,25474,26119,27314,28421,29807,31741,33107,33629,33106,34394,35823,36353,35953,37365,39211,39706,41182,42898,44349
"Flagler, FL",FL,Flagler,1,Personal income (thousands of dollars),Thousands of dollars,502475,579092,652335,733100,807383,882327,974762,1064432,1143137,1221106,1443188,1546143,1728457,1983346,2406623,2814828,3048100,3152220,3029309,3161395,3366044,3580121,3657603,3972839,4192971,4556432,4907415,5199907,5473063
"Flagler, FL",FL,Flagler,2,Population (persons) 1/,Number of persons,31497,33510,35729,37683,40013,42080,44540,46627,48324,50579,53944,57905,62947,69387,77008,84339,90516,93546,94700,96066,97462,98434,99798,101889,104436,107406,109999,112085,115081
"Flagler, FL",FL,Flagler,3,Per capita personal income (dollars) 2/,Dollars,15953,17281,18258,19454,20178,20968,21885,22829,23656,24143,26753,26701,27459,28584,31252,33375,33675,33697,31988,32909,34537,36371,36650,38992,40149,42423,44613,46393,47558
"Franklin, FL",FL,Franklin,1,Personal income (thousands of dollars),Thousands of dollars,128912,139128,148688,161995,179037,178115,183189,188881,197894,213507,236774,249562,262244,285864,300138,324350,335226,330764,311162,331578,347108,362999,356198,364393,382718,389176,404474,439200,452509
"Franklin, FL",FL,Franklin,2,Population (persons) 1/,Number of persons,9380,9537,9985,10257,10581,10668,10720,10849,10847,9839,9910,9972,10025,10090,10198,11308,11491,11484,11515,11522,11472,11612,11521,11661,11707,11823,11724,11676,12125
"Franklin, FL",FL,Franklin,3,Per capita personal income (dollars) 2/,Dollars,13743,14588,14891,15794,16921,16696,17089,17410,18244,21700,23892,25026,26159,28331,29431,28683,29173,28802,27022,28778,30257,31261,30917,31249,32691,32917,34500,37616,37320
"Gadsden, FL",FL,Gadsden,1,Personal income (thousands of dollars),Thousands of dollars,559461,599065,630334,660216,717763,750009,793451,836604,877668,918177,986992,1018962,1059265,1129360,1189373,1241483,1269568,1292713,1285882,1324205,1384474,1346550,1309344,1373293,1443873,1482408,1546286,1594440,1638507
"Gadsden, FL",FL,Gadsden,2,Population (persons) 1/,Number of persons,42356,42360,42963,43333,43807,44703,44779,44743,45117,44950,45153,44762,44952,45129,45258,45258,45867,46319,46264,47794,47373,46574,46087,46114,46060,46086,45993,45927,45660
"Gadsden, FL",FL,Gadsden,3,Per capita personal income (dollars) 2/,Dollars,13209,14142,14672,15236,16385,16778,17719,18698,19453,20427,21859,22764,23564,25025,26280,27431,27679,27909,27794,27707,29225,28912,28410,29780,31348,32166,33620,34717,35885
"Gilchrist, FL",FL,Gilchrist,1,Personal income (thousands of dollars),Thousands of dollars,132462,150202,162676,177481,191273,212248,231311,260128,280881,296018,321036,320917,332298,364176,374369,390095,401098,407180,407779,437769,457069,485493,473167,511435,523864,543206,585478,612276,645832
"Gilchrist, FL",FL,Gilchrist,2,Population (persons) 1/,Number of persons,10332,10486,11258,12006,12393,13053,13343,13967,14062,14443,14283,14502,15011,15271,15801,16223,16610,16797,16829,17000,16994,16897,16957,16991,17378,17622,17900,18284,18582
"Gilchrist, FL",FL,Gilchrist,3,Per capita personal income (dollars) 2/,Dollars,12821,14324,14450,14783,15434,16260,17336,18624,19974,20496,22477,22129,22137,23848,23693,24046,24148,24241,24231,25751,26896,28732,27904,30100,30145,30825,32708,33487,34756
"Glades, FL",FL,Glades,1,Personal income (thousands of dollars),Thousands of dollars,109682,116380,121067,123608,128566,135659,143904,160373,169332,183865,200127,202544,205659,215330,225633,237293,257442,238031,237184,255752,255671,275507,272173,291142,323931,304650,327437,345783,360490
"Glades, FL",FL,Glades,2,Population (persons) 1/,Number of persons,7698,7782,7945,8250,8470,9574,9789,10132,10384,10579,10948,11284,11514,11901,12284,12297,12357,12752,12839,12869,12837,12669,12670,12943,13099,13406,13580,13686,13811
"Glades, FL",FL,Glades,3,Per capita personal income (dollars) 2/,Dollars,14248,14955,15238,14983,15179,14170,14701,15828,16307,17380,18280,17950,17862,18093,18368,19297,20834,18666,18474,19873,19917,21747,21482,22494,24729,22725,24112,25265,26102
"Gulf, FL",FL,Gulf,1,Personal income (thousands of dollars),Thousands of dollars,160202,174347,190809,205100,219757,231054,239825,238146,238983,249206,281756,291084,308096,342032,365315,382403,386398,392656,392293,416946,423640,434936,428964,463207,483885,518950,551342,607550,632109
"Gulf, FL",FL,Gulf,2,Population (persons) 1/,Number of persons,11422,11397,12105,12659,12804,12855,12769,12680,12706,14566,14868,14897,15266,15455,15781,15856,15908,15851,15933,15825,15764,15770,15884,16002,15929,16062,16105,16146,13639
"Gulf, FL",FL,Gulf,3,Per capita personal income (dollars) 2/,Dollars,14026,15298,15763,16202,17163,17974,18782,18781,18809,17109,18950,19540,20182,22131,23149,24117,24290,24772,24621,26347,26874,27580,27006,28947,30378,32309,34234,37629,46346
"Hamilton, FL",FL,Hamilton,1,Personal income (thousands of dollars),Thousands of dollars,134590,143710,142673,148741,161805,173626,178759,183520,188895,196523,203529,205596,224422,244842,266498,279135,293412,309067,297414,313941,322139,314250,319965,327060,345793,347636,370217,387590,398827
"Hamilton, FL",FL,Hamilton,2,Population (persons) 1/,Number of persons,11217,11293,11265,11441,11851,12322,12233,12555,12807,13330,13733,13795,14010,14101,14017,14430,14589,14785,14930,14683,14595,14721,14342,14071,14272,14303,14364,14262,14428
"Hamilton, FL",FL,Hamilton,3,Per capita personal income (dollars) 2/,Dollars,11999,12726,12665,13001,13653,14091,14613,14617,14749,14743,14820,14904,16019,17363,19012,19344,20112,20904,19921,21381,22072,21347,22310,23244,24229,24305,25774,27176,27643
"Hardee, FL",FL,Hardee,1,Personal income (thousands of dollars),Thousands of dollars,323461,320223,330744,351781,374247,385408,409636,449964,459439,481574,496459,497497,505224,531802,574306,574940,593675,605220,599945,639362,664593,688552,666697,699046,733190,713564,769022,761624,795856
"Hardee, FL",FL,Hardee,2,Population (persons) 1/,Number of persons,20633,22158,22981,23704,24460,24616,25283,26199,26497,26769,26378,26787,26765,26847,26874,27049,27489,27603,27661,27730,27684,27439,27311,27266,27177,27219,27154,27168,26937
"Hardee, FL",FL,Hardee,3,Per capita personal income (dollars) 2/,Dollars,15677,14452,14392,14841,15300,15657,16202,17175,17339,17990,18821,18572,18876,19809,21370,21255,21597,21926,21689,23057,24006,25094,24411,25638,26978,26216,28321,28034,29545
"Hendry, FL",FL,Hendry,1,Personal income (thousands of dollars),Thousands of dollars,480028,492417,530104,542532,576744,578489,616965,688824,712136,744068,748903,767169,744004,780212,837982,902815,912565,900798,920140,1007566,1003808,1035139,1107666,1121667,1193512,1196551,1255415,1336690,1395294
"Hendry, FL",FL,Hendry,2,Population (persons) 1/,Number of persons,27611,28734,29703,31013,31916,32673,33962,34572,35638,36255,36029,36035,36138,36903,38201,38776,39006,39177,39010,39009,38972,37870,37809,38474,39248,40037,41018,41336,42022
"Hendry, FL",FL,Hendry,3,Per capita personal income (dollars) 2/,Dollars,17385,17137,17847,17494,18071,17705,18166,19924,19982,20523,20786,21290,20588,21142,21936,23283,23396,22993,23587,25829,25757,27334,29296,29154,30409,29886,30606,32337,33204
"Hernando, FL",FL,Hernando,1,Personal income (thousands of dollars),Thousands of dollars,1678046,1787288,1906488,2058157,2222215,2398670,2591995,2786274,2912310,3167770,3298932,3457580,3701432,3967489,4309286,4722716,5060047,5194738,5040768,5235059,5357979,5451509,5443055,5717349,6026273,6398068,6701425,7050728,7412217
"Hernando, FL",FL,Hernando,2,Population (persons) 1/,Number of persons,106966,109913,113571,117272,119385,121875,124913,127634,129263,131390,134127,137818,142686,149593,157156,164398,169891,172437,171950,172969,172847,172718,173639,175298,177900,182459,186704,190582,193920
"Hernando, FL",FL,Hernando,3,Per capita personal income (dollars) 2/,Dollars,15688,16261,16787,17550,18614,19681,20750,21830,22530,24110,24596,25088,25941,26522,27420,28727,29784,30125,29315,30266,30998,31563,31347,32615,33874,35066,35893,36996,38223
"Highlands, FL",FL,Highlands,1,Personal income (thousands of dollars),Thousands of dollars,1179693,1238380,1302405,1384708,1468514,1529380,1598139,1701644,1738615,1810547,1916798,2006473,2088707,2203488,2369188,2551246,2682005,2738149,2715630,2839216,2913943,2938159,2916520,3030199,3186066,3273759,3428227,3520298,3662511
"Highlands, FL",FL,Highlands,2,Population (persons) 1/,Number of persons,71614,73790,76301,78724,80792,82713,84334,85551,86604,87417,88510,89939,90943,93079,95614,97788,99023,99568,98956,98635,98477,98222,98077,98584,100137,102041,103852,104933,106221
"Highlands, FL",FL,Highlands,3,Per capita personal income (dollars) 2/,Dollars,16473,16782,17069,17589,18176,18490,18950,19890,20075,20712,21656,22309,22967,23673,24779,26090,27085,27500,27443,28785,29590,29913,29737,30737,31817,32083,33011,33548,34480
"Hillsborough, FL",FL,Hillsborough,1,Personal income (thousands of dollars),Thousands of dollars,15904528,16872842,17794868,18999417,20553394,21999519,23442471,25465611,27057660,29321067,30400130,31570685,33717189,36922966,40178229,43119640,44804476,45673809,45238184,48707674,53696494,52926755,52359466,55388714,58750318,60545918,64141706,67966864,71319751
"Hillsborough, FL",FL,Hillsborough,2,Population (persons) 1/,Number of persons,850326,864957,879024,890958,906385,922203,943919,965130,984930,1003435,1028385,1054860,1077462,1108225,1143154,1171826,1184686,1196773,1214050,1233498,1255503,1279639,1304131,1332298,1364073,1396693,1426736,1451919,1471968
"Hillsborough, FL",FL,Hillsborough,3,Per capita personal income (dollars) 2/,Dollars,18704,19507,20244,21325,22676,23855,24835,26386,27472,29221,29561,29929,31293,33317,35147,36797,37820,38164,37262,39487,42769,41361,40149,41574,43070,43349,44957,46812,48452
"Holmes, FL",FL,Holmes,1,Personal income (thousands of dollars),Thousands of dollars,194327,211760,222540,240049,261330,279198,294091,310511,322814,337875,364302,362788,375363,395882,417395,439077,453341,462131,472462,493337,510663,513986,507643,518605,548358,549028,581703,601252,624251
"Holmes, FL",FL,Holmes,2,Population (persons) 1/,Number of persons,15921,16236,16432,16887,17789,17933,18417,18487,18666,18553,18757,18880,19254,19319,19523,19824,19991,20141,20147,19843,19838,19697,19594,19564,19273,19398,19427,19443,19617
"Holmes, FL",FL,Holmes,3,Per capita personal income (dollars) 2/,Dollars,12206,13043,13543,14215,14691,15569,15968,16796,17294,18211,19422,19215,19495,20492,21380,22149,22677,22945,23451,24862,25742,26095,25908,26508,28452,28303,29943,30924,31822
"Indian River, FL",FL,Indian River,1,Personal income (thousands of dollars),Thousands of dollars,2425511,2563399,2665024,2852067,3146915,3380726,3628890,3928516,4125904,4419089,4876805,4990078,5275246,6122059,6881051,7970537,8305899,8402292,7104029,7291344,8001026,8550399,8592769,9600373,10108919,10768763,11454945,12473322,12924659
"Indian River, FL",FL,Indian River,2,Population (persons) 1/,Number of persons,93593,96023,97566,99858,101929,103583,106291,108961,111294,113323,115456,118144,120450,125001,127955,131463,134564,136277,137016,138270,139103,140473,141895,144445,147434,151159,154241,157187,159923
"Indian River, FL",FL,Indian River,3,Per capita personal income (dollars) 2/,Dollars,25916,26696,27315,28561,30874,32638,34141,36054,37072,38996,42240,42237,43796,48976,53777,60630,61725,61656,51848,52733,57519,60869,60557,66464,68566,71241,74267,79353,80818
"Jackson, FL",FL,Jackson,1,Personal income (thousands of dollars),Thousands of dollars,606566,643786,662634,688337,721716,758251,774871,809913,852788,890409,937329,977053,1055502,1065247,1176333,1197626,1265039,1318361,1325255,1366407,1370807,1331687,1323135,1375454,1435517,1459515,1528063,1607006,1671573
"Jackson, FL",FL,Jackson,2,Population (persons) 1/,Number of persons,42150,43496,44110,44582,45393,45505,45702,45977,46039,46701,46242,46139,46274,46946,47930,48265,48368,50272,50064,49648,49197,49109,48880,48730,48609,48299,48289,48112,46414
"Jackson, FL",FL,Jackson,3,Per capita personal income (dollars) 2/,Dollars,14391,14801,15022,15440,15899,16663,16955,17616,18523,19066,20270,21176,22810,22691,24543,24814,26154,26225,26471,27522,27864,27117,27069,28226,29532,30218,31644,33401,36014
"Jefferson, FL",FL,Jefferson,1,Personal income (thousands of dollars),Thousands of dollars,174607,184744,196257,210739,229351,245549,259465,280496,292484,323025,347759,350085,367751,384270,405820,426243,452447,459052,466066,464671,492158,483423,477544,505773,521864,534703,554104,578482,598175
"Jefferson, FL",FL,Jefferson,2,Population (persons) 1/,Number of persons,11949,12313,12454,12763,13065,13181,13417,13596,13538,12891,12871,13316,13602,14030,14210,14461,14383,14606,14704,14755,14529,14219,14209,14056,14115,13960,14165,14321,14246
"Jefferson, FL",FL,Jefferson,3,Per capita personal income (dollars) 2/,Dollars,14613,15004,15759,16512,17555,18629,19339,20631,21605,25058,27019,26291,27037,27389,28559,29475,31457,31429,31697,31492,33874,33998,33609,35983,36972,38303,39118,40394,41989
"Lafayette, FL",FL,Lafayette,1,Personal income (thousands of dollars),Thousands of dollars,72385,78622,80114,86462,89616,98524,105478,107365,112874,109427,118810,112066,117447,133685,137819,135725,158510,163156,157320,171206,181742,189709,194239,217569,226370,201413,211983,217566,232825
"Lafayette, FL",FL,Lafayette,2,Population (persons) 1/,Number of persons,5683,5728,5698,5973,6491,6574,6332,6396,6513,7011,7153,7287,7356,7630,8131,8341,8398,8465,8435,8808,8798,8791,8819,8862,8724,8747,8602,8691,8422
"Lafayette, FL",FL,Lafayette,3,Per capita personal income (dollars) 2/,Dollars,12737,13726,14060,14475,13806,14987,16658,16786,17331,15608,16610,15379,15966,17521,16950,16272,18875,19274,18651,19438,20657,21580,22025,24551,25948,23027,24643,25033,27645
"Lake, FL",FL,Lake,1,Personal income (thousands of dollars),Thousands of dollars,2711780,2916827,3126799,3361538,3689750,4028282,4356380,4780786,5105125,5539736,5953016,6201394,6798253,7406882,8114638,8917724,9590372,9810671,9363160,9620328,9959536,10402496,10677263,11507596,12279007,13248595,14137883,15066611,15941942
"Lake, FL",FL,Lake,2,Population (persons) 1/,Number of persons,157490,161287,166141,171703,177973,184654,191852,198934,205123,212347,222297,231519,241489,254625,267587,281329,289909,293654,295511,297709,300505,303725,307973,315340,325154,334913,345432,356720,367118
"Lake, FL",FL,Lake,3,Per capita personal income (dollars) 2/,Dollars,17219,18085,18820,19578,20732,21815,22707,24032,24888,26088,26780,26786,28151,29089,30325,31699,33081,33409,31685,32315,33143,34250,34669,36493,37764,39558,40928,42237,43425
"Lee, FL",FL,Lee,1,Personal income (thousands of dollars),Thousands of dollars,6933177,7308276,7782306,8330303,9093151,9535549,10162884,10974190,11553777,12750292,14327685,14807474,16019330,18558224,20804368,24139351,24796068,25183364,24307032,24256409,26123867,26872504,27257232,30159057,32477798,34758296,36788238,38547795,40119053
"Lee, FL",FL,Lee,2,Population (persons) 1/,Number of persons,351069,359679,368938,380928,391823,400723,410841,421889,431981,444311,461037,478889,497662,522431,555029,582678,604716,610984,612297,620449,631053,644197,659834,677232,699644,722649,740000,754470,770577
"Lee, FL",FL,Lee,3,Per capita personal income (dollars) 2/,Dollars,19749,20319,21094,21868,23207,23796,24737,26012,26746,28697,31077,30920,32189,35523,37483,41428,41004,41218,39698,39095,41397,41715,41309,44533,46420,48098,49714,51093,52064
"Leon, FL",FL,Leon,1,Personal income (thousands of dollars),Thousands of dollars,3869050,4103961,4382116,4674625,5042986,5297342,5545907,5990620,6347728,6649930,7102201,7311698,7635014,8126740,8663294,9114385,9547479,9701019,9543680,10119041,10706954,10671023,10473422,11066837,11467604,11903691,12427959,13151599,13620561
"Leon, FL",FL,Leon,2,Population (persons) 1/,Number of persons,202029,205347,212003,218731,222779,225143,229453,233032,235871,240571,242583,245404,250673,254188,258083,263076,268519,271130,273263,275971,278371,283620,281887,283770,285904,286744,290965,291657,293582
"Leon, FL",FL,Leon,3,Per capita personal income (dollars) 2/,Dollars,19151,19985,20670,21372,22637,23529,24170,25707,26912,27642,29277,29795,30458,31971,33568,34645,35556,35780,34925,36667,38463,37624,37155,38999,40110,41513,42713,45093,46394
"Levy, FL",FL,Levy,1,Personal income (thousands of dollars),Thousands of dollars,360972,394757,423815,451277,478587,517883,556446,596599,628072,659495,745724,757289,801974,881151,955738,1009620,1055744,1081457,1068204,1126449,1146623,1166241,1176090,1246930,1311378,1341900,1434348,1471431,1563813
"Levy, FL",FL,Levy,2,Population (persons) 1/,Number of persons,26722,27423,28538,29437,30458,31191,32179,32950,33893,34644,35118,35964,36530,37510,38355,39447,40204,40809,40880,40720,40151,39823,39433,39296,39601,39837,40276,40798,41503
"Levy, FL",FL,Levy,3,Per capita personal income (dollars) 2/,Dollars,13508,14395,14851,15330,15713,16604,17292,18106,18531,19036,21235,21057,21954,23491,24918,25594,26260,26500,26130,27663,28558,29286,29825,31732,33115,33685,35613,36066,37680
"Liberty, FL",FL,Liberty,1,Personal income (thousands of dollars),Thousands of dollars,74204,78953,83156,91207,97548,104626,111669,112601,120455,125042,136537,142307,150533,162098,175001,190904,201324,211128,184289,187282,186382,181059,179621,184158,186574,187293,196526,208175,216982
"Liberty, FL",FL,Liberty,2,Population (persons) 1/,Number of persons,5772,5765,5880,6429,6681,6831,7074,6932,7114,6989,7049,7231,7325,7449,7820,8011,8113,8323,8347,8349,8264,8301,8357,8418,8409,8300,8236,8427,8354
"Liberty, FL",FL,Liberty,3,Per capita personal income (dollars) 2/,Dollars,12856,13695,14142,14187,14601,15316,15786,16244,16932,17891,19370,19680,20551,21761,22379,23830,24815,25367,22078,22432,22553,21812,21493,21877,22187,22565,23862,24703,25973
"Madison, FL",FL,Madison,1,Personal income (thousands of dollars),Thousands of dollars,205942,214899,221701,235603,255625,270593,284131,294939,312543,327744,346358,351316,362632,387148,401604,418858,438535,449169,449065,466130,483773,488110,500642,537450,566061,550138,584515,609482,626151
"Madison, FL",FL,Madison,2,Population (persons) 1/,Number of persons,16833,17005,17234,17569,17814,18090,18123,18301,18609,18734,18859,18707,18778,19075,19070,19299,19322,19347,19329,19248,19130,18972,18753,18601,18478,18316,18474,18540,18493
"Madison, FL",FL,Madison,3,Per capita personal income (dollars) 2/,Dollars,12234,12637,12864,13410,14350,14958,15678,16116,16795,17495,18366,18780,19312,20296,21059,21704,22696,23216,23233,24217,25289,25728,26697,28894,30634,30036,31640,32874,33859
"Manatee, FL",FL,Manatee,1,Personal income (thousands of dollars),Thousands of dollars,4398464,4708486,4962417,5295264,5847163,6216556,6601148,7320453,7751081,8367315,8329271,8635771,9037362,10085081,11395663,12476050,12637953,12101916,11257468,12156454,13000707,12749674,13248909,14569536,15987432,16820299,17783556,18786801,19605227
"Manatee, FL",FL,Manatee,2,Population (persons) 1/,Number of persons,218854,222349,227615,232769,237593,242569,247499,254167,259053,265644,272281,279950,287000,296183,306845,313771,316410,318766,320711,323424,327549,333844,341855,350865,362548,375373,385506,394387,403253
"Manatee, FL",FL,Manatee,3,Per capita personal income (dollars) 2/,Dollars,20098,21176,21802,22749,24610,25628,26671,28802,29921,31498,30591,30848,31489,34050,37138,39762,39942,37965,35102,37587,39691,38191,38756,41525,44097,44810,46130,47635,48618
"Marion, FL",FL,Marion,1,Personal income (thousands of dollars),Thousands of dollars,3178850,3408460,3665782,3959387,4277453,4617111,4917850,5367425,5670547,6089645,6423200,6569582,6988191,7606483,8498506,9416850,9846846,9943547,9628706,9964115,10373226,10616930,10477835,11030448,11494178,12083101,12770003,13363961,13999019
"Marion, FL",FL,Marion,2,Population (persons) 1/,Number of persons,203775,209388,214818,223523,230611,236637,243264,250086,254964,260221,264553,271716,280091,291164,303558,316310,325634,330052,330880,331331,332286,333873,335083,338005,342182,347469,353339,359062,365579
"Marion, FL",FL,Marion,3,Per capita personal income (dollars) 2/,Dollars,15600,16278,17065,17714,18548,19511,20216,21462,22241,23402,24279,24178,24950,26124,27996,29771,30239,30127,29100,30073,31218,31799,31269,32634,33591,34775,36141,37219,38293
"Martin, FL",FL,Martin,1,Personal income (thousands of dollars),Thousands of dollars,3030234,3205173,3383958,3528703,3923186,4212536,4531271,4951458,5230959,5581696,5974288,5997072,6402076,7148675,7937929,8838746,9160009,8779091,7651624,7967250,8529292,9878368,9371074,10610999,11301145,12019690,12945767,13383794,13748480
"Martin, FL",FL,Martin,2,Population (persons) 1/,Number of persons,104970,106656,109500,112216,114298,117450,120279,123693,125974,127301,129856,132945,136598,139729,141912,141802,143542,144369,145506,146909,147871,148981,151126,153119,155559,158325,159701,160742,161000
"Martin, FL",FL,Martin,3,Per capita personal income (dollars) 2/,Dollars,28868,30052,30904,31446,34324,35867,37673,40030,41524,43846,46007,45109,46868,51161,55936,62332,63814,60810,52586,54233,57681,66306,62008,69299,72649,75918,81063,83263,85394
"Miami-Dade, FL",FL,Miami-Dade,1,Personal income (thousands of dollars),Thousands of dollars,36947561,38615685,40528697,42109313,44826755,47269681,49329210,52739379,55460667,60135660,64702089,67107084,69240316,74881769,81381738,89240479,92614163,93033991,85787430,95805838,100148724,103220841,103432585,111824057,119164670,120183815,132573852,144288587,149166155
"Miami-Dade, FL",FL,Miami-Dade,2,Population (persons) 1/,Number of persons,1981618,2011174,2010635,2044512,2086286,2130937,2158352,2180081,2220961,2259508,2287458,2315747,2336070,2358684,2385872,2405911,2415576,2436062,2463943,2506972,2544531,2576554,2609692,2634269,2659839,2692213,2713295,2714854,2716940
"Miami-Dade, FL",FL,Miami-Dade,3,Per capita personal income (dollars) 2/,Dollars,18645,19201,20157,20596,21486,22183,22855,24191,24971,26614,28286,28979,29640,31747,34110,37092,38340,38190,34817,38216,39358,40062,39634,42450,44801,44641,48861,53148,54902
"Monroe, FL",FL,Monroe,1,Personal income (thousands of dollars),Thousands of dollars,1839011,1943733,2125458,2151804,2331944,2452096,2596127,2848871,2904168,3211620,3246347,3223043,3359039,3727328,4196660,4718751,4989354,4853259,4215325,4464453,4604525,5194832,4949326,5459881,5632066,6128140,6663446,7308872,7516454
"Monroe, FL",FL,Monroe,2,Population (persons) 1/,Number of persons,78991,79676,82182,81594,81461,81358,80925,80840,79973,79470,79038,78755,78497,77616,75819,73793,72906,72730,72627,73220,73967,74560,75813,76261,76648,76872,76483,74757,74228
"Monroe, FL",FL,Monroe,3,Per capita personal income (dollars) 2/,Dollars,23281,24395,25863,26372,28627,30140,32081,35241,36314,40413,41073,40925,42792,48023,55351,63946,68435,66730,58041,60973,62251,69673,65283,71595,73480,79719,87123,97768,101262
"Nassau, FL",FL,Nassau,1,Personal income (thousands of dollars),Thousands of dollars,866122,928156,1009927,1069764,1166493,1287052,1393126,1518236,1621225,1787658,1936177,2028444,2141987,2353656,2585369,2875066,3127327,3198580,3005603,3182148,3331557,3367227,3455083,3725900,4048444,4309998,4673834,5187426,5435319
"Nassau, FL",FL,Nassau,2,Population (persons) 1/,Number of persons,45480,46900,48356,49562,50763,52303,54126,55587,56876,57957,59300,60816,62069,63699,65568,67823,69969,71557,72671,73513,74148,74519,75384,76250,77951,80055,82925,85936,88625
"Nassau, FL",FL,Nassau,3,Per capita personal income (dollars) 2/,Dollars,19044,19790,20885,21584,22979,24608,25739,27313,28505,30845,32651,33354,34510,36950,39430,42391,44696,44700,41359,43287,44931,45186,45833,48864,51936,53838,56362,60364,61329
"Okaloosa, FL",FL,Okaloosa,1,Personal income (thousands of dollars),Thousands of dollars,2870039,3122921,3316519,3463593,3740067,3973973,4223535,4462708,4744873,4984326,5220132,5586991,6093380,6482832,6922366,7254836,7461144,7388082,7060438,7376383,7586859,8094613,8151537,8534823,8925717,9151339,9678184,10194990,10680336
"Okaloosa, FL",FL,Okaloosa,2,Population (persons) 1/,Number of persons,148130,152754,157192,160420,162900,165140,167046,167980,169054,171200,172564,176257,177649,182506,184045,184071,182677,181752,181153,180715,183102,189762,192688,194615,197748,200071,203478,206934,210738
"Okaloosa, FL",FL,Okaloosa,3,Per capita personal income (dollars) 2/,Dollars,19375,20444,21099,21591,22959,24064,25284,26567,28067,29114,30250,31698,34300,35521,37612,39413,40843,40649,38975,40818,41435,42657,42304,43855,45137,45740,47564,49267,50681
