GeoName,State,County,LineCode,Description,Unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Calhoun, AL",AL,Calhoun,3,Per capita personal income (dollars) 2/,Dollars,16062,16853,17238,17846,18696,19270,19828,21023,21497,22130,23205,24157,25154,26565,27460,28575,30090,30865,30190,30927,31921,32401,32028,33090,34423,34920,35927,36988,38394
"Chambers, AL",AL,Chambers,1,Personal income (thousands of dollars),Thousands of dollars,508670,543420,566828,591629,618279,639527,670679,702019,727110,743435,792458,804763,820809,840302,857636,893139,922948,899441,897485,934009,976568,1000567,1011627,1036821,1078822,1103597,1110310,1155666,1193820
"Chambers, AL",AL,Chambers,2,Population (persons) 1/,Number of persons,36913,37045,37026,37066,37179,36907,36698,36808,36527,36571,36274,35965,35680,35463,35279,34945,34847,34563,34384,34122,34033,34104,34139,33977,33996,33745,33707,33600,33254
"Chambers, AL",AL,Chambers,3,Per capita personal income (dollars) 2/,Dollars,13780,14669,15309,15962,16630,17328,18276,19072,19906,20329,21846,22376,23005,23695,24310,25558,26486,26023,26102,27373,28695,29339,29633,30515,31734,32704,32940,34395,35900
"Cherokee, AL",AL,Cherokee,1,Personal income (thousands of dollars),Thousands of dollars,266441,284283,299976,317097,343026,370331,394879,413270,426551,445507,480208,494052,520168,561293,583022,614892,670238,702932,702741,726157,751431,768720,800064,818829,869402,861753,893500,937468,954378
"Cherokee, AL",AL,Cherokee,2,Population (persons) 1/,Number of persons,19876,20181,20712,21214,21871,22387,22911,23351,23605,24006,24182,24403,24591,24887,25031,25466,25553,25636,25854,25963,25989,25958,26017,25895,25732,25768,25805,26014,26196
"Cherokee, AL",AL,Cherokee,3,Per capita personal income (dollars) 2/,Dollars,13405,14087,14483,14948,15684,16542,17235,17698,18070,18558,19858,20246,21153,22554,23292,24146,26229,27420,27181,27969,28913,29614,30752,31621,33787,33443,34625,36037,36432
"Chilton, AL",AL,Chilton,1,Personal income (thousands of dollars),Thousands of dollars,449756,478388,509899,548054,595375,626454,678711,705551,757131,784790,847212,871857,910358,972985,1030631,1099941,1166860,1186302,1177934,1199033,1255379,1286126,1298320,1340079,1400117,1425578,1494017,1548034,1607766
"Chilton, AL",AL,Chilton,2,Population (persons) 1/,Number of persons,33200,33503,34072,34739,35537,36467,37302,38069,38862,39897,40197,40683,41079,41534,41946,42318,42881,43239,43484,43653,43689,43582,43628,43760,43700,43866,44120,44163,44428
"Chilton, AL",AL,Chilton,3,Per capita personal income (dollars) 2/,Dollars,13547,14279,14965,15776,16754,17179,18195,18533,19483,19670,21076,21430,22161,23426,24570,25992,27212,27436,27089,27467,28734,29510,29759,30623,32039,32498,33863,35053,36188
