Activity,state_id,City,year,generator_category,material,tons,percentage,need_to_find
Disposal,IL,Statewide,2015,commercial,food,1123840,,
Disposal,IL,Statewide,2015,commercial,yard_waste,117140,,
Disposal,IL,Statewide,2015,commercial,total,6845000,,
Disposal,IL,Statewide,2015,residential,compostable_paper,206690,,
Disposal,IL,Statewide,2015,residential,food,995310,,
Disposal,IL,Statewide,2015,residential,yard_waste,246600,,
Disposal,IL,Statewide,2015,residential,total,4916500,,
Disposal,M1,Seattle,2014,residential,compostable_paper,7169,,
Disposal,M1,Seattle,2014,residential,food,33113,,
Disposal,M1,Seattle,2014,residential,yard_waste,1754,,
Disposal,M1,Seattle,2014,residential,total,112238,,
Disposal,M1,Seattle,2016,commercial,compostable_paper,9879,,
Disposal,M1,Seattle,2016,commercial,food,29935,,
Disposal,M1,Seattle,2016,commercial,yard_waste,2286,,
Disposal,M1,Seattle,2016,commercial,total,122036,,
Disposal,M1,Seattle,2016,all,compostable_paper,17048,,
Disposal,M1,Seattle,2016,all,food,63048,,
Disposal,M1,Seattle,2016,all,yard_waste,4040,,
Disposal,M1,Seattle,2016,all,total,234274,,
Disposal,WA,Statewide,2015,self_haul,compostable_paper,1796,,
Disposal,WA,Statewide,2015,self_haul,food,32578,,
Disposal,WA,Statewide,2015,self_haul,yard_waste,45582,,
Disposal,WA,Statewide,2015,self_haul,total,430918,,
