town_name,lat_gen,long_gen
BRAINTREE,43.9551,-72.6699
BROOKFIELD,44.0452,-72.6092
CHELSEA,43.9934,-72.4538
EAST TOPSHAM,43.9668,-72.3104
POST MILLS,43.9099,-72.3491
WESTFIELD,44.8849,-72.7163
WESTMORE,44.7721,-72.0158
BROWNINGTON,44.8163,-72.1095
MOUNT HOLLY,43.4114,-72.7275
BENSON,43.7131,-73.2955
CASTLETON,43.6085,-73.1846
BOMOSEEN,43.6365,-73.2353
CHITTENDEN,43.7014,-73.0196
CLARENDON,43.5595,-73.0457
NORTH CLARENDON,43.5845,-73.0455
CUTTINGSVILLE,43.4462,-72.8531
MOUNT TABOR,43.4092,-73.0969
DANBY,43.3367,-73.0499
EAST POULTNEY,43.4952,-73.2101
EAST WALLINGFORD,43.4562,-72.8724
FAIR HAVEN,43.5952,-73.2651
HUBBARDTON,43.7395,-73.2183
HYDEVILLE,43.6374,-73.1783
IRA,43.5221,-73.1352
KILLINGTON,43.6473,-72.7905
BRIDGEWATER,43.6285,-72.6255
MENDON,43.6525,-72.9361
MIDDLETOWN SPRINGS,43.4563,-73.0718
NORTH CHITTENDEN,44.4764,-72.9724
PITTSFIELD,43.7674,-72.8139
STRATTON,43.1035,-72.9113
VERNON,42.8133,-72.557
WARDSBORO,43.0381,-72.8259
WEST HALIFAX,42.9587,-72.8164
WEST TOWNSHEND,43.0124,-72.7947
WEST WARDSBORO,43.0207,-72.846
WESTMINSTER,43.0939,-72.4654
WILMINGTON,42.8723,-72.8823
WINDHAM,43.1756,-72.7082
ASCUTNEY,43.3453,-72.4401
BARNARD,43.7646,-72.6032
BETHEL,43.8361,-72.6961
BRIDGEWATER CORNERS,43.6632,-72.5824
BROWNSVILLE,43.4134,-72.4859
CHESTER,43.2655,-72.595
WILDER,43.6856,-72.3051
BENNINGTON,42.8781,-73.1968
BONDVILLE,43.2293,-72.8002
DORSET,43.25,-73.0864
EAST DORSET,43.221,-73.0591
LANDGROVE,43.3253,-72.8241
MANCHESTER,43.1638,-73.0697
MANCHESTER CENTER,43.1769,-73.0459
NORTH BENNINGTON,42.9386,-73.2462
PERU,43.2725,-72.8682
POWNAL,42.7763,-73.229
READSBORO,42.7957,-72.9084
SANDGATE,43.1996,-73.2125
ST GEORGE,44.4167,-73.1167
WESTFORD,44.6435,-73.0234
CALAIS,44.3097,-72.4054
ADAMANT,44.3338,-72.442
BARRE CITY,44.199,-72.5043
EAST BARRE,44.1817,-72.4374
CABOT,44.4167,-72.3167
DUXBURY,44.3469,-72.7803
EAST MONTPELIER,44.2915,-72.4933
FAYSTON,44.2372,-72.8812
GRANITEVILLE,44.1796,-72.4463
MIDDLESEX,44.2997,-72.6335
SWANTON,44.9206,-73.118
ST ALBANS TOWN,44.8191,-73.1269
WEST BERKSHIRE,44.9605,-72.7934
ALBURGH,44.9896,-73.2507
GRAND ISLE,44.7247,-73.3129
ISLE LA MOTTE,44.9171,-73.336
NORTH HERO,44.8383,-73.3152
SOUTH HERO,44.6352,-73.3186
WEST HARTFORD,43.7359,-72.4741
EDEN,44.7339,-72.5909
JEFFERSONVILLE,44.6395,-72.8052
JOHNSON,44.6378,-72.6793
LAKE ELMORE,44.54,-72.545
St. Albans,44.8101,-73.083
EAST BURKE,44.6378,-71.9149
JERICHO,44.5036,-72.9966
ST. JOHNSBURY,44.417,-72.0151
ALBURG,44.9977,-73.2425
MONTGOMERY CENTER,44.8997,-72.5984
EAST HARDWICK,44.6074,-72.3083
ORANGE,44.0727,-72.4001
HANOVER,43.7032,-72.2887
SOUTH NEWFANE,42.987,-72.6725
RANDOLPH CENTER,43.9276,-72.6427
EAST ARLINGTON,43.0804,-73.1412
BEEBE PLAIN,45.0058,-72.1186
ESSEX JUNCTION VT,44.4906,-73.1115
Arlington,43.0838,-73.1694
Averill,44.9127,-71.9924
Bakersfield,44.8041,-72.7894
Barre,44.2009,-72.502
Barre Town,44.2001,-72.4719
Berkshire,44.8607,-72.7877
Bloomfield,44.7277,-71.7886
Bolton,44.3778,-72.9077
Brighton,44.8274,-71.9871
Cambridge,44.6467,-72.9065
Canaan,44.9785,-71.5422
Cavendish,43.3883,-72.6745
Charlotte,44.3071,-73.2452
Colchester,44.5423,-73.1612
Concord,44.5053,-71.9036
East Haven,44.7497,-71.8692
Enosburg,44.9089,-72.7966
Enosburg Falls,44.9099,-72.8053
Essex,44.4949,-73.0814
Essex Junction,44.4901,-73.1109
Fairfax,44.6656,-73.0181
Fairfield,44.7946,-73.0446
Fletcher,44.6504,-72.8767
Franklin,44.9339,-72.916
Georgia,44.7177,-73.1127
Gilman,44.4963,-71.9472
Guildhall,44.5438,-71.6608
Hartford,43.6634,-72.3496
Hartland,43.5741,-72.4274
Highgate Center,44.9281,-73.112
Huntington,44.3671,-72.9931
Island Pond,44.8105,-71.8612
Jeircho,44.5162,-72.9927
Lunenburg,44.5054,-71.6874
Maidstone,44.7616,-71.6843
Marshfield,44.3113,-72.3875
Milton,44.6332,-73.1099
Montgomery,44.8886,-72.6147
Montpelier,44.2601,-72.5754
Moretown,44.2683,-72.7254
Morristown,44.5546,-72.6531
Newark,44.7067,-71.9982
North Concord,44.6229,-71.9658
Norton,44.9364,-71.8622
Norwich,43.7157,-72.3078
Orwell,43.7599,-73.2653
Panton,44.1522,-73.3351
Peacham,44.3788,-72.1095
Perkinsville,43.3992,-72.5304
Plymouth,43.5576,-72.7168
Pomfret,43.6876,-72.5617
Proctorsville,43.3916,-72.6726
Quechee,43.6494,-72.4312
Reading,43.4712,-72.5913
Ripton,44.0757,-73.0239
Ryegate,44.1892,-72.0282
Saint Albans,44.8101,-73.0837
Saint Johnsbury,44.4154,-72.018
Sheffield,44.6517,-72.138
Shelburne,44.3801,-73.2287
Sheldon,44.9282,-72.9619
Sheldon Springs,44.9309,-72.9374
Shoreham,43.9912,-73.3289
South Barre,44.1317,-72.4486
South Reading,43.4775,-72.5097
South Royalton,43.7987,-72.5164
St Albans,44.8062,-73.086
St Albans City,44.8102,-73.0834
St Johnsbury,44.4181,-72.0151
Sutton,44.6338,-72.0792
Swanton,44.92,-73.1209
Underhill,44.5453,-72.8916
Walden,44.5028,-72.2908
Warren,44.1102,-72.8469
Waterbury Center,44.3817,-72.7206
Waterford,44.3209,-71.8922
Weathersfield,43.3846,-72.4467
West Windsor,43.4741,-72.5459
Weston,43.2945,-72.8302
Weybridge,44.0563,-73.2332
Wheelock,44.6075,-72.1662
White River Junction,43.6499,-72.3173
Whiting,43.8262,-73.1944
Williston,44.4377,-73.0877
Woodbury,44.4744,-72.3862
