year,county_name,state_name,median_20
2020,Autauga,Alabama,38.9
2020,Baldwin,Alabama,44
2020,Barbour,Alabama,42.9
2020,Bibb,Alabama,40.5
2020,Blount,Alabama,41.1
2020,Bullock,Alabama,42
2020,Butler,Alabama,43.5
2020,Calhoun,Alabama,40
2020,Chambers,Alabama,43.3
2020,Cherokee,Alabama,47.7
2020,Chilton,Alabama,40.1
2020,Choctaw,Alabama,47.6
2020,Clarke,Alabama,44.3
2020,Clay,Alabama,45.2
2020,Cleburne,Alabama,43.3
2020,Coffee,Alabama,39
2020,Colbert,Alabama,42.6
2020,Conecuh,Alabama,46.8
2020,Coosa,Alabama,48.9
2020,Covington,Alabama,44.2
2020,Crenshaw,Alabama,44.3
2020,Cullman,Alabama,41.3
2020,Dale,Alabama,38.5
2020,Dallas,Alabama,42.3
2020,DeKalb,Alabama,39.7
2020,Elmore,Alabama,40.7
2020,Escambia,Alabama,41.8
2020,Etowah,Alabama,42.4
2020,Fayette,Alabama,44.3
2020,Franklin,Alabama,38.3
2020,Geneva,Alabama,43.8
2020,Greene,Alabama,44.6
2020,Hale,Alabama,42.1
2020,Henry,Alabama,46.4
2020,Houston,Alabama,40.8
2020,Jackson,Alabama,44.5
2020,Jefferson,Alabama,38.3
2020,Lamar,Alabama,45.3
2020,Lauderdale,Alabama,41.2
2020,Lawrence,Alabama,43.4
2020,Lee,Alabama,31.4
2020,Limestone,Alabama,39.9
2020,Lowndes,Alabama,45.8
2020,Macon,Alabama,39.6
2020,Madison,Alabama,38.3
2020,Marengo,Alabama,43.6
2020,Marion,Alabama,43.8
2020,Marshall,Alabama,39.2
2020,Mobile,Alabama,38.6
2020,Monroe,Alabama,44.1
2020,Montgomery,Alabama,38.1
2020,Morgan,Alabama,40.9
2020,Perry,Alabama,41.5
2020,Pickens,Alabama,43.5
2020,Pike,Alabama,34.8
2020,Randolph,Alabama,44.4
2020,Russell,Alabama,37.3
2020,St. Clair,Alabama,40.7
2020,Shelby,Alabama,39.2
2020,Sumter,Alabama,39.3
2020,Talladega,Alabama,42.2
2020,Tallapoosa,Alabama,46.4
2020,Tuscaloosa,Alabama,32.9
2020,Walker,Alabama,43.4
2020,Washington,Alabama,44.4
2020,Wilcox,Alabama,43.8
2020,Winston,Alabama,45.6
2020,Aleutians East Borough,Alaska,40.8
2020,Aleutians West Census Area,Alaska,38.7
2020,Anchorage Municipality,Alaska,35.2
2020,Bethel Census Area,Alaska,27.6
2020,Bristol Bay Borough,Alaska,41.4
2020,Chugach Census Area,Alaska,37.7
2020,Copper River Census Area,Alaska,44.6
2020,Denali Borough,Alaska,43
2020,Dillingham Census Area,Alaska,31.3
2020,Fairbanks North Star Borough,Alaska,32.6
2020,Haines Borough,Alaska,48.6
2020,Hoonah-Angoon Census Area,Alaska,47.4
2020,Juneau City and Borough,Alaska,38.5
2020,Kenai Peninsula Borough,Alaska,42.3
2020,Ketchikan Gateway Borough,Alaska,39.9
2020,Kodiak Island Borough,Alaska,35.2
2020,Kusilvak Census Area,Alaska,23.7
2020,Lake and Peninsula Borough,Alaska,32.1
2020,Matanuska-Susitna Borough,Alaska,36.3
2020,Nome Census Area,Alaska,29.8
2020,North Slope Borough,Alaska,33.4
2020,Northwest Arctic Borough,Alaska,28
2020,Petersburg Borough,Alaska,42.1
2020,Prince of Wales-Hyder Census Area,Alaska,41.3
2020,Sitka City and Borough,Alaska,40.1
2020,Skagway Municipality,Alaska,40.7
2020,Southeast Fairbanks Census Area,Alaska,39.6
2020,Wrangell City and Borough,Alaska,48.5
2020,Yakutat City and Borough,Alaska,44.8
2020,Yukon-Koyukuk Census Area,Alaska,37.9
2020,Apache,Arizona,38.3
2020,Cochise,Arizona,44
2020,Coconino,Arizona,32.5
2020,Gila,Arizona,51.7
2020,Graham,Arizona,33.8
2020,Greenlee,Arizona,34.2
2020,La Paz,Arizona,54.6
2020,Maricopa,Arizona,37.2
2020,Mohave,Arizona,53.8
2020,Navajo,Arizona,39.4
2020,Pima,Arizona,41.2
2020,Pinal,Arizona,40.4
2020,Santa Cruz,Arizona,40.2
2020,Yavapai,Arizona,55.5
2020,Yuma,Arizona,37.1
2020,Arkansas,Arkansas,43.2
2020,Ashley,Arkansas,43.7
2020,Baxter,Arkansas,52.7
2020,Benton,Arkansas,35.3
2020,Boone,Arkansas,43
2020,Bradley,Arkansas,40.6
2020,Calhoun,Arkansas,44.6
2020,Carroll,Arkansas,44.8
2020,Chicot,Arkansas,44.5
2020,Clark,Arkansas,35.4
2020,Clay,Arkansas,43.9
2020,Cleburne,Arkansas,50.5
2020,Cleveland,Arkansas,44.8
2020,Columbia,Arkansas,37.3
2020,Conway,Arkansas,42.1
2020,Craighead,Arkansas,33.5
2020,Crawford,Arkansas,39.9
2020,Crittenden,Arkansas,37.7
2020,Cross,Arkansas,41
2020,Dallas,Arkansas,45.5
2020,Desha,Arkansas,40.7
2020,Drew,Arkansas,38.4
2020,Faulkner,Arkansas,34.5
2020,Franklin,Arkansas,41.7
2020,Fulton,Arkansas,47.9
2020,Garland,Arkansas,45.6
2020,Grant,Arkansas,41.4
2020,Greene,Arkansas,38.4
2020,Hempstead,Arkansas,40.3
2020,Hot Spring,Arkansas,42.1
2020,Howard,Arkansas,40.6
2020,Independence,Arkansas,38.8
2020,Izard,Arkansas,48.1
2020,Jackson,Arkansas,40.8
2020,Jefferson,Arkansas,40.7
2020,Johnson,Arkansas,38.7
2020,Lafayette,Arkansas,46.9
2020,Lawrence,Arkansas,41
2020,Lee,Arkansas,42.6
2020,Lincoln,Arkansas,40.4
2020,Little River,Arkansas,44.6
2020,Logan,Arkansas,43.8
2020,Lonoke,Arkansas,37.4
2020,Madison,Arkansas,42.8
2020,Marion,Arkansas,52.8
2020,Miller,Arkansas,39.9
2020,Mississippi,Arkansas,37.3
2020,Monroe,Arkansas,46.9
2020,Montgomery,Arkansas,50.6
2020,Nevada,Arkansas,44.2
2020,Newton,Arkansas,51.6
2020,Ouachita,Arkansas,44.5
2020,Perry,Arkansas,45.2
